EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GLAUCHAU, GERMANY (STAID: 12944)
Blended and updated with sources:82595 82683 83737 83787 88037 89229 90195 90223 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12944, 83737,19450401,    0,    0
 12944, 83737,19450402,   22,    0
 12944, 83737,19450403,    0,    0
 12944, 83737,19450404,    0,    0
 12944, 83737,19450405,   17,    0
 12944, 83737,19450406,    0,    0
 12944, 83737,19450407,    0,    0
 12944, 83737,19450408,    0,    0
 12944, 83737,19450409,    0,    0
 12944, 83737,19450410,    0,    0
 12944, 83737,19450411,    0,    0
 12944, 83737,19450412,    0,    0
 12944, 83737,19450413,    0,    0
 12944, 83737,19450414,    0,    0
 12944, 83737,19450415,    0,    0
 12944, 83737,19450416,    0,    0
 12944, 83737,19450417,   31,    0
 12944, 83737,19450418,    0,    0
 12944, 83737,19450419,    0,    0
 12944, 83737,19450420,    0,    0
 12944, 83737,19450421,   85,    0
 12944, 83737,19450422,  122,    0
 12944, 83737,19450423,   55,    0
 12944, 83737,19450424,    0,    0
 12944, 83737,19450425,    0,    0
 12944, 83737,19450426,    0,    0
 12944, 83737,19450427,    0,    0
 12944, 83737,19450428,   32,    0
 12944, 83737,19450429,    0,    0
 12944, 83737,19450430,    0,    0
 12944, 83737,19450501,   12,    0
 12944, 83737,19450502,    0,    0
 12944, 83737,19450503,    0,    0
 12944, 83737,19450504,    0,    0
 12944, 83737,19450505,   98,    0
 12944, 83737,19450506,  112,    0
 12944, 83737,19450507,    0,    0
 12944, 83737,19450508,    0,    0
 12944, 83737,19450509,    0,    0
 12944, 83737,19450510,    0,    0
 12944, 83737,19450511,    0,    0
 12944, 83737,19450512,    0,    0
 12944, 83737,19450513,    0,    0
 12944, 83737,19450514,    0,    0
 12944, 83737,19450515,    0,    0
 12944, 83737,19450516,    0,    0
 12944, 83737,19450517,    0,    0
 12944, 83737,19450518,   32,    0
 12944, 83737,19450519,  205,    0
 12944, 83737,19450520,    0,    0
 12944, 83737,19450521,   92,    0
 12944, 83737,19450522,   47,    0
 12944, 83737,19450523,  122,    0
 12944, 83737,19450524,   32,    0
 12944, 83737,19450525,    0,    0
 12944, 83737,19450526,    0,    0
 12944, 83737,19450527,    0,    0
 12944, 83737,19450528,    0,    0
 12944, 83737,19450529,    0,    0
 12944, 83737,19450530,  375,    0
 12944, 83737,19450531,   32,    0
 12944, 83737,19450601,    0,    0
 12944, 83737,19450602,   16,    0
 12944, 83737,19450603,    0,    0
 12944, 83737,19450604,    0,    0
 12944, 83737,19450605,    0,    0
 12944, 83737,19450606,    0,    0
 12944, 83737,19450607,    0,    0
 12944, 83737,19450608,   16,    0
 12944, 83737,19450609,    0,    0
 12944, 83737,19450610,    0,    0
 12944, 83737,19450611,    0,    0
 12944, 83737,19450612,   62,    0
 12944, 83737,19450613,   23,    0
 12944, 83737,19450614,   17,    0
 12944, 83737,19450615,    0,    0
 12944, 83737,19450616,    0,    0
 12944, 83737,19450617,    0,    0
 12944, 83737,19450618,    0,    0
 12944, 83737,19450619,    0,    0
 12944, 83737,19450620,    0,    0
 12944, 83737,19450621,   12,    0
 12944, 83737,19450622,   55,    0
 12944, 83737,19450623,    0,    0
 12944, 83737,19450624,   35,    0
 12944, 83737,19450625,    0,    0
 12944, 83737,19450626,   82,    0
 12944, 83737,19450627,    0,    0
 12944, 83737,19450628,  283,    0
 12944, 83737,19450629,    0,    0
 12944, 83737,19450630,   30,    0
 12944, 83737,19450701,   70,    0
 12944, 83737,19450702,    5,    0
 12944, 83737,19450703,  455,    0
 12944, 83737,19450704,   40,    0
 12944, 83737,19450705,   18,    0
 12944, 83737,19450706,   23,    0
 12944, 83737,19450707,   12,    0
 12944, 83737,19450708,    0,    0
 12944, 83737,19450709,    0,    0
 12944, 83737,19450710,    0,    0
 12944, 83737,19450711,    0,    0
 12944, 83737,19450712,    0,    0
 12944, 83737,19450713,    0,    0
 12944, 83737,19450714,    0,    0
 12944, 83737,19450715,    0,    0
 12944, 83737,19450716,  263,    0
 12944, 83737,19450717,    0,    0
 12944, 83737,19450718,    0,    0
 12944, 83737,19450719,    0,    0
 12944, 83737,19450720,    0,    0
 12944, 83737,19450721,    0,    0
 12944, 83737,19450722,   75,    0
 12944, 83737,19450723,    0,    0
 12944, 83737,19450724,    0,    0
 12944, 83737,19450725,    0,    0
 12944, 83737,19450726,    0,    0
 12944, 83737,19450727,    0,    0
 12944, 83737,19450728,    0,    0
 12944, 83737,19450729,    0,    0
 12944, 83737,19450730,   12,    0
 12944, 83737,19450731,    0,    0
 12944, 83737,19450801,   13,    0
 12944, 83737,19450802,    0,    0
 12944, 83737,19450803,   43,    0
 12944, 83737,19450804,    0,    0
 12944, 83737,19450805,    0,    0
 12944, 83737,19450806,    0,    0
 12944, 83737,19450807,    0,    0
 12944, 83737,19450808,  103,    0
 12944, 83737,19450809,  135,    0
 12944, 83737,19450810,  152,    0
 12944, 83737,19450811,  123,    0
 12944, 83737,19450812,    0,    0
 12944, 83737,19450813,   32,    0
 12944, 83737,19450814,  103,    0
 12944, 83737,19450815,   44,    0
 12944, 83737,19450816,  103,    0
 12944, 83737,19450817,  130,    0
 12944, 83737,19450818,    0,    0
 12944, 83737,19450819,   24,    0
 12944, 83737,19450820,    0,    0
 12944, 83737,19450821,   31,    0
 12944, 83737,19450822,    0,    0
 12944, 83737,19450823,    1,    0
 12944, 83737,19450824,    9,    0
 12944, 83737,19450825,   12,    0
 12944, 83737,19450826,    0,    0
 12944, 83737,19450827,    0,    0
 12944, 83737,19450828,    0,    0
 12944, 83737,19450829,    0,    0
 12944, 83737,19450830,    0,    0
 12944, 83737,19450831,   15,    0
 12944, 83737,19450901,    9,    0
 12944, 83737,19450902,    0,    0
 12944, 83737,19450903,    0,    0
 12944, 83737,19450904,    0,    0
 12944, 83737,19450905,    0,    0
 12944, 83737,19450906,    0,    0
 12944, 83737,19450907,    0,    0
 12944, 83737,19450908,    0,    0
 12944, 83737,19450909,    0,    0
 12944, 83737,19450910,    0,    0
 12944, 83737,19450911,    0,    0
 12944, 83737,19450912,    0,    0
 12944, 83737,19450913,    0,    0
 12944, 83737,19450914,    0,    0
 12944, 83737,19450915,    0,    0
 12944, 83737,19450916,    5,    0
 12944, 83737,19450917,    0,    0
 12944, 83737,19450918,    0,    0
 12944, 83737,19450919,    0,    0
 12944, 83737,19450920,    0,    0
 12944, 83737,19450921,    0,    0
 12944, 83737,19450922,    0,    0
 12944, 83737,19450923,   20,    0
 12944, 83737,19450924,    0,    0
 12944, 83737,19450925,    0,    0
 12944, 83737,19450926,    0,    0
 12944, 83737,19450927,   20,    0
 12944, 83737,19450928,   92,    0
 12944, 83737,19450929,   68,    0
 12944, 83737,19450930,  151,    0
 12944, 83737,19451001,   53,    0
 12944, 83737,19451002,   10,    0
 12944, 83737,19451003,   12,    0
 12944, 83737,19451004,    7,    0
 12944, 83737,19451005,   37,    0
 12944, 83737,19451006,   27,    0
 12944, 83737,19451007,    0,    0
 12944, 83737,19451008,    0,    0
 12944, 83737,19451009,    0,    0
 12944, 83737,19451010,    0,    0
 12944, 83737,19451011,   37,    0
 12944, 83737,19451012,    0,    0
 12944, 83737,19451013,    0,    0
 12944, 83737,19451014,    0,    0
 12944, 83737,19451015,   48,    0
 12944, 83737,19451016,   40,    0
 12944, 83737,19451017,   12,    0
 12944, 83737,19451018,    0,    0
 12944, 83737,19451019,    0,    0
 12944, 83737,19451020,    0,    0
 12944, 83737,19451021,    5,    0
 12944, 83737,19451022,   34,    0
 12944, 83737,19451023,    0,    0
 12944, 83737,19451024,    0,    0
 12944, 83737,19451025,    0,    0
 12944, 83737,19451026,    0,    0
 12944, 83737,19451027,    0,    0
 12944, 83737,19451028,    0,    0
 12944, 83737,19451029,    0,    0
 12944, 83737,19451030,    0,    0
 12944, 83737,19451031,    0,    0
 12944, 83737,19451101,    0,    0
 12944, 83737,19451102,    0,    0
 12944, 83737,19451103,    0,    0
 12944, 83737,19451104,    0,    0
 12944, 83737,19451105,    0,    0
 12944, 83737,19451106,    0,    0
 12944, 83737,19451107,    0,    0
 12944, 83737,19451108,  135,    0
 12944, 83737,19451109,   63,    0
 12944, 83737,19451110,   96,    0
 12944, 83737,19451111,   85,    0
 12944, 83737,19451112,    0,    0
 12944, 83737,19451113,    0,    0
 12944, 83737,19451114,   33,    0
 12944, 83737,19451115,   26,    0
 12944, 83737,19451116,    0,    0
 12944, 83737,19451117,    0,    0
 12944, 83737,19451118,    0,    0
 12944, 83737,19451119,    0,    0
 12944, 83737,19451120,    0,    0
 12944, 83737,19451121,    0,    0
 12944, 83737,19451122,    0,    0
 12944, 83737,19451123,    0,    0
 12944, 83737,19451124,    0,    0
 12944, 83737,19451125,    0,    0
 12944, 83737,19451126,   65,    0
 12944, 83737,19451127,   43,    0
 12944, 83737,19451128,    0,    0
 12944, 83737,19451129,    0,    0
 12944, 83737,19451130,    0,    0
