EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GUTENZELL, GERMANY (STAID: 13144)
Blended and updated with sources:84137 86855 88179 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 13144, 88179,19310101,   46,    0
 13144, 88179,19310102,   40,    0
 13144, 88179,19310103,   15,    0
 13144, 88179,19310104,  170,    0
 13144, 88179,19310105,    5,    0
 13144, 88179,19310106,    0,    0
 13144, 88179,19310107,    5,    0
 13144, 88179,19310108,    0,    0
 13144, 88179,19310109,    0,    0
 13144, 88179,19310110,    0,    0
 13144, 88179,19310111,    0,    0
 13144, 88179,19310112,    0,    0
 13144, 88179,19310113,    0,    0
 13144, 88179,19310114,    0,    0
 13144, 88179,19310115,    0,    0
 13144, 88179,19310116,   18,    0
 13144, 88179,19310117,   81,    0
 13144, 88179,19310118,   65,    0
 13144, 88179,19310119,   45,    0
 13144, 88179,19310120,   19,    0
 13144, 88179,19310121,    0,    0
 13144, 88179,19310122,    0,    0
 13144, 88179,19310123,    5,    0
 13144, 88179,19310124,   35,    0
 13144, 88179,19310125,   55,    0
 13144, 88179,19310126,  190,    0
 13144, 88179,19310127,    0,    0
 13144, 88179,19310128,   41,    0
 13144, 88179,19310129,   10,    0
 13144, 88179,19310130,   15,    0
 13144, 88179,19310131,    0,    0
 13144, 88179,19310201,    0,    0
 13144, 88179,19310202,    0,    0
 13144, 88179,19310203,    0,    0
 13144, 88179,19310204,    0,    0
 13144, 88179,19310205,   17,    0
 13144, 88179,19310206,    6,    0
 13144, 88179,19310207,   10,    0
 13144, 88179,19310208,    0,    0
 13144, 88179,19310209,    0,    0
 13144, 88179,19310210,    0,    0
 13144, 88179,19310211,    0,    0
 13144, 88179,19310212,   65,    0
