EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HELSA, GERMANY (STAID: 13305)
Blended and updated with sources:83241 84459 84559 85101 88349 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 13305, 84459,19310101,  102,    0
 13305, 84459,19310102,   97,    0
 13305, 84459,19310103,    2,    0
 13305, 84459,19310104,    0,    0
 13305, 84459,19310105,   31,    0
 13305, 84459,19310106,    0,    0
 13305, 84459,19310107,    0,    0
 13305, 84459,19310108,    0,    0
 13305, 84459,19310109,    0,    0
 13305, 84459,19310110,    0,    0
 13305, 84459,19310111,    0,    0
 13305, 84459,19310112,    0,    0
 13305, 84459,19310113,   12,    0
 13305, 84459,19310114,  164,    0
 13305, 84459,19310115,    0,    0
 13305, 84459,19310116,   92,    0
 13305, 84459,19310117,   44,    0
 13305, 84459,19310118,   52,    0
 13305, 84459,19310119,   49,    0
 13305, 84459,19310120,   14,    0
 13305, 84459,19310121,    0,    0
 13305, 84459,19310122,    0,    0
 13305, 84459,19310123,   45,    0
 13305, 84459,19310124,   82,    0
 13305, 84459,19310125,   24,    0
 13305, 84459,19310126,   32,    0
 13305, 84459,19310127,   14,    0
 13305, 84459,19310128,   41,    0
 13305, 84459,19310129,   21,    0
 13305, 84459,19310130,    0,    0
 13305, 84459,19310131,    0,    0
 13305, 84459,19310201,    0,    0
 13305, 84459,19310202,   41,    0
 13305, 84459,19310203,   32,    0
 13305, 84459,19310204,    0,    0
 13305, 84459,19310205,    0,    0
 13305, 84459,19310206,    0,    0
 13305, 84459,19310207,    0,    0
 13305, 84459,19310208,    0,    0
 13305, 84459,19310209,    0,    0
 13305, 84459,19310210,    0,    0
 13305, 84459,19310211,   21,    0
 13305, 84459,19310212,   82,    0
 13305, 84459,19310213,    0,    0
 13305, 84459,19310214,   24,    0
 13305, 84459,19310215,   31,    0
 13305, 84459,19310216,    0,    0
 13305, 84459,19310217,    0,    0
 13305, 84459,19310218,   21,    0
 13305, 84459,19310219,    0,    0
 13305, 84459,19310220,    0,    0
 13305, 84459,19310221,   23,    0
 13305, 84459,19310222,    0,    0
 13305, 84459,19310223,    0,    0
 13305, 84459,19310224,    0,    0
 13305, 84459,19310225,    0,    0
 13305, 84459,19310226,    0,    0
 13305, 84459,19310227,   64,    0
 13305, 84459,19310228,  121,    0
 13305, 84459,19310301,    0,    0
 13305, 84459,19310302,    0,    0
 13305, 84459,19310303,    0,    0
 13305, 84459,19310304,    0,    0
 13305, 84459,19310305,    0,    0
 13305, 84459,19310306,    0,    0
 13305, 84459,19310307,    0,    0
 13305, 84459,19310308,    0,    0
 13305, 84459,19310309,    0,    0
 13305, 84459,19310310,    0,    0
 13305, 84459,19310311,   47,    0
 13305, 84459,19310312,   61,    0
 13305, 84459,19310313,    0,    0
 13305, 84459,19310314,    0,    0
 13305, 84459,19310315,    0,    0
 13305, 84459,19310316,    0,    0
 13305, 84459,19310317,    0,    0
 13305, 84459,19310318,    0,    0
 13305, 84459,19310319,    0,    0
 13305, 84459,19310320,    0,    0
 13305, 84459,19310321,    0,    0
 13305, 84459,19310322,    0,    0
 13305, 84459,19310323,    0,    0
 13305, 84459,19310324,    0,    0
 13305, 84459,19310325,    0,    0
 13305, 84459,19310326,    0,    0
 13305, 84459,19310327,    0,    0
 13305, 84459,19310328,    0,    0
 13305, 84459,19310329,    0,    0
 13305, 84459,19310330,    0,    0
 13305, 84459,19310331,    0,    0
 13305, 84459,19310401,    0,    0
 13305, 84459,19310402,    0,    0
 13305, 84459,19310403,    0,    0
 13305, 84459,19310404,   21,    0
 13305, 84459,19310405,   41,    0
 13305, 84459,19310406,    0,    0
 13305, 84459,19310407,    0,    0
 13305, 84459,19310408,    0,    0
 13305, 84459,19310409,    0,    0
 13305, 84459,19310410,   38,    0
 13305, 84459,19310411,    0,    0
 13305, 84459,19310412,    0,    0
 13305, 84459,19310413,   49,    0
 13305, 84459,19310414,   31,    0
 13305, 84459,19310415,    0,    0
 13305, 84459,19310416,    0,    0
 13305, 84459,19310417,  121,    0
 13305, 84459,19310418,   11,    0
 13305, 84459,19310419,   23,    0
 13305, 84459,19310420,    0,    0
 13305, 84459,19310421,    0,    0
 13305, 84459,19310422,   44,    0
 13305, 84459,19310423,    0,    0
 13305, 84459,19310424,    0,    0
 13305, 84459,19310425,   31,    0
 13305, 84459,19310426,    0,    0
 13305, 84459,19310427,   47,    0
 13305, 84459,19310428,  109,    0
 13305, 84459,19310429,   32,    0
 13305, 84459,19310430,   14,    0
 13305, 84459,19310501,    0,    0
 13305, 84459,19310502,    0,    0
 13305, 84459,19310503,   31,    0
 13305, 84459,19310504,   42,    0
 13305, 84459,19310505,    0,    0
 13305, 84459,19310506,    0,    0
 13305, 84459,19310507,  312,    0
 13305, 84459,19310508,   31,    0
 13305, 84459,19310509,   22,    0
 13305, 84459,19310510,    0,    0
 13305, 84459,19310511,    0,    0
 13305, 84459,19310512,    0,    0
 13305, 84459,19310513,    0,    0
 13305, 84459,19310514,    0,    0
 13305, 84459,19310515,   45,    0
 13305, 84459,19310516,    0,    0
 13305, 84459,19310517,    0,    0
 13305, 84459,19310518,    0,    0
 13305, 84459,19310519,    0,    0
 13305, 84459,19310520,    0,    0
 13305, 84459,19310521,    0,    0
 13305, 84459,19310522,    0,    0
 13305, 84459,19310523,    0,    0
 13305, 84459,19310524,    1,    0
 13305, 84459,19310525,    0,    0
 13305, 84459,19310526,    0,    0
 13305, 84459,19310527,    0,    0
 13305, 84459,19310528,    0,    0
 13305, 84459,19310529,    0,    0
 13305, 84459,19310530,  263,    0
 13305, 84459,19310531,   41,    0
 13305, 84459,19310601,   12,    0
 13305, 84459,19310602,   17,    0
 13305, 84459,19310603,   63,    0
 13305, 84459,19310604,    0,    0
 13305, 84459,19310605,    0,    0
 13305, 84459,19310606,  122,    0
 13305, 84459,19310607,   64,    0
 13305, 84459,19310608,   32,    0
 13305, 84459,19310609,   14,    0
 13305, 84459,19310610,   94,    0
 13305, 84459,19310611,    0,    0
 13305, 84459,19310612,   24,    0
 13305, 84459,19310613,    0,    0
 13305, 84459,19310614,    0,    0
 13305, 84459,19310615,    0,    0
 13305, 84459,19310616,    0,    0
 13305, 84459,19310617,   46,    0
 13305, 84459,19310618,  287,    0
 13305, 84459,19310619,    0,    0
 13305, 84459,19310620,    0,    0
 13305, 84459,19310621,    0,    0
 13305, 84459,19310622,    0,    0
 13305, 84459,19310623,    0,    0
 13305, 84459,19310624,  122,    0
 13305, 84459,19310625,    0,    0
 13305, 84459,19310626,    0,    0
 13305, 84459,19310627,    0,    0
 13305, 84459,19310628,    0,    0
 13305, 84459,19310629,    0,    0
 13305, 84459,19310630,    0,    0
 13305, 84459,19310701,    0,    0
 13305, 84459,19310702,    0,    0
 13305, 84459,19310703,   11,    0
 13305, 84459,19310704,   13,    0
 13305, 84459,19310705,  192,    0
 13305, 84459,19310706,  221,    0
 13305, 84459,19310707,    0,    0
 13305, 84459,19310708,    0,    0
 13305, 84459,19310709,    0,    0
 13305, 84459,19310710,   65,    0
 13305, 84459,19310711,    0,    0
 13305, 84459,19310712,    0,    0
 13305, 84459,19310713,   61,    0
 13305, 84459,19310714,   32,    0
 13305, 84459,19310715,   49,    0
 13305, 84459,19310716,   41,    0
 13305, 84459,19310717,   92,    0
 13305, 84459,19310718,   21,    0
 13305, 84459,19310719,   34,    0
 13305, 84459,19310720,   31,    0
 13305, 84459,19310721,   27,    0
 13305, 84459,19310722,    0,    0
 13305, 84459,19310723,    0,    0
 13305, 84459,19310724,    0,    0
 13305, 84459,19310725,   59,    0
 13305, 84459,19310726,   61,    0
 13305, 84459,19310727,  101,    0
 13305, 84459,19310728,    0,    0
 13305, 84459,19310729,    0,    0
 13305, 84459,19310730,    0,    0
 13305, 84459,19310731,    0,    0
 13305, 84459,19310801,    0,    0
 13305, 84459,19310802,    0,    0
 13305, 84459,19310803,    0,    0
 13305, 84459,19310804,    0,    0
 13305, 84459,19310805,   31,    0
 13305, 84459,19310806,    0,    0
 13305, 84459,19310807,   11,    0
 13305, 84459,19310808,   12,    0
 13305, 84459,19310809,   24,    0
 13305, 84459,19310810,  124,    0
 13305, 84459,19310811,   33,    0
 13305, 84459,19310812,  302,    0
 13305, 84459,19310813,    0,    0
 13305, 84459,19310814,   11,    0
 13305, 84459,19310815,   24,    0
 13305, 84459,19310816,    0,    0
 13305, 84459,19310817,   39,    0
 13305, 84459,19310818,   17,    0
 13305, 84459,19310819,    0,    0
 13305, 84459,19310820,   74,    0
 13305, 84459,19310821,   45,    0
 13305, 84459,19310822,   14,    0
 13305, 84459,19310823,    0,    0
 13305, 84459,19310824,   41,    0
 13305, 84459,19310825,  117,    0
 13305, 84459,19310826,   64,    0
 13305, 84459,19310827,    0,    0
 13305, 84459,19310828,    0,    0
 13305, 84459,19310829,    0,    0
 13305, 84459,19310830,    0,    0
 13305, 84459,19310831,    0,    0
 13305, 84459,19310901,    0,    0
 13305, 84459,19310902,    0,    0
 13305, 84459,19310903,   71,    0
 13305, 84459,19310904,  104,    0
 13305, 84459,19310905,   27,    0
 13305, 84459,19310906,   53,    0
 13305, 84459,19310907,    0,    0
 13305, 84459,19310908,    0,    0
 13305, 84459,19310909,    0,    0
 13305, 84459,19310910,    0,    0
 13305, 84459,19310911,    0,    0
 13305, 84459,19310912,   25,    0
 13305, 84459,19310913,   37,    0
 13305, 84459,19310914,    0,    0
 13305, 84459,19310915,    0,    0
 13305, 84459,19310916,    0,    0
 13305, 84459,19310917,   48,    0
 13305, 84459,19310918,    0,    0
 13305, 84459,19310919,    0,    0
