EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HEMER-HEPPINGSEN, GERMANY (STAID: 13310)
Blended and updated with sources:84469 84919 86489 86491 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 13310, 86489,19310101,  136,    0
 13310, 86489,19310102,    2,    0
 13310, 86489,19310103,  111,    0
 13310, 86489,19310104,   32,    0
 13310, 86489,19310105,   69,    0
 13310, 86489,19310106,   16,    0
 13310, 86489,19310107,    0,    0
 13310, 86489,19310108,    0,    0
 13310, 86489,19310109,    0,    0
 13310, 86489,19310110,    0,    0
 13310, 86489,19310111,    2,    0
 13310, 86489,19310112,   27,    0
 13310, 86489,19310113,   55,    0
 13310, 86489,19310114,    6,    0
 13310, 86489,19310115,   38,    0
 13310, 86489,19310116,  172,    0
 13310, 86489,19310117,  109,    0
 13310, 86489,19310118,   23,    0
 13310, 86489,19310119,   62,    0
 13310, 86489,19310120,   26,    0
 13310, 86489,19310121,    0,    0
 13310, 86489,19310122,    0,    0
 13310, 86489,19310123,  128,    0
 13310, 86489,19310124,   42,    0
 13310, 86489,19310125,   67,    0
 13310, 86489,19310126,   56,    0
 13310, 86489,19310127,    1,    0
 13310, 86489,19310128,   82,    0
 13310, 86489,19310129,   72,    0
 13310, 86489,19310130,  212,    0
 13310, 86489,19310131,    0,    0
 13310, 86489,19310201,    0,    0
 13310, 86489,19310202,   54,    0
 13310, 86489,19310203,   15,    0
 13310, 86489,19310204,   15,    0
 13310, 86489,19310205,    0,    0
 13310, 86489,19310206,    0,    0
 13310, 86489,19310207,    0,    0
 13310, 86489,19310208,    0,    0
 13310, 86489,19310209,    0,    0
 13310, 86489,19310210,   35,    0
 13310, 86489,19310211,  137,    0
 13310, 86489,19310212,   62,    0
 13310, 86489,19310213,   85,    0
 13310, 86489,19310214,    0,    0
 13310, 86489,19310215,    3,    0
 13310, 86489,19310216,   82,    0
 13310, 86489,19310217,   33,    0
 13310, 86489,19310218,   12,    0
 13310, 86489,19310219,    0,    0
 13310, 86489,19310220,    0,    0
 13310, 86489,19310221,    3,    0
 13310, 86489,19310222,    0,    0
 13310, 86489,19310223,    0,    0
 13310, 86489,19310224,    0,    0
 13310, 86489,19310225,   50,    0
 13310, 86489,19310226,  118,    0
 13310, 86489,19310227,   66,    0
 13310, 86489,19310228,  212,    0
 13310, 86489,19310301,   27,    0
 13310, 86489,19310302,    0,    0
 13310, 86489,19310303,    0,    0
 13310, 86489,19310304,    0,    0
 13310, 86489,19310305,    0,    0
 13310, 86489,19310306,    0,    0
 13310, 86489,19310307,    0,    0
 13310, 86489,19310308,    0,    0
 13310, 86489,19310309,    0,    0
 13310, 86489,19310310,   19,    0
 13310, 86489,19310311,   91,    0
 13310, 86489,19310312,   21,    0
 13310, 86489,19310313,    0,    0
 13310, 86489,19310314,    0,    0
 13310, 86489,19310315,    0,    0
 13310, 86489,19310316,    0,    0
 13310, 86489,19310317,    0,    0
 13310, 86489,19310318,    0,    0
 13310, 86489,19310319,    0,    0
 13310, 86489,19310320,    0,    0
 13310, 86489,19310321,   94,    0
 13310, 86489,19310322,  128,    0
 13310, 86489,19310323,    1,    0
 13310, 86489,19310324,    0,    0
 13310, 86489,19310325,    0,    0
 13310, 86489,19310326,    0,    0
 13310, 86489,19310327,    0,    0
 13310, 86489,19310328,    0,    0
 13310, 86489,19310329,    0,    0
 13310, 86489,19310330,    0,    0
 13310, 86489,19310331,    0,    0
 13310, 86489,19310401,    0,    0
 13310, 86489,19310402,    0,    0
 13310, 86489,19310403,    0,    0
 13310, 86489,19310404,   51,    0
 13310, 86489,19310405,  128,    0
 13310, 86489,19310406,    6,    0
 13310, 86489,19310407,    0,    0
 13310, 86489,19310408,    0,    0
 13310, 86489,19310409,   28,    0
 13310, 86489,19310410,    0,    0
 13310, 86489,19310411,    0,    0
 13310, 86489,19310412,   24,    0
 13310, 86489,19310413,    3,    0
 13310, 86489,19310414,   66,    0
 13310, 86489,19310415,    0,    0
 13310, 86489,19310416,   16,    0
 13310, 86489,19310417,  101,    0
 13310, 86489,19310418,   13,    0
 13310, 86489,19310419,   28,    0
 13310, 86489,19310420,   12,    0
 13310, 86489,19310421,    0,    0
 13310, 86489,19310422,   68,    0
 13310, 86489,19310423,   10,    0
 13310, 86489,19310424,    0,    0
 13310, 86489,19310425,   74,    0
 13310, 86489,19310426,    7,    0
 13310, 86489,19310427,  101,    0
 13310, 86489,19310428,  155,    0
 13310, 86489,19310429,   77,    0
 13310, 86489,19310430,    0,    0
 13310, 86489,19310501,    0,    0
 13310, 86489,19310502,   11,    0
 13310, 86489,19310503,   23,    0
 13310, 86489,19310504,    0,    0
 13310, 86489,19310505,    0,    0
 13310, 86489,19310506,   50,    0
 13310, 86489,19310507,  272,    0
 13310, 86489,19310508,    2,    0
 13310, 86489,19310509,   23,    0
 13310, 86489,19310510,    0,    0
 13310, 86489,19310511,    0,    0
 13310, 86489,19310512,    0,    0
 13310, 86489,19310513,    0,    0
 13310, 86489,19310514,    3,    0
 13310, 86489,19310515,   86,    0
 13310, 86489,19310516,    0,    0
 13310, 86489,19310517,    5,    0
 13310, 86489,19310518,    0,    0
 13310, 86489,19310519,    0,    0
 13310, 86489,19310520,    0,    0
 13310, 86489,19310521,    0,    0
 13310, 86489,19310522,    0,    0
 13310, 86489,19310523,    0,    0
 13310, 86489,19310524,    0,    0
 13310, 86489,19310525,    0,    0
 13310, 86489,19310526,  108,    0
 13310, 86489,19310527,    0,    0
 13310, 86489,19310528,  197,    0
 13310, 86489,19310529,   16,    0
 13310, 86489,19310530,  189,    0
 13310, 86489,19310531,   50,    0
 13310, 86489,19310601,   44,    0
 13310, 86489,19310602,   64,    0
 13310, 86489,19310603,    0,    0
 13310, 86489,19310604,    0,    0
 13310, 86489,19310605,   47,    0
 13310, 86489,19310606,  224,    0
 13310, 86489,19310607,  122,    0
 13310, 86489,19310608,   92,    0
 13310, 86489,19310609,  122,    0
 13310, 86489,19310610,    7,    0
 13310, 86489,19310611,    0,    0
 13310, 86489,19310612,    1,    0
 13310, 86489,19310613,    0,    0
 13310, 86489,19310614,   68,    0
 13310, 86489,19310615,    0,    0
 13310, 86489,19310616,    0,    0
 13310, 86489,19310617,  198,    0
 13310, 86489,19310618,    7,    0
 13310, 86489,19310619,   24,    0
 13310, 86489,19310620,    0,    0
 13310, 86489,19310621,    0,    0
 13310, 86489,19310622,    0,    0
 13310, 86489,19310623,    0,    0
 13310, 86489,19310624,    0,    0
 13310, 86489,19310625,    0,    0
 13310, 86489,19310626,    0,    0
 13310, 86489,19310627,    0,    0
 13310, 86489,19310628,    0,    0
 13310, 86489,19310629,    0,    0
 13310, 86489,19310630,    0,    0
 13310, 86489,19310701,    0,    0
 13310, 86489,19310702,    0,    0
 13310, 86489,19310703,    1,    0
 13310, 86489,19310704,    0,    0
