EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOHENBRUNN, GERMANY (STAID: 13429)
Blended and updated with sources:84145 84707 86311 86793 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 13429, 84145,19310101,   15,    0
 13429, 84145,19310102,   46,    0
 13429, 84145,19310103,   12,    0
 13429, 84145,19310104,   52,    0
 13429, 84145,19310105,    0,    0
 13429, 84145,19310106,    0,    0
 13429, 84145,19310107,   11,    0
 13429, 84145,19310108,   13,    0
 13429, 84145,19310109,    0,    0
 13429, 84145,19310110,    0,    0
 13429, 84145,19310111,    0,    0
 13429, 84145,19310112,    0,    0
 13429, 84145,19310113,    0,    0
 13429, 84145,19310114,    0,    0
 13429, 84145,19310115,    0,    0
 13429, 84145,19310116,    0,    0
 13429, 84145,19310117,   24,    0
 13429, 84145,19310118,   50,    0
 13429, 84145,19310119,    4,    0
 13429, 84145,19310120,   29,    0
 13429, 84145,19310121,    0,    0
 13429, 84145,19310122,    0,    0
 13429, 84145,19310123,    3,    0
 13429, 84145,19310124,   10,    0
 13429, 84145,19310125,   12,    0
 13429, 84145,19310126,  160,    0
 13429, 84145,19310127,   19,    0
 13429, 84145,19310128,   37,    0
 13429, 84145,19310129,    0,    0
 13429, 84145,19310130,    0,    0
