EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KALBACH-OBERKALBACH, GERMANY (STAID: 13585)
Blended and updated with sources:85019 86523 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 13585, 85019,19310101,   70,    0
 13585, 85019,19310102,   32,    0
 13585, 85019,19310103,  125,    0
 13585, 85019,19310104,   21,    0
 13585, 85019,19310105,    7,    0
 13585, 85019,19310106,    4,    0
 13585, 85019,19310107,    0,    0
 13585, 85019,19310108,    0,    0
 13585, 85019,19310109,    0,    0
 13585, 85019,19310110,    0,    0
 13585, 85019,19310111,    0,    0
 13585, 85019,19310112,    0,    0
 13585, 85019,19310113,    0,    0
 13585, 85019,19310114,   15,    0
 13585, 85019,19310115,    4,    0
 13585, 85019,19310116,  164,    0
 13585, 85019,19310117,   89,    0
 13585, 85019,19310118,   12,    0
 13585, 85019,19310119,   74,    0
 13585, 85019,19310120,   20,    0
 13585, 85019,19310121,    6,    0
 13585, 85019,19310122,    1,    0
 13585, 85019,19310123,  100,    0
 13585, 85019,19310124,  120,    0
 13585, 85019,19310125,   82,    0
 13585, 85019,19310126,    1,    0
 13585, 85019,19310127,    5,    0
 13585, 85019,19310128,   37,    0
 13585, 85019,19310129,   60,    0
 13585, 85019,19310130,    1,    0
 13585, 85019,19310131,    1,    0
 13585, 85019,19310201,    1,    0
 13585, 85019,19310202,    9,    0
 13585, 85019,19310203,   31,    0
