EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KALTOHMFELD, GERMANY (STAID: 13594)
Blended and updated with sources:82181 85037 86577 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 13594, 85037,19490101,    9,    0
 13594, 85037,19490102,   35,    0
 13594, 85037,19490103,   14,    0
 13594, 85037,19490104,    0,    0
 13594, 85037,19490105,    1,    0
 13594, 85037,19490106,    0,    0
 13594, 85037,19490107,    0,    0
 13594, 85037,19490108,    0,    0
 13594, 85037,19490109,   62,    0
 13594, 85037,19490110,    0,    0
 13594, 85037,19490111,   42,    0
 13594, 85037,19490112,   40,    0
 13594, 85037,19490113,    3,    0
 13594, 85037,19490114,   15,    0
 13594, 85037,19490115,    9,    0
 13594, 85037,19490116,   81,    0
 13594, 85037,19490117,   49,    0
 13594, 85037,19490118,    2,    0
 13594, 85037,19490119,   26,    0
 13594, 85037,19490120,    6,    0
 13594, 85037,19490121,   83,    0
 13594, 85037,19490122,    0,    0
 13594, 85037,19490123,    0,    0
 13594, 85037,19490124,    0,    0
 13594, 85037,19490125,    0,    0
 13594, 85037,19490126,    0,    0
 13594, 85037,19490127,    0,    0
 13594, 85037,19490128,    0,    0
 13594, 85037,19490129,    0,    0
 13594, 85037,19490130,   28,    0
 13594, 85037,19490131,   55,    0
 13594, 85037,19490201,    7,    0
 13594, 85037,19490202,    0,    0
 13594, 85037,19490203,    0,    0
 13594, 85037,19490204,    0,    0
 13594, 85037,19490205,   10,    0
 13594, 85037,19490206,    0,    0
 13594, 85037,19490207,    0,    0
 13594, 85037,19490208,    3,    0
 13594, 85037,19490209,  116,    0
 13594, 85037,19490210,   25,    0
 13594, 85037,19490211,    0,    0
 13594, 85037,19490212,    0,    0
 13594, 85037,19490213,    0,    0
 13594, 85037,19490214,    0,    0
 13594, 85037,19490215,    0,    0
 13594, 85037,19490216,    0,    0
 13594, 85037,19490217,    0,    0
 13594, 85037,19490218,    0,    0
 13594, 85037,19490219,    0,    0
 13594, 85037,19490220,    0,    0
 13594, 85037,19490221,    8,    0
 13594, 85037,19490222,    8,    0
 13594, 85037,19490223,    9,    0
 13594, 85037,19490224,    1,    0
 13594, 85037,19490225,    3,    0
 13594, 85037,19490226,   64,    0
 13594, 85037,19490227,  111,    0
 13594, 85037,19490228,  134,    0
 13594, 85037,19490301,  109,    0
 13594, 85037,19490302,   59,    0
 13594, 85037,19490303,    6,    0
 13594, 85037,19490304,   28,    0
 13594, 85037,19490305,   35,    0
 13594, 85037,19490306,   18,    0
 13594, 85037,19490307,    6,    0
 13594, 85037,19490308,    0,    0
 13594, 85037,19490309,    0,    0
 13594, 85037,19490310,   31,    0
 13594, 85037,19490311,    0,    0
 13594, 85037,19490312,    0,    0
 13594, 85037,19490313,    0,    0
 13594, 85037,19490314,    0,    0
 13594, 85037,19490315,   88,    0
 13594, 85037,19490316,   71,    0
 13594, 85037,19490317,  150,    0
 13594, 85037,19490318,   97,    0
 13594, 85037,19490319,   49,    0
 13594, 85037,19490320,   12,    0
 13594, 85037,19490321,    0,    0
 13594, 85037,19490322,    0,    0
 13594, 85037,19490323,    0,    0
 13594, 85037,19490324,    0,    0
 13594, 85037,19490325,    0,    0
 13594, 85037,19490326,    0,    0
 13594, 85037,19490327,    0,    0
 13594, 85037,19490328,    0,    0
 13594, 85037,19490329,    0,    0
 13594, 85037,19490330,    0,    0
 13594, 85037,19490331,-9999,    9
 13594, 85037,19490401,-9999,    9
 13594, 85037,19490402,-9999,    9
 13594, 85037,19490403,-9999,    9
 13594, 85037,19490404,-9999,    9
 13594, 85037,19490405,-9999,    9
 13594, 85037,19490406,-9999,    9
 13594, 85037,19490407,-9999,    9
 13594, 85037,19490408,-9999,    9
 13594, 85037,19490409,-9999,    9
 13594, 85037,19490410,-9999,    9
 13594, 85037,19490411,-9999,    9
 13594, 85037,19490412,-9999,    9
 13594, 85037,19490413,-9999,    9
 13594, 85037,19490414,-9999,    9
 13594, 85037,19490415,-9999,    9
 13594, 85037,19490416,-9999,    9
 13594, 85037,19490417,-9999,    9
 13594, 85037,19490418,-9999,    9
 13594, 85037,19490419,-9999,    9
 13594, 85037,19490420,-9999,    9
 13594, 85037,19490421,-9999,    9
 13594, 85037,19490422,-9999,    9
 13594, 85037,19490423,-9999,    9
 13594, 85037,19490424,-9999,    9
 13594, 85037,19490425,-9999,    9
 13594, 85037,19490426,-9999,    9
 13594, 85037,19490427,-9999,    9
