EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KARLSTADT-ROHRBACH, GERMANY (STAID: 13614)
Blended and updated with sources:85075 85077 89035 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 13614, 85075,19410101,   29,    0
 13614, 85075,19410102,   28,    0
 13614, 85075,19410103,   22,    0
 13614, 85075,19410104,    5,    0
 13614, 85075,19410105,    0,    0
 13614, 85075,19410106,    0,    0
 13614, 85075,19410107,    0,    0
 13614, 85075,19410108,    0,    0
 13614, 85075,19410109,    0,    0
 13614, 85075,19410110,    0,    0
 13614, 85075,19410111,    0,    0
 13614, 85075,19410112,    0,    0
 13614, 85075,19410113,   29,    0
 13614, 85075,19410114,    0,    0
 13614, 85075,19410115,    0,    0
 13614, 85075,19410116,   21,    0
 13614, 85075,19410117,    1,    0
 13614, 85075,19410118,   83,    0
 13614, 85075,19410119,   56,    0
 13614, 85075,19410120,   50,    0
 13614, 85075,19410121,    0,    0
 13614, 85075,19410122,   14,    0
 13614, 85075,19410123,   30,    0
 13614, 85075,19410124,   39,    0
 13614, 85075,19410125,  115,    0
 13614, 85075,19410126,   16,    0
 13614, 85075,19410127,    8,    0
 13614, 85075,19410128,    0,    0
 13614, 85075,19410129,    0,    0
 13614, 85075,19410130,    0,    0
 13614, 85075,19410131,   20,    0
 13614, 85075,19410201,   41,    0
 13614, 85075,19410202,    0,    0
 13614, 85075,19410203,    0,    0
 13614, 85075,19410204,    0,    0
 13614, 85075,19410205,    0,    0
 13614, 85075,19410206,    0,    0
 13614, 85075,19410207,   16,    0
 13614, 85075,19410208,    4,    0
 13614, 85075,19410209,    0,    0
 13614, 85075,19410210,    0,    0
 13614, 85075,19410211,    0,    0
 13614, 85075,19410212,    1,    0
 13614, 85075,19410213,   85,    0
 13614, 85075,19410214,    1,    0
 13614, 85075,19410215,    1,    0
 13614, 85075,19410216,   40,    0
 13614, 85075,19410217,    1,    0
 13614, 85075,19410218,   28,    0
 13614, 85075,19410219,   29,    0
 13614, 85075,19410220,    7,    0
 13614, 85075,19410221,    0,    0
 13614, 85075,19410222,    0,    0
 13614, 85075,19410223,   20,    0
 13614, 85075,19410224,   38,    0
 13614, 85075,19410225,    7,    0
 13614, 85075,19410226,    1,    0
 13614, 85075,19410227,   65,    0
 13614, 85075,19410228,   67,    0
 13614, 85075,19410301,   31,    0
