EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KIRCHHAIN, GERMANY (STAID: 13653)
Blended and updated with sources:81669 85155 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 13653, 85155,19310101,   50,    0
 13653, 85155,19310102,    0,    0
 13653, 85155,19310103,  137,    0
 13653, 85155,19310104,    1,    0
 13653, 85155,19310105,    0,    0
 13653, 85155,19310106,    1,    0
 13653, 85155,19310107,    0,    0
 13653, 85155,19310108,    0,    0
 13653, 85155,19310109,    0,    0
 13653, 85155,19310110,    0,    0
 13653, 85155,19310111,    0,    0
 13653, 85155,19310112,    0,    0
 13653, 85155,19310113,   20,    0
 13653, 85155,19310114,   35,    0
 13653, 85155,19310115,    0,    0
 13653, 85155,19310116,   34,    0
 13653, 85155,19310117,   45,    0
 13653, 85155,19310118,    3,    0
 13653, 85155,19310119,   20,    0
 13653, 85155,19310120,    0,    0
 13653, 85155,19310121,    0,    0
 13653, 85155,19310122,    0,    0
 13653, 85155,19310123,   67,    0
 13653, 85155,19310124,   63,    0
 13653, 85155,19310125,   78,    0
 13653, 85155,19310126,    0,    0
 13653, 85155,19310127,    0,    0
 13653, 85155,19310128,    9,    0
 13653, 85155,19310129,   22,    0
 13653, 85155,19310130,   52,    0
 13653, 85155,19310131,    6,    0
 13653, 85155,19310201,    0,    0
 13653, 85155,19310202,   31,    0
 13653, 85155,19310203,   15,    0
 13653, 85155,19310204,    8,    0
 13653, 85155,19310205,    0,    0
 13653, 85155,19310206,    0,    0
 13653, 85155,19310207,    0,    0
 13653, 85155,19310208,    0,    0
 13653, 85155,19310209,    0,    0
 13653, 85155,19310210,    9,    0
 13653, 85155,19310211,   65,    0
 13653, 85155,19310212,   16,    0
 13653, 85155,19310213,    0,    0
 13653, 85155,19310214,    0,    0
 13653, 85155,19310215,    0,    0
 13653, 85155,19310216,   36,    0
 13653, 85155,19310217,   40,    0
 13653, 85155,19310218,    0,    0
 13653, 85155,19310219,    0,    0
 13653, 85155,19310220,    0,    0
 13653, 85155,19310221,    0,    0
 13653, 85155,19310222,    0,    0
 13653, 85155,19310223,    0,    0
 13653, 85155,19310224,    0,    0
 13653, 85155,19310225,   36,    0
 13653, 85155,19310226,    0,    0
 13653, 85155,19310227,   46,    0
 13653, 85155,19310228,   82,    0
 13653, 85155,19310301,   14,    0
 13653, 85155,19310302,    0,    0
 13653, 85155,19310303,    0,    0
 13653, 85155,19310304,    0,    0
 13653, 85155,19310305,    0,    0
 13653, 85155,19310306,    0,    0
 13653, 85155,19310307,    0,    0
 13653, 85155,19310308,    0,    0
 13653, 85155,19310309,    0,    0
 13653, 85155,19310310,    1,    0
 13653, 85155,19310311,   45,    0
 13653, 85155,19310312,    1,    0
 13653, 85155,19310313,    0,    0
 13653, 85155,19310314,    0,    0
 13653, 85155,19310315,    0,    0
 13653, 85155,19310316,    0,    0
 13653, 85155,19310317,    0,    0
 13653, 85155,19310318,    0,    0
 13653, 85155,19310319,    0,    0
 13653, 85155,19310320,    0,    0
 13653, 85155,19310321,   19,    0
 13653, 85155,19310322,   49,    0
 13653, 85155,19310323,    0,    0
 13653, 85155,19310324,    0,    0
 13653, 85155,19310325,    0,    0
 13653, 85155,19310326,    0,    0
 13653, 85155,19310327,    0,    0
 13653, 85155,19310328,    0,    0
 13653, 85155,19310329,    0,    0
 13653, 85155,19310330,    1,    0
 13653, 85155,19310331,    0,    0
 13653, 85155,19310401,    0,    0
 13653, 85155,19310402,    0,    0
 13653, 85155,19310403,    0,    0
 13653, 85155,19310404,   34,    0
 13653, 85155,19310405,    2,    0
 13653, 85155,19310406,    0,    0
 13653, 85155,19310407,    0,    0
 13653, 85155,19310408,    0,    0
 13653, 85155,19310409,    1,    0
 13653, 85155,19310410,    0,    0
 13653, 85155,19310411,    0,    0
 13653, 85155,19310412,    0,    0
 13653, 85155,19310413,    7,    0
 13653, 85155,19310414,   19,    0
 13653, 85155,19310415,    0,    0
 13653, 85155,19310416,    0,    0
 13653, 85155,19310417,  105,    0
 13653, 85155,19310418,    3,    0
 13653, 85155,19310419,    0,    0
 13653, 85155,19310420,    1,    0
 13653, 85155,19310421,    0,    0
 13653, 85155,19310422,    9,    0
 13653, 85155,19310423,    0,    0
 13653, 85155,19310424,    1,    0
 13653, 85155,19310425,   27,    0
