EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LUETZELBACH-BREITENBRUNN, GERMANY (STAID: 14035)
Blended and updated with sources:82417 84659 85919 86779 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14035, 84659,19310101,   77,    0
 14035, 84659,19310102,   35,    0
 14035, 84659,19310103,  100,    0
 14035, 84659,19310104,   38,    0
 14035, 84659,19310105,    0,    0
 14035, 84659,19310106,    2,    0
 14035, 84659,19310107,   14,    0
 14035, 84659,19310108,    1,    0
 14035, 84659,19310109,    0,    0
 14035, 84659,19310110,    0,    0
 14035, 84659,19310111,    0,    0
 14035, 84659,19310112,    0,    0
 14035, 84659,19310113,    0,    0
 14035, 84659,19310114,    2,    0
 14035, 84659,19310115,   16,    0
 14035, 84659,19310116,  122,    0
 14035, 84659,19310117,   45,    0
 14035, 84659,19310118,   15,    0
 14035, 84659,19310119,   36,    0
 14035, 84659,19310120,   50,    0
 14035, 84659,19310121,    5,    0
 14035, 84659,19310122,    0,    0
 14035, 84659,19310123,   82,    0
 14035, 84659,19310124,   48,    0
 14035, 84659,19310125,   62,    0
 14035, 84659,19310126,   32,    0
 14035, 84659,19310127,    1,    0
 14035, 84659,19310128,   47,    0
 14035, 84659,19310129,   45,    0
 14035, 84659,19310130,    6,    0
 14035, 84659,19310131,    0,    0
 14035, 84659,19310201,    0,    0
 14035, 84659,19310202,   31,    0
 14035, 84659,19310203,   13,    0
 14035, 84659,19310204,   41,    0
 14035, 84659,19310205,   14,    0
 14035, 84659,19310206,    0,    0
 14035, 84659,19310207,    0,    0
 14035, 84659,19310208,    0,    0
 14035, 84659,19310209,    0,    0
 14035, 84659,19310210,   24,    0
 14035, 84659,19310211,   41,    0
 14035, 84659,19310212,   13,    0
 14035, 84659,19310213,    2,    0
 14035, 84659,19310214,    0,    0
 14035, 84659,19310215,    2,    0
 14035, 84659,19310216,   27,    0
 14035, 84659,19310217,   38,    0
 14035, 84659,19310218,    0,    0
 14035, 84659,19310219,    0,    0
 14035, 84659,19310220,    0,    0
 14035, 84659,19310221,   14,    0
 14035, 84659,19310222,    0,    0
 14035, 84659,19310223,    0,    0
 14035, 84659,19310224,    0,    0
 14035, 84659,19310225,   21,    0
 14035, 84659,19310226,   85,    0
 14035, 84659,19310227,   32,    0
 14035, 84659,19310228,  140,    0
 14035, 84659,19310301,   17,    0
 14035, 84659,19310302,    0,    0
 14035, 84659,19310303,    0,    0
 14035, 84659,19310304,    0,    0
 14035, 84659,19310305,    0,    0
 14035, 84659,19310306,    0,    0
 14035, 84659,19310307,    6,    0
 14035, 84659,19310308,    0,    0
 14035, 84659,19310309,    0,    0
 14035, 84659,19310310,    6,    0
 14035, 84659,19310311,    9,    0
 14035, 84659,19310312,    0,    0
 14035, 84659,19310313,    0,    0
 14035, 84659,19310314,    0,    0
 14035, 84659,19310315,    0,    0
 14035, 84659,19310316,    0,    0
 14035, 84659,19310317,    0,    0
 14035, 84659,19310318,    0,    0
 14035, 84659,19310319,    0,    0
 14035, 84659,19310320,    0,    0
 14035, 84659,19310321,   26,    0
 14035, 84659,19310322,   26,    0
 14035, 84659,19310323,    0,    0
 14035, 84659,19310324,    0,    0
 14035, 84659,19310325,    0,    0
 14035, 84659,19310326,    0,    0
 14035, 84659,19310327,    0,    0
 14035, 84659,19310328,    0,    0
 14035, 84659,19310329,    0,    0
 14035, 84659,19310330,    0,    0
 14035, 84659,19310331,    0,    0
 14035, 84659,19310401,    0,    0
 14035, 84659,19310402,    0,    0
 14035, 84659,19310403,    0,    0
 14035, 84659,19310404,   87,    0
 14035, 84659,19310405,   83,    0
 14035, 84659,19310406,   96,    0
 14035, 84659,19310407,    2,    0
 14035, 84659,19310408,    0,    0
 14035, 84659,19310409,    0,    0
 14035, 84659,19310410,   12,    0
 14035, 84659,19310411,    0,    0
 14035, 84659,19310412,    0,    0
 14035, 84659,19310413,    6,    0
 14035, 84659,19310414,    9,    0
 14035, 84659,19310415,   14,    0
 14035, 84659,19310416,   38,    0
 14035, 84659,19310417,  161,    0
 14035, 84659,19310418,   30,    0
 14035, 84659,19310419,    8,    0
 14035, 84659,19310420,    0,    0
 14035, 84659,19310421,    0,    0
 14035, 84659,19310422,   23,    0
 14035, 84659,19310423,    7,    0
 14035, 84659,19310424,    0,    0
 14035, 84659,19310425,   58,    0
 14035, 84659,19310426,   24,    0
 14035, 84659,19310427,  112,    0
 14035, 84659,19310428,   56,    0
 14035, 84659,19310429,   71,    0
 14035, 84659,19310430,    0,    0
 14035, 84659,19310501,    0,    0
 14035, 84659,19310502,    0,    0
 14035, 84659,19310503,   83,    0
 14035, 84659,19310504,    0,    0
 14035, 84659,19310505,    0,    0
