EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MALCHIN, GERMANY (STAID: 14057)
Blended and updated with sources:85963 88195 88511 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14057, 88511,19510101,    7,    0
 14057, 88511,19510102,    0,    0
 14057, 88511,19510103,    0,    0
 14057, 88511,19510104,    0,    0
 14057, 88511,19510105,   25,    0
 14057, 88511,19510106,   40,    0
 14057, 88511,19510107,   45,    0
 14057, 88511,19510108,    3,    0
 14057, 88511,19510109,   35,    0
 14057, 88511,19510110,   23,    0
 14057, 88511,19510111,   23,    0
 14057, 88511,19510112,    0,    0
 14057, 88511,19510113,    0,    0
 14057, 88511,19510114,   16,    0
 14057, 88511,19510115,    0,    0
 14057, 88511,19510116,    0,    0
 14057, 88511,19510117,   42,    0
 14057, 88511,19510118,    7,    0
 14057, 88511,19510119,   27,    0
 14057, 88511,19510120,    0,    0
 14057, 88511,19510121,    0,    0
 14057, 88511,19510122,   24,    0
 14057, 88511,19510123,    8,    0
 14057, 88511,19510124,    0,    0
 14057, 88511,19510125,    0,    0
 14057, 88511,19510126,    0,    0
 14057, 88511,19510127,    0,    0
 14057, 88511,19510128,    0,    0
 14057, 88511,19510129,    0,    0
 14057, 88511,19510130,    0,    0
 14057, 88511,19510131,    0,    0
 14057, 88511,19510201,    0,    0
 14057, 88511,19510202,    0,    0
 14057, 88511,19510203,    0,    0
 14057, 88511,19510204,    0,    0
 14057, 88511,19510205,   19,    0
 14057, 88511,19510206,    0,    0
 14057, 88511,19510207,    0,    0
 14057, 88511,19510208,    0,    0
 14057, 88511,19510209,    0,    0
 14057, 88511,19510210,    0,    0
 14057, 88511,19510211,    0,    0
 14057, 88511,19510212,    0,    0
 14057, 88511,19510213,    0,    0
 14057, 88511,19510214,  158,    0
 14057, 88511,19510215,    4,    0
 14057, 88511,19510216,    0,    0
 14057, 88511,19510217,   80,    0
 14057, 88511,19510218,   14,    0
 14057, 88511,19510219,   26,    0
 14057, 88511,19510220,   16,    0
 14057, 88511,19510221,    8,    0
 14057, 88511,19510222,    0,    0
 14057, 88511,19510223,    2,    0
 14057, 88511,19510224,    0,    0
 14057, 88511,19510225,    0,    0
 14057, 88511,19510226,    0,    0
 14057, 88511,19510227,    0,    0
 14057, 88511,19510228,    0,    0
 14057, 88511,19510301,   14,    0
 14057, 88511,19510302,    0,    0
 14057, 88511,19510303,    0,    0
 14057, 88511,19510304,    0,    0
 14057, 88511,19510305,    0,    0
 14057, 88511,19510306,    0,    0
 14057, 88511,19510307,    0,    0
 14057, 88511,19510308,    0,    0
 14057, 88511,19510309,    0,    0
 14057, 88511,19510310,    0,    0
 14057, 88511,19510311,    0,    0
 14057, 88511,19510312,    3,    0
 14057, 88511,19510313,    1,    0
 14057, 88511,19510314,    4,    0
 14057, 88511,19510315,   13,    0
 14057, 88511,19510316,    0,    0
 14057, 88511,19510317,  186,    0
 14057, 88511,19510318,   23,    0
 14057, 88511,19510319,    0,    0
 14057, 88511,19510320,    0,    0
 14057, 88511,19510321,    1,    0
 14057, 88511,19510322,   71,    0
 14057, 88511,19510323,  183,    0
 14057, 88511,19510324,    8,    0
 14057, 88511,19510325,    0,    0
 14057, 88511,19510326,   21,    0
 14057, 88511,19510327,  103,    0
 14057, 88511,19510328,    0,    0
 14057, 88511,19510329,    0,    0
 14057, 88511,19510330,    0,    0
 14057, 88511,19510331,    0,    0
 14057, 88511,19510401,    0,    0
 14057, 88511,19510402,    7,    0
 14057, 88511,19510403,    0,    0
 14057, 88511,19510404,    9,    0
 14057, 88511,19510405,    0,    0
 14057, 88511,19510406,    0,    0
 14057, 88511,19510407,   13,    0
 14057, 88511,19510408,    0,    0
 14057, 88511,19510409,   24,    0
 14057, 88511,19510410,   14,    0
 14057, 88511,19510411,   25,    0
 14057, 88511,19510412,    0,    0
 14057, 88511,19510413,    5,    0
 14057, 88511,19510414,   18,    0
 14057, 88511,19510415,   16,    0
 14057, 88511,19510416,   15,    0
 14057, 88511,19510417,    5,    0
 14057, 88511,19510418,    0,    0
 14057, 88511,19510419,    0,    0
 14057, 88511,19510420,    0,    0
 14057, 88511,19510421,    0,    0
 14057, 88511,19510422,    0,    0
 14057, 88511,19510423,    0,    0
 14057, 88511,19510424,    0,    0
 14057, 88511,19510425,    0,    0
 14057, 88511,19510426,    0,    0
 14057, 88511,19510427,   14,    0
 14057, 88511,19510428,   65,    0
 14057, 88511,19510429,  118,    0
 14057, 88511,19510430,   81,    0
 14057, 88511,19510501,    0,    0
 14057, 88511,19510502,    0,    0
 14057, 88511,19510503,    0,    0
 14057, 88511,19510504,    0,    0
 14057, 88511,19510505,   38,    0
 14057, 88511,19510506,    8,    0
 14057, 88511,19510507,    0,    0
 14057, 88511,19510508,   18,    0
 14057, 88511,19510509,    3,    0
