EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MARKTSCHELLENBERG -ETTENBERG, GERMANY (STAID: 14096)
Blended and updated with sources:81933 81935 82135 86041 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14096, 81933,19310101,    0,    0
 14096, 81933,19310102,   19,    0
 14096, 81933,19310103,    0,    0
 14096, 81933,19310104,   93,    0
 14096, 81933,19310105,    7,    0
 14096, 81933,19310106,   35,    0
 14096, 81933,19310107,    8,    0
 14096, 81933,19310108,   30,    0
 14096, 81933,19310109,    0,    0
 14096, 81933,19310110,    7,    0
 14096, 81933,19310111,    0,    0
 14096, 81933,19310112,    0,    0
 14096, 81933,19310113,    0,    0
 14096, 81933,19310114,    0,    0
 14096, 81933,19310115,    0,    0
 14096, 81933,19310116,   62,    0
 14096, 81933,19310117,  604,    0
 14096, 81933,19310118,  137,    0
 14096, 81933,19310119,  204,    0
 14096, 81933,19310120,   55,    0
 14096, 81933,19310121,    6,    0
 14096, 81933,19310122,    0,    0
 14096, 81933,19310123,    0,    0
 14096, 81933,19310124,  140,    0
 14096, 81933,19310125,  120,    0
 14096, 81933,19310126,  118,    0
 14096, 81933,19310127,  194,    0
 14096, 81933,19310128,    0,    0
 14096, 81933,19310129,   37,    0
 14096, 81933,19310130,   32,    0
 14096, 81933,19310131,    0,    0
 14096, 81933,19310201,    0,    0
 14096, 81933,19310202,    0,    0
 14096, 81933,19310203,    0,    0
 14096, 81933,19310204,    0,    0
 14096, 81933,19310205,   73,    0
 14096, 81933,19310206,   14,    0
 14096, 81933,19310207,   10,    0
 14096, 81933,19310208,    0,    0
 14096, 81933,19310209,    0,    0
 14096, 81933,19310210,   22,    0
 14096, 81933,19310211,    4,    0
 14096, 81933,19310212,   74,    0
 14096, 81933,19310213,   32,    0
 14096, 81933,19310214,   16,    0
 14096, 81933,19310215,    0,    0
 14096, 81933,19310216,    0,    0
 14096, 81933,19310217,    0,    0
 14096, 81933,19310218,    0,    0
 14096, 81933,19310219,    0,    0
 14096, 81933,19310220,    0,    0
 14096, 81933,19310221,    7,    0
 14096, 81933,19310222,  153,    0
 14096, 81933,19310223,   37,    0
 14096, 81933,19310224,   17,    0
 14096, 81933,19310225,    0,    0
 14096, 81933,19310226,   59,    0
 14096, 81933,19310227,  232,    0
 14096, 81933,19310228,   32,    0
 14096, 81933,19310301,  140,    0
 14096, 81933,19310302,   30,    0
 14096, 81933,19310303,  422,    0
 14096, 81933,19310304,   76,    0
 14096, 81933,19310305,    0,    0
 14096, 81933,19310306,   37,    0
 14096, 81933,19310307,   80,    0
 14096, 81933,19310308,   20,    0
 14096, 81933,19310309,    0,    0
 14096, 81933,19310310,   76,    0
 14096, 81933,19310311,    3,    0
 14096, 81933,19310312,    0,    0
 14096, 81933,19310313,    0,    0
 14096, 81933,19310314,    0,    0
 14096, 81933,19310315,    0,    0
 14096, 81933,19310316,    0,    0
 14096, 81933,19310317,    0,    0
 14096, 81933,19310318,    0,    0
 14096, 81933,19310319,    0,    0
 14096, 81933,19310320,    0,    0
 14096, 81933,19310321,    0,    0
 14096, 81933,19310322,    4,    0
 14096, 81933,19310323,    0,    0
 14096, 81933,19310324,    0,    0
 14096, 81933,19310325,    0,    0
 14096, 81933,19310326,    0,    0
