EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MICHELSTADT-VIELBRUNN (OHRNBACHTAL), GERMANY (STAID: 14157)
Blended and updated with sources:85175 86163 86779 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14157, 85175,19310101,  135,    0
 14157, 85175,19310102,  447,    0
 14157, 85175,19310103,  100,    0
 14157, 85175,19310104,   21,    0
 14157, 85175,19310105,   15,    0
 14157, 85175,19310106,    5,    0
 14157, 85175,19310107,   21,    0
 14157, 85175,19310108,    0,    0
 14157, 85175,19310109,    0,    0
 14157, 85175,19310110,    0,    0
 14157, 85175,19310111,    0,    0
 14157, 85175,19310112,    0,    0
 14157, 85175,19310113,    0,    0
 14157, 85175,19310114,    6,    0
 14157, 85175,19310115,   19,    0
 14157, 85175,19310116,  200,    0
 14157, 85175,19310117,  104,    0
 14157, 85175,19310118,   51,    0
 14157, 85175,19310119,  109,    0
 14157, 85175,19310120,   30,    0
 14157, 85175,19310121,    3,    0
 14157, 85175,19310122,    0,    0
 14157, 85175,19310123,   92,    0
 14157, 85175,19310124,   40,    0
 14157, 85175,19310125,  150,    0
 14157, 85175,19310126,   63,    0
 14157, 85175,19310127,    3,    0
 14157, 85175,19310128,  164,    0
 14157, 85175,19310129,  101,    0
 14157, 85175,19310130,    0,    0
 14157, 85175,19310131,    0,    0
 14157, 85175,19310201,    0,    0
 14157, 85175,19310202,   45,    0
 14157, 85175,19310203,    1,    0
 14157, 85175,19310204,   34,    0
 14157, 85175,19310205,   10,    0
 14157, 85175,19310206,    0,    0
 14157, 85175,19310207,    0,    0
 14157, 85175,19310208,    0,    0
 14157, 85175,19310209,    0,    0
 14157, 85175,19310210,   44,    0
 14157, 85175,19310211,   55,    0
 14157, 85175,19310212,   28,    0
 14157, 85175,19310213,   17,    0
 14157, 85175,19310214,    1,    0
 14157, 85175,19310215,    2,    0
 14157, 85175,19310216,   36,    0
 14157, 85175,19310217,   35,    0
 14157, 85175,19310218,    2,    0
 14157, 85175,19310219,    0,    0
 14157, 85175,19310220,    0,    0
 14157, 85175,19310221,   10,    0
 14157, 85175,19310222,    4,    0
 14157, 85175,19310223,    0,    0
 14157, 85175,19310224,    0,    0
 14157, 85175,19310225,   46,    0
 14157, 85175,19310226,  144,    0
 14157, 85175,19310227,   54,    0
 14157, 85175,19310228,  200,    0
 14157, 85175,19310301,   42,    0
 14157, 85175,19310302,    0,    0
 14157, 85175,19310303,    0,    0
 14157, 85175,19310304,    0,    0
 14157, 85175,19310305,    0,    0
 14157, 85175,19310306,    4,    0
 14157, 85175,19310307,   25,    0
 14157, 85175,19310308,    0,    0
 14157, 85175,19310309,    0,    0
 14157, 85175,19310310,   45,    0
 14157, 85175,19310311,   23,    0
 14157, 85175,19310312,    0,    0
 14157, 85175,19310313,    0,    0
 14157, 85175,19310314,    0,    0
 14157, 85175,19310315,    0,    0
 14157, 85175,19310316,    0,    0
 14157, 85175,19310317,    0,    0
 14157, 85175,19310318,    0,    0
 14157, 85175,19310319,    0,    0
 14157, 85175,19310320,    0,    0
 14157, 85175,19310321,   35,    0
 14157, 85175,19310322,   40,    0
 14157, 85175,19310323,    0,    0
 14157, 85175,19310324,    0,    0
 14157, 85175,19310325,    0,    0
 14157, 85175,19310326,    1,    0
 14157, 85175,19310327,    0,    0
 14157, 85175,19310328,    0,    0
 14157, 85175,19310329,    0,    0
 14157, 85175,19310330,    0,    0
 14157, 85175,19310331,    0,    0
 14157, 85175,19310401,    0,    0
 14157, 85175,19310402,    0,    0
 14157, 85175,19310403,   28,    0
 14157, 85175,19310404,  142,    0
 14157, 85175,19310405,   60,    0
 14157, 85175,19310406,  195,    0
 14157, 85175,19310407,    0,    0
 14157, 85175,19310408,    0,    0
 14157, 85175,19310409,    0,    0
 14157, 85175,19310410,    0,    0
 14157, 85175,19310411,    0,    0
 14157, 85175,19310412,    0,    0
 14157, 85175,19310413,   17,    0
 14157, 85175,19310414,   20,    0
 14157, 85175,19310415,    0,    0
 14157, 85175,19310416,   50,    0
 14157, 85175,19310417,  220,    0
 14157, 85175,19310418,   35,    0
 14157, 85175,19310419,    0,    0
 14157, 85175,19310420,    0,    0
 14157, 85175,19310421,    3,    0
 14157, 85175,19310422,   26,    0
 14157, 85175,19310423,    0,    0
 14157, 85175,19310424,    0,    0
 14157, 85175,19310425,   70,    0
 14157, 85175,19310426,   26,    0
 14157, 85175,19310427,  195,    0
 14157, 85175,19310428,  254,    0
 14157, 85175,19310429,   84,    0
 14157, 85175,19310430,    0,    0
 14157, 85175,19310501,    0,    0
 14157, 85175,19310502,    0,    0
 14157, 85175,19310503,  126,    0
 14157, 85175,19310504,    0,    0
 14157, 85175,19310505,    1,    0
 14157, 85175,19310506,  140,    0
 14157, 85175,19310507,  351,    0
 14157, 85175,19310508,    0,    0
 14157, 85175,19310509,    0,    0
 14157, 85175,19310510,    0,    0
 14157, 85175,19310511,    0,    0
 14157, 85175,19310512,    0,    0
 14157, 85175,19310513,    0,    0
 14157, 85175,19310514,    0,    0
 14157, 85175,19310515,    0,    0
 14157, 85175,19310516,    0,    0
 14157, 85175,19310517,    8,    0
 14157, 85175,19310518,    0,    0
 14157, 85175,19310519,    0,    0
 14157, 85175,19310520,   50,    0
 14157, 85175,19310521,   21,    0
 14157, 85175,19310522,    0,    0
 14157, 85175,19310523,    0,    0
 14157, 85175,19310524,    0,    0
 14157, 85175,19310525,    0,    0
 14157, 85175,19310526,    0,    0
 14157, 85175,19310527,    0,    0
 14157, 85175,19310528,    0,    0
 14157, 85175,19310529,    0,    0
 14157, 85175,19310530,  193,    0
 14157, 85175,19310531,   58,    0
 14157, 85175,19310601,   12,    0
 14157, 85175,19310602,    0,    0
 14157, 85175,19310603,    0,    0
 14157, 85175,19310604,    0,    0
 14157, 85175,19310605,    0,    0
 14157, 85175,19310606,   25,    0
 14157, 85175,19310607,   65,    0
 14157, 85175,19310608,   31,    0
 14157, 85175,19310609,  288,    0
 14157, 85175,19310610,    0,    0
 14157, 85175,19310611,    0,    0
 14157, 85175,19310612,   15,    0
 14157, 85175,19310613,    0,    0
 14157, 85175,19310614,    0,    0
 14157, 85175,19310615,    0,    0
 14157, 85175,19310616,    0,    0
 14157, 85175,19310617,  255,    0
 14157, 85175,19310618,  242,    0
 14157, 85175,19310619,    0,    0
 14157, 85175,19310620,   25,    0
 14157, 85175,19310621,    0,    0
 14157, 85175,19310622,    0,    0
 14157, 85175,19310623,    6,    0
 14157, 85175,19310624,   82,    0
 14157, 85175,19310625,    0,    0
 14157, 85175,19310626,    0,    0
 14157, 85175,19310627,    0,    0
 14157, 85175,19310628,    0,    0
 14157, 85175,19310629,    0,    0
 14157, 85175,19310630,    0,    0
 14157, 85175,19310701,    0,    0
 14157, 85175,19310702,    0,    0
 14157, 85175,19310703,  100,    0
 14157, 85175,19310704,    9,    0
 14157, 85175,19310705,    3,    0
 14157, 85175,19310706,  159,    0
 14157, 85175,19310707,   51,    0
 14157, 85175,19310708,   34,    0
 14157, 85175,19310709,    1,    0
 14157, 85175,19310710,    3,    0
 14157, 85175,19310711,    0,    0
 14157, 85175,19310712,   39,    0
 14157, 85175,19310713,   55,    0
 14157, 85175,19310714,   85,    0
 14157, 85175,19310715,  156,    0
 14157, 85175,19310716,  119,    0
 14157, 85175,19310717,  224,    0
 14157, 85175,19310718,  260,    0
 14157, 85175,19310719,  222,    0
 14157, 85175,19310720,   80,    0
 14157, 85175,19310721,   13,    0
 14157, 85175,19310722,    0,    0
 14157, 85175,19310723,    0,    0
 14157, 85175,19310724,    0,    0
 14157, 85175,19310725,    3,    0
 14157, 85175,19310726,    0,    0
 14157, 85175,19310727,   68,    0
 14157, 85175,19310728,    0,    0
 14157, 85175,19310729,    0,    0
 14157, 85175,19310730,    0,    0
 14157, 85175,19310731,    0,    0
 14157, 85175,19310801,    0,    0
 14157, 85175,19310802,  108,    0
 14157, 85175,19310803,   50,    0
 14157, 85175,19310804,    0,    0
 14157, 85175,19310805,   43,    0
 14157, 85175,19310806,   50,    0
 14157, 85175,19310807,   79,    0
 14157, 85175,19310808,    0,    0
 14157, 85175,19310809,    0,    0
 14157, 85175,19310810,    0,    0
 14157, 85175,19310811,   77,    0
 14157, 85175,19310812,    0,    0
 14157, 85175,19310813,   12,    0
 14157, 85175,19310814,    9,    0
 14157, 85175,19310815,   20,    0
 14157, 85175,19310816,  120,    0
 14157, 85175,19310817,   80,    0
 14157, 85175,19310818,  280,    0
 14157, 85175,19310819,  182,    0
 14157, 85175,19310820,   53,    0
 14157, 85175,19310821,  100,    0
 14157, 85175,19310822,    0,    0
 14157, 85175,19310823,  215,    0
 14157, 85175,19310824,    0,    0
 14157, 85175,19310825,    0,    0
 14157, 85175,19310826,   79,    0
 14157, 85175,19310827,    0,    0
 14157, 85175,19310828,    0,    0
 14157, 85175,19310829,    0,    0
 14157, 85175,19310830,  111,    0
 14157, 85175,19310831,   15,    0
 14157, 85175,19310901,    0,    0
 14157, 85175,19310902,    0,    0
 14157, 85175,19310903,   95,    0
 14157, 85175,19310904,   62,    0
 14157, 85175,19310905,  126,    0
 14157, 85175,19310906,   50,    0
 14157, 85175,19310907,    0,    0
 14157, 85175,19310908,    0,    0
 14157, 85175,19310909,    0,    0
 14157, 85175,19310910,    0,    0
 14157, 85175,19310911,   51,    0
 14157, 85175,19310912,   70,    0
 14157, 85175,19310913,    9,    0
 14157, 85175,19310914,    0,    0
 14157, 85175,19310915,    0,    0
 14157, 85175,19310916,    0,    0
 14157, 85175,19310917,   15,    0
 14157, 85175,19310918,   14,    0
 14157, 85175,19310919,    0,    0
