EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MITTWEIDA, GERMANY (STAID: 14175)
Blended and updated with sources:82339 84665 86199 90193 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14175, 82339,19460701,    0,    0
 14175, 82339,19460702,    0,    0
 14175, 82339,19460703,    0,    0
 14175, 82339,19460704,    0,    0
 14175, 82339,19460705,   46,    0
 14175, 82339,19460706,   15,    0
 14175, 82339,19460707,   84,    0
 14175, 82339,19460708,   21,    0
 14175, 82339,19460709,   28,    0
 14175, 82339,19460710,    0,    0
 14175, 82339,19460711,    0,    0
 14175, 82339,19460712,    0,    0
 14175, 82339,19460713,    6,    0
 14175, 82339,19460714,    0,    0
 14175, 82339,19460715,   19,    0
 14175, 82339,19460716,    0,    0
 14175, 82339,19460717,  300,    0
 14175, 82339,19460718,   54,    0
 14175, 82339,19460719,   42,    0
 14175, 82339,19460720,   94,    0
 14175, 82339,19460721,   11,    0
 14175, 82339,19460722,    0,    0
 14175, 82339,19460723,    0,    0
 14175, 82339,19460724,    0,    0
 14175, 82339,19460725,   37,    0
 14175, 82339,19460726,    0,    0
 14175, 82339,19460727,  221,    0
 14175, 82339,19460728,  202,    0
 14175, 82339,19460729,   21,    0
 14175, 82339,19460730,    3,    0
 14175, 82339,19460731,    0,    0
 14175, 82339,19460801,    0,    0
 14175, 82339,19460802,    5,    0
 14175, 82339,19460803,    0,    0
 14175, 82339,19460804,    0,    0
 14175, 82339,19460805,  100,    0
 14175, 82339,19460806,    0,    0
 14175, 82339,19460807,    0,    0
 14175, 82339,19460808,    0,    0
 14175, 82339,19460809,    0,    0
 14175, 82339,19460810,    7,    0
 14175, 82339,19460811,    5,    0
 14175, 82339,19460812,    0,    0
 14175, 82339,19460813,  153,    0
 14175, 82339,19460814,   27,    0
 14175, 82339,19460815,    0,    0
 14175, 82339,19460816,   17,    0
 14175, 82339,19460817,    0,    0
 14175, 82339,19460818,   88,    0
