EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MOISBURG, GERMANY (STAID: 14192)
Blended and updated with sources:84993 86233 87855 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14192, 84993,19010101,    0,    0
 14192, 84993,19010102,    0,    0
 14192, 84993,19010103,    0,    0
 14192, 84993,19010104,    6,    0
 14192, 84993,19010105,    0,    0
 14192, 84993,19010106,    0,    0
 14192, 84993,19010107,    1,    0
 14192, 84993,19010108,    0,    0
 14192, 84993,19010109,    0,    0
 14192, 84993,19010110,    0,    0
 14192, 84993,19010111,    0,    0
 14192, 84993,19010112,    0,    0
 14192, 84993,19010113,    0,    0
 14192, 84993,19010114,    0,    0
 14192, 84993,19010115,    0,    0
 14192, 84993,19010116,    0,    0
 14192, 84993,19010117,    0,    0
 14192, 84993,19010118,    2,    0
 14192, 84993,19010119,   12,    0
 14192, 84993,19010120,   54,    0
 14192, 84993,19010121,    1,    0
 14192, 84993,19010122,   14,    0
 14192, 84993,19010123,    1,    0
 14192, 84993,19010124,    5,    0
 14192, 84993,19010125,   60,    0
 14192, 84993,19010126,   63,    0
 14192, 84993,19010127,   67,    0
 14192, 84993,19010128,   30,    0
 14192, 84993,19010129,    8,    0
 14192, 84993,19010130,  132,    0
 14192, 84993,19010131,    3,    0
 14192, 84993,19010201,   10,    0
 14192, 84993,19010202,    0,    0
 14192, 84993,19010203,    6,    0
 14192, 84993,19010204,   10,    0
 14192, 84993,19010205,    0,    0
 14192, 84993,19010206,    6,    0
 14192, 84993,19010207,    0,    0
 14192, 84993,19010208,    3,    0
 14192, 84993,19010209,   24,    0
 14192, 84993,19010210,    0,    0
 14192, 84993,19010211,    0,    0
 14192, 84993,19010212,    0,    0
 14192, 84993,19010213,    8,    0
 14192, 84993,19010214,   28,    0
 14192, 84993,19010215,   53,    0
 14192, 84993,19010216,   55,    0
 14192, 84993,19010217,    8,    0
 14192, 84993,19010218,    3,    0
 14192, 84993,19010219,    0,    0
 14192, 84993,19010220,    3,    0
 14192, 84993,19010221,    0,    0
 14192, 84993,19010222,   12,    0
 14192, 84993,19010223,   29,    0
 14192, 84993,19010224,   18,    0
 14192, 84993,19010225,    8,    0
 14192, 84993,19010226,    0,    0
 14192, 84993,19010227,   48,    0
 14192, 84993,19010228,    4,    0
 14192, 84993,19010301,   14,    0
 14192, 84993,19010302,    1,    0
 14192, 84993,19010303,   31,    0
 14192, 84993,19010304,    0,    0
 14192, 84993,19010305,  123,    0
 14192, 84993,19010306,   33,    0
 14192, 84993,19010307,   84,    0
 14192, 84993,19010308,    0,    0
 14192, 84993,19010309,    0,    0
 14192, 84993,19010310,    0,    0
 14192, 84993,19010311,   99,    0
 14192, 84993,19010312,    7,    0
 14192, 84993,19010313,    0,    0
 14192, 84993,19010314,   27,    0
 14192, 84993,19010315,    0,    0
 14192, 84993,19010316,    0,    0
 14192, 84993,19010317,    0,    0
 14192, 84993,19010318,   43,    0
 14192, 84993,19010319,    5,    0
 14192, 84993,19010320,    0,    0
 14192, 84993,19010321,    0,    0
 14192, 84993,19010322,    0,    0
 14192, 84993,19010323,    0,    0
 14192, 84993,19010324,    8,    0
 14192, 84993,19010325,    4,    0
 14192, 84993,19010326,    4,    0
 14192, 84993,19010327,   28,    0
 14192, 84993,19010328,   28,    0
 14192, 84993,19010329,   15,    0
 14192, 84993,19010330,    0,    0
 14192, 84993,19010331,   31,    0
 14192, 84993,19010401,    0,    0
 14192, 84993,19010402,    0,    0
 14192, 84993,19010403,  135,    0
 14192, 84993,19010404,   64,    0
 14192, 84993,19010405,    0,    0
 14192, 84993,19010406,   42,    0
 14192, 84993,19010407,   25,    0
 14192, 84993,19010408,   11,    0
 14192, 84993,19010409,   42,    0
 14192, 84993,19010410,   26,    0
 14192, 84993,19010411,   84,    0
 14192, 84993,19010412,    8,    0
 14192, 84993,19010413,    0,    0
 14192, 84993,19010414,    0,    0
 14192, 84993,19010415,   48,    0
 14192, 84993,19010416,    0,    0
 14192, 84993,19010417,    8,    0
 14192, 84993,19010418,    0,    0
 14192, 84993,19010419,   19,    0
 14192, 84993,19010420,    0,    0
 14192, 84993,19010421,    0,    0
 14192, 84993,19010422,    0,    0
 14192, 84993,19010423,    0,    0
 14192, 84993,19010424,    0,    0
 14192, 84993,19010425,    0,    0
