EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MONSCHAU (BRATHERHOF), GERMANY (STAID: 14197)
Blended and updated with sources:86241 86243 86245 89199 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14197, 86241,19310101,  167,    0
 14197, 86241,19310102,   25,    0
 14197, 86241,19310103,  200,    0
 14197, 86241,19310104,   23,    0
 14197, 86241,19310105,   78,    0
 14197, 86241,19310106,    0,    0
 14197, 86241,19310107,    0,    0
 14197, 86241,19310108,    0,    0
 14197, 86241,19310109,    0,    0
 14197, 86241,19310110,    0,    0
 14197, 86241,19310111,    8,    0
 14197, 86241,19310112,   32,    0
 14197, 86241,19310113,   44,    0
 14197, 86241,19310114,    6,    0
 14197, 86241,19310115,   30,    0
 14197, 86241,19310116,  175,    0
 14197, 86241,19310117,  165,    0
 14197, 86241,19310118,  125,    0
 14197, 86241,19310119,  135,    0
 14197, 86241,19310120,   42,    0
 14197, 86241,19310121,    0,    0
 14197, 86241,19310122,    0,    0
 14197, 86241,19310123,  145,    0
 14197, 86241,19310124,  106,    0
 14197, 86241,19310125,   22,    0
 14197, 86241,19310126,   85,    0
 14197, 86241,19310127,    8,    0
 14197, 86241,19310128,  185,    0
 14197, 86241,19310129,   36,    0
 14197, 86241,19310130,   58,    0
 14197, 86241,19310131,    0,    0
 14197, 86241,19310201,    0,    0
 14197, 86241,19310202,   45,    0
 14197, 86241,19310203,   40,    0
 14197, 86241,19310204,   13,    0
 14197, 86241,19310205,   30,    0
 14197, 86241,19310206,    0,    0
 14197, 86241,19310207,    0,    0
 14197, 86241,19310208,    0,    0
 14197, 86241,19310209,    0,    0
 14197, 86241,19310210,   65,    0
 14197, 86241,19310211,  220,    0
 14197, 86241,19310212,   12,    0
 14197, 86241,19310213,   40,    0
 14197, 86241,19310214,    0,    0
 14197, 86241,19310215,   37,    0
 14197, 86241,19310216,   55,    0
 14197, 86241,19310217,   32,    0
 14197, 86241,19310218,    0,    0
 14197, 86241,19310219,    0,    0
 14197, 86241,19310220,    0,    0
 14197, 86241,19310221,   40,    0
 14197, 86241,19310222,    0,    0
 14197, 86241,19310223,    5,    0
 14197, 86241,19310224,    0,    0
 14197, 86241,19310225,   60,    0
 14197, 86241,19310226,  160,    0
 14197, 86241,19310227,   56,    0
 14197, 86241,19310228,  170,    0
 14197, 86241,19310301,   45,    0
 14197, 86241,19310302,    0,    0
 14197, 86241,19310303,    0,    0
 14197, 86241,19310304,    0,    0
 14197, 86241,19310305,    0,    0
 14197, 86241,19310306,    0,    0
 14197, 86241,19310307,    0,    0
 14197, 86241,19310308,    0,    0
 14197, 86241,19310309,    3,    0
 14197, 86241,19310310,   18,    0
 14197, 86241,19310311,   35,    0
 14197, 86241,19310312,    0,    0
 14197, 86241,19310313,    0,    0
 14197, 86241,19310314,    0,    0
 14197, 86241,19310315,    0,    0
 14197, 86241,19310316,    0,    0
 14197, 86241,19310317,    0,    0
 14197, 86241,19310318,    0,    0
 14197, 86241,19310319,    0,    0
 14197, 86241,19310320,    0,    0
 14197, 86241,19310321,    0,    0
 14197, 86241,19310322,   60,    0
 14197, 86241,19310323,    6,    0
 14197, 86241,19310324,    0,    0
 14197, 86241,19310325,    0,    0
 14197, 86241,19310326,    0,    0
 14197, 86241,19310327,    0,    0
 14197, 86241,19310328,    0,    0
 14197, 86241,19310329,    0,    0
 14197, 86241,19310330,    0,    0
 14197, 86241,19310331,    0,    0
 14197, 86241,19310401,    0,    0
 14197, 86241,19310402,    0,    0
 14197, 86241,19310403,    0,    0
 14197, 86241,19310404,   20,    0
 14197, 86241,19310405,   90,    0
 14197, 86241,19310406,   50,    0
 14197, 86241,19310407,    0,    0
 14197, 86241,19310408,    0,    0
 14197, 86241,19310409,    0,    0
 14197, 86241,19310410,    1,    0
 14197, 86241,19310411,    0,    0
 14197, 86241,19310412,   38,    0
 14197, 86241,19310413,    0,    0
 14197, 86241,19310414,   36,    0
 14197, 86241,19310415,   72,    0
 14197, 86241,19310416,   28,    0
 14197, 86241,19310417,  100,    0
 14197, 86241,19310418,    0,    0
 14197, 86241,19310419,    0,    0
 14197, 86241,19310420,    0,    0
 14197, 86241,19310421,   12,    0
 14197, 86241,19310422,   30,    0
 14197, 86241,19310423,    5,    0
 14197, 86241,19310424,   21,    0
 14197, 86241,19310425,   92,    0
 14197, 86241,19310426,  121,    0
 14197, 86241,19310427,  225,    0
 14197, 86241,19310428,  160,    0
 14197, 86241,19310429,   26,    0
 14197, 86241,19310430,    0,    0
 14197, 86241,19310501,    0,    0
 14197, 86241,19310502,    0,    0
 14197, 86241,19310503,    0,    0
 14197, 86241,19310504,   55,    0
 14197, 86241,19310505,    0,    0
 14197, 86241,19310506,    0,    0
 14197, 86241,19310507,   72,    0
 14197, 86241,19310508,    0,    0
 14197, 86241,19310509,    0,    0
 14197, 86241,19310510,    0,    0
 14197, 86241,19310511,    0,    0
 14197, 86241,19310512,    0,    0
 14197, 86241,19310513,    0,    0
 14197, 86241,19310514,    0,    0
 14197, 86241,19310515,   93,    0
 14197, 86241,19310516,    0,    0
 14197, 86241,19310517,   27,    0
 14197, 86241,19310518,    0,    0
 14197, 86241,19310519,    0,    0
 14197, 86241,19310520,    0,    0
 14197, 86241,19310521,   22,    0
 14197, 86241,19310522,    0,    0
 14197, 86241,19310523,    0,    0
 14197, 86241,19310524,    0,    0
 14197, 86241,19310525,    0,    0
 14197, 86241,19310526,  259,    0
 14197, 86241,19310527,    0,    0
 14197, 86241,19310528,    0,    0
 14197, 86241,19310529,    0,    0
 14197, 86241,19310530,   32,    0
 14197, 86241,19310531,   14,    0
 14197, 86241,19310601,   72,    0
 14197, 86241,19310602,    0,    0
 14197, 86241,19310603,    0,    0
 14197, 86241,19310604,    0,    0
