EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MUENCHEN-KIRCHTRUDERING, GERMANY (STAID: 14231)
Blended and updated with sources:84145 86311 86315 89009 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14231, 86311,19310101,   17,    0
 14231, 86311,19310102,   44,    0
 14231, 86311,19310103,    5,    0
 14231, 86311,19310104,   56,    0
 14231, 86311,19310105,    0,    0
 14231, 86311,19310106,   25,    0
 14231, 86311,19310107,    4,    0
 14231, 86311,19310108,   12,    0
 14231, 86311,19310109,    0,    0
 14231, 86311,19310110,    0,    0
 14231, 86311,19310111,    0,    0
 14231, 86311,19310112,    0,    0
 14231, 86311,19310113,    0,    0
 14231, 86311,19310114,    0,    0
 14231, 86311,19310115,    0,    0
 14231, 86311,19310116,    1,    0
 14231, 86311,19310117,   55,    0
 14231, 86311,19310118,   12,    0
 14231, 86311,19310119,   62,    0
 14231, 86311,19310120,   28,    0
 14231, 86311,19310121,    2,    0
 14231, 86311,19310122,    0,    0
 14231, 86311,19310123,    5,    0
 14231, 86311,19310124,   20,    0
 14231, 86311,19310125,   21,    0
 14231, 86311,19310126,  175,    0
 14231, 86311,19310127,   15,    0
 14231, 86311,19310128,   34,    0
 14231, 86311,19310129,    0,    0
 14231, 86311,19310130,    2,    0
 14231, 86311,19310131,    5,    0
 14231, 86311,19310201,    0,    0
 14231, 86311,19310202,    0,    0
 14231, 86311,19310203,    0,    0
 14231, 86311,19310204,   10,    0
 14231, 86311,19310205,    5,    0
 14231, 86311,19310206,    6,    0
 14231, 86311,19310207,    9,    0
 14231, 86311,19310208,    6,    0
 14231, 86311,19310209,    0,    0
 14231, 86311,19310210,    9,    0
 14231, 86311,19310211,    8,    0
 14231, 86311,19310212,   92,    0
 14231, 86311,19310213,   26,    0
 14231, 86311,19310214,   38,    0
 14231, 86311,19310215,    0,    0
 14231, 86311,19310216,    0,    0
 14231, 86311,19310217,    3,    0
 14231, 86311,19310218,    0,    0
 14231, 86311,19310219,    0,    0
 14231, 86311,19310220,    0,    0
 14231, 86311,19310221,  100,    0
 14231, 86311,19310222,  110,    0
 14231, 86311,19310223,    6,    0
 14231, 86311,19310224,    0,    0
 14231, 86311,19310225,    4,    0
 14231, 86311,19310226,   48,    0
 14231, 86311,19310227,   90,    0
 14231, 86311,19310228,   80,    0
 14231, 86311,19310301,   15,    0
 14231, 86311,19310302,    0,    0
 14231, 86311,19310303,   80,    0
 14231, 86311,19310304,   52,    0
 14231, 86311,19310305,    0,    0
 14231, 86311,19310306,   53,    0
 14231, 86311,19310307,   73,    0
 14231, 86311,19310308,   30,    0
 14231, 86311,19310309,   82,    0
 14231, 86311,19310310,  120,    0
 14231, 86311,19310311,    0,    0
 14231, 86311,19310312,    0,    0
 14231, 86311,19310313,    0,    0
 14231, 86311,19310314,    0,    0
 14231, 86311,19310315,    0,    0
 14231, 86311,19310316,    0,    0
 14231, 86311,19310317,    0,    0
 14231, 86311,19310318,    0,    0
 14231, 86311,19310319,    0,    0
 14231, 86311,19310320,    0,    0
 14231, 86311,19310321,   30,    0
 14231, 86311,19310322,    3,    0
