EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NIEDERMENDIG, GERMANY (STAID: 14389)
Blended and updated with sources:86627 87185 89335 90353 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14389, 86627,19310101,   16,    0
 14389, 86627,19310102,  142,    0
 14389, 89335,19310103,   50,    0
 14389, 89335,19310104,   10,    0
 14389, 89335,19310105,   10,    0
 14389, 89335,19310106,   11,    0
 14389, 89335,19310107,   13,    0
 14389, 89335,19310108,    0,    0
 14389, 89335,19310109,    0,    0
 14389, 89335,19310110,    0,    0
 14389, 89335,19310111,    0,    0
 14389, 89335,19310112,   10,    0
 14389, 89335,19310113,   15,    0
 14389, 89335,19310114,   37,    0
 14389, 89335,19310115,    0,    0
 14389, 86627,19310116,   31,    0
 14389, 86627,19310117,  150,    0
 14389, 86627,19310118,   12,    0
 14389, 89335,19310119,   28,    0
 14389, 89335,19310120,   36,    0
 14389, 89335,19310121,    3,    0
 14389, 89335,19310122,    0,    0
 14389, 86627,19310123,   37,    0
 14389, 89335,19310124,   28,    0
 14389, 89335,19310125,   20,    0
 14389, 86627,19310126,   17,    0
 14389, 86627,19310127,   32,    0
 14389, 86627,19310128,    6,    0
 14389, 86627,19310129,   21,    0
 14389, 86627,19310130,   34,    0
 14389, 89335,19310131,   10,    0
 14389, 89335,19310201,    0,    0
 14389, 89335,19310202,   30,    0
 14389, 86627,19310203,   62,    0
 14389, 86627,19310204,   22,    0
 14389, 89335,19310205,   60,    0
 14389, 89335,19310206,    0,    0
 14389, 89335,19310207,    0,    0
 14389, 89335,19310208,    0,    0
 14389, 89335,19310209,    0,    0
 14389, 89335,19310210,    7,    0
 14389, 86627,19310211,   82,    0
 14389, 86627,19310212,    6,    0
 14389, 89335,19310213,   58,    0
 14389, 89335,19310214,    0,    0
 14389, 89335,19310215,    2,    0
 14389, 86627,19310216,    8,    0
 14389, 89335,19310217,  300,    0
 14389, 89335,19310218,    8,    0
 14389, 89335,19310219,    0,    0
 14389, 89335,19310220,    0,    0
 14389, 89335,19310221,    0,    0
 14389, 89335,19310222,    0,    0
 14389, 86627,19310223,    9,    0
 14389, 86627,19310224,   11,    0
 14389, 86627,19310225,   12,    0
 14389, 89335,19310226,   20,    0
 14389, 89335,19310227,    0,    0
 14389, 89335,19310228,   55,    0
 14389, 89335,19310301,   35,    0
 14389, 89335,19310302,    0,    0
 14389, 89335,19310303,    0,    0
 14389, 89335,19310304,    0,    0
 14389, 89335,19310305,    0,    0
 14389, 89335,19310306,    0,    0
 14389, 89335,19310307,    0,    0
 14389, 89335,19310308,    0,    0
 14389, 89335,19310309,    0,    0
 14389, 89335,19310310,    0,    0
 14389, 86627,19310311,   38,    0
 14389, 89335,19310312,    0,    0
 14389, 89335,19310313,    0,    0
 14389, 89335,19310314,    0,    0
 14389, 89335,19310315,    0,    0
 14389, 89335,19310316,    0,    0
 14389, 89335,19310317,    0,    0
 14389, 89335,19310318,    0,    0
 14389, 89335,19310319,    0,    0
 14389, 89335,19310320,    0,    0
 14389, 86627,19310321,    2,    0
 14389, 89335,19310322,   41,    0
 14389, 89335,19310323,    5,    0
 14389, 89335,19310324,    0,    0
 14389, 89335,19310325,    0,    0
 14389, 89335,19310326,    0,    0
 14389, 89335,19310327,    0,    0
 14389, 89335,19310328,    0,    0
 14389, 89335,19310329,    0,    0
 14389, 89335,19310330,    0,    0
 14389, 89335,19310331,    0,    0
 14389, 89335,19310401,    0,    0
 14389, 89335,19310402,    0,    0
 14389, 89335,19310403,    0,    0
 14389, 86627,19310404,   33,    0
 14389, 89335,19310405,    0,    0
 14389, 89335,19310406,    0,    0
 14389, 89335,19310407,    0,    0
 14389, 89335,19310408,    0,    0
 14389, 89335,19310409,    0,    0
 14389, 89335,19310410,    0,    0
 14389, 89335,19310411,    0,    0
 14389, 89335,19310412,    0,    0
 14389, 89335,19310413,   21,    0
 14389, 89335,19310414,    5,    0
 14389, 89335,19310415,   27,    0
 14389, 89335,19310416,   31,    0
 14389, 89335,19310417,   71,    0
 14389, 89335,19310418,    0,    0
 14389, 89335,19310419,    8,    0
 14389, 89335,19310420,   16,    0
 14389, 89335,19310421,    0,    0
 14389, 89335,19310422,   15,    0
 14389, 89335,19310423,    0,    0
 14389, 89335,19310424,    0,    0
 14389, 86627,19310425,   71,    0
 14389, 86627,19310426,   59,    0
 14389, 86627,19310427,   43,    0
 14389, 86627,19310428,   32,    0
 14389, 89335,19310429,   62,    0
 14389, 89335,19310430,    0,    0
 14389, 89335,19310501,    0,    0
 14389, 89335,19310502,    0,    0
 14389, 89335,19310503,    0,    0
 14389, 89335,19310504,    0,    0
 14389, 89335,19310505,    0,    0
 14389, 89335,19310506,   38,    0
 14389, 89335,19310507,  235,    0
 14389, 89335,19310508,    0,    0
 14389, 89335,19310509,    0,    0
 14389, 89335,19310510,    0,    0
 14389, 89335,19310511,    0,    0
 14389, 89335,19310512,    5,    0
 14389, 89335,19310513,    0,    0
 14389, 89335,19310514,    0,    0
 14389, 89335,19310515,   39,    0
 14389, 89335,19310516,    0,    0
 14389, 86627,19310517,    6,    0
 14389, 86627,19310518,   24,    0
 14389, 86627,19310519,   17,    0
 14389, 89335,19310520,   14,    0
 14389, 89335,19310521,    0,    0
 14389, 89335,19310522,    0,    0
 14389, 89335,19310523,    0,    0
 14389, 89335,19310524,    3,    0
 14389, 89335,19310525,    0,    0
 14389, 89335,19310526,    0,    0
 14389, 89335,19310527,    0,    0
 14389, 89335,19310528,    0,    0
 14389, 86627,19310529,   34,    0
 14389, 86627,19310530,   82,    0
 14389, 86627,19310531,   92,    0
 14389, 86627,19310601,   12,    0
 14389, 89335,19310602,   31,    0
 14389, 89335,19310603,    0,    0
 14389, 89335,19310604,    0,    0
 14389, 89335,19310605,    0,    0
 14389, 86627,19310606,   46,    0
 14389, 89335,19310607,   53,    0
 14389, 89335,19310608,    0,    0
 14389, 89335,19310609,   37,    0
 14389, 89335,19310610,    0,    0
 14389, 89335,19310611,    0,    0
 14389, 89335,19310612,    0,    0
 14389, 89335,19310613,    0,    0
 14389, 89335,19310614,    3,    0
 14389, 89335,19310615,    0,    0
 14389, 89335,19310616,    0,    0
 14389, 86627,19310617,    3,    0
 14389, 86627,19310618,    2,    0
 14389, 89335,19310619,    7,    0
 14389, 89335,19310620,    0,    0
 14389, 89335,19310621,    0,    0
 14389, 89335,19310622,    0,    0
 14389, 89335,19310623,    0,    0
 14389, 89335,19310624,    0,    0
 14389, 89335,19310625,    0,    0
 14389, 89335,19310626,    0,    0
 14389, 89335,19310627,    0,    0
 14389, 89335,19310628,    0,    0
 14389, 89335,19310629,    0,    0
 14389, 89335,19310630,    0,    0
 14389, 89335,19310701,    0,    0
 14389, 89335,19310702,    0,    0
 14389, 86627,19310703,   15,    0
 14389, 89335,19310704,   55,    0
 14389, 89335,19310705,    0,    0
 14389, 86627,19310706,   47,    0
 14389, 89335,19310707,  120,    0
 14389, 89335,19310708,    0,    0
 14389, 89335,19310709,    0,    0
 14389, 89335,19310710,    0,    0
 14389, 89335,19310711,    0,    0
 14389, 89335,19310712,    0,    0
 14389, 89335,19310713,    0,    0
 14389, 86627,19310714,   69,    0
 14389, 86627,19310715,   29,    0
 14389, 86627,19310716,   30,    0
 14389, 86627,19310717,   37,    0
 14389, 86627,19310718,    5,    0
 14389, 86627,19310719,  111,    0
 14389, 86627,19310720,   17,    0
 14389, 89335,19310721,   10,    0
 14389, 89335,19310722,    0,    0
 14389, 89335,19310723,    0,    0
 14389, 86627,19310724,    9,    0
 14389, 86627,19310725,   92,    0
 14389, 86627,19310726,   14,    0
 14389, 86627,19310727,    5,    0
 14389, 89335,19310728,    0,    0
 14389, 89335,19310729,    0,    0
 14389, 89335,19310730,    2,    0
 14389, 89335,19310731,    0,    0
 14389, 89335,19310801,    0,    0
 14389, 89335,19310802,    0,    0
 14389, 89335,19310803,    6,    0
 14389, 89335,19310804,    3,    0
 14389, 86627,19310805,   44,    0
 14389, 86627,19310806,   79,    0
 14389, 86627,19310807,    2,    0
 14389, 86627,19310808,    9,    0
 14389, 86627,19310809,   12,    0
 14389, 86627,19310810,   32,    0
 14389, 89335,19310811,   56,    0
 14389, 89335,19310812,   30,    0
 14389, 86627,19310813,  109,    0
 14389, 89335,19310814,  220,    0
 14389, 89335,19310815,    0,    0
 14389, 86627,19310816,   90,    0
 14389, 86627,19310817,    8,    0
 14389, 86627,19310818,   48,    0
 14389, 86627,19310819,   98,    0
 14389, 86627,19310820,    9,    0
 14389, 86627,19310821,   63,    0
 14389, 89335,19310822,    0,    0
