EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PARCHIM, GERMANY (STAID: 14594)
Blended and updated with sources:82847 87037 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14594, 87037,19510101,   31,    0
 14594, 87037,19510102,    2,    0
 14594, 87037,19510103,    0,    0
 14594, 87037,19510104,    5,    0
 14594, 87037,19510105,   57,    0
 14594, 87037,19510106,   55,    0
 14594, 87037,19510107,  136,    0
 14594, 87037,19510108,    6,    0
 14594, 87037,19510109,   84,    0
 14594, 87037,19510110,   48,    0
 14594, 87037,19510111,   18,    0
 14594, 87037,19510112,    0,    0
 14594, 87037,19510113,    0,    0
 14594, 87037,19510114,   36,    0
 14594, 87037,19510115,    6,    0
 14594, 87037,19510116,    2,    0
 14594, 87037,19510117,  106,    0
 14594, 87037,19510118,   46,    0
 14594, 87037,19510119,   22,    0
 14594, 87037,19510120,    0,    0
 14594, 87037,19510121,    0,    0
 14594, 87037,19510122,    8,    0
 14594, 87037,19510123,    7,    0
 14594, 87037,19510124,    0,    0
 14594, 87037,19510125,    0,    0
 14594, 87037,19510126,   28,    0
 14594, 87037,19510127,    0,    0
 14594, 87037,19510128,    0,    0
 14594, 87037,19510129,    0,    0
 14594, 87037,19510130,    0,    0
 14594, 87037,19510131,    0,    0
 14594, 87037,19510201,    0,    0
 14594, 87037,19510202,    1,    0
 14594, 87037,19510203,    0,    0
 14594, 87037,19510204,    0,    0
 14594, 87037,19510205,    2,    0
 14594, 87037,19510206,    0,    0
 14594, 87037,19510207,    0,    0
 14594, 87037,19510208,    0,    0
 14594, 87037,19510209,    0,    0
 14594, 87037,19510210,    0,    0
 14594, 87037,19510211,    0,    0
 14594, 87037,19510212,   20,    0
 14594, 87037,19510213,   18,    0
 14594, 87037,19510214,  130,    0
 14594, 87037,19510215,    1,    0
 14594, 87037,19510216,   12,    0
 14594, 87037,19510217,   95,    0
 14594, 87037,19510218,   31,    0
 14594, 87037,19510219,   15,    0
 14594, 87037,19510220,   13,    0
 14594, 87037,19510221,   11,    0
 14594, 87037,19510222,    0,    0
 14594, 87037,19510223,   35,    0
 14594, 87037,19510224,    0,    0
 14594, 87037,19510225,    0,    0
 14594, 87037,19510226,    0,    0
 14594, 87037,19510227,    9,    0
 14594, 87037,19510228,    0,    0
 14594, 87037,19510301,   22,    0
 14594, 87037,19510302,    0,    0
 14594, 87037,19510303,    0,    0
 14594, 87037,19510304,    0,    0
 14594, 87037,19510305,    0,    0
 14594, 87037,19510306,    0,    0
 14594, 87037,19510307,    0,    0
 14594, 87037,19510308,    0,    0
 14594, 87037,19510309,    0,    0
 14594, 87037,19510310,    0,    0
 14594, 87037,19510311,    7,    0
 14594, 87037,19510312,    3,    0
 14594, 87037,19510313,    6,    0
 14594, 87037,19510314,   32,    0
 14594, 87037,19510315,    8,    0
 14594, 87037,19510316,    1,    0
 14594, 87037,19510317,  115,    0
 14594, 87037,19510318,   61,    0
 14594, 87037,19510319,    0,    0
 14594, 87037,19510320,    0,    0
 14594, 87037,19510321,    0,    0
 14594, 87037,19510322,  134,    0
 14594, 87037,19510323,  159,    0
 14594, 87037,19510324,    6,    0
 14594, 87037,19510325,    0,    0
 14594, 87037,19510326,   74,    0
 14594, 87037,19510327,   69,    0
 14594, 87037,19510328,    0,    0
 14594, 87037,19510329,    0,    0
 14594, 87037,19510330,    0,    0
 14594, 87037,19510331,   20,    0
 14594, 87037,19510401,    0,    0
 14594, 87037,19510402,    0,    0
 14594, 87037,19510403,    1,    0
 14594, 87037,19510404,   24,    0
 14594, 87037,19510405,    0,    0
 14594, 87037,19510406,    0,    0
 14594, 87037,19510407,   34,    0
 14594, 87037,19510408,    6,    0
 14594, 87037,19510409,   43,    0
 14594, 87037,19510410,   24,    0
 14594, 87037,19510411,    8,    0
 14594, 87037,19510412,    0,    0
 14594, 87037,19510413,    5,    0
 14594, 87037,19510414,   40,    0
 14594, 87037,19510415,   26,    0
 14594, 87037,19510416,    7,    0
 14594, 87037,19510417,    0,    0
 14594, 87037,19510418,    0,    0
 14594, 87037,19510419,    0,    0
 14594, 87037,19510420,    0,    0
 14594, 87037,19510421,    0,    0
 14594, 87037,19510422,    0,    0
 14594, 87037,19510423,    0,    0
 14594, 87037,19510424,    0,    0
 14594, 87037,19510425,    0,    0
 14594, 87037,19510426,    0,    0
 14594, 87037,19510427,   28,    0
 14594, 87037,19510428,    6,    0
 14594, 87037,19510429,   76,    0
 14594, 87037,19510430,  123,    0
 14594, 87037,19510501,    0,    0
 14594, 87037,19510502,    0,    0
 14594, 87037,19510503,    0,    0
 14594, 87037,19510504,   10,    0
 14594, 87037,19510505,   79,    0
 14594, 87037,19510506,    0,    0
 14594, 87037,19510507,    0,    0
 14594, 87037,19510508,   19,    0
 14594, 87037,19510509,    2,    0
 14594, 87037,19510510,    0,    0
 14594, 87037,19510511,    0,    0
 14594, 87037,19510512,    0,    0
 14594, 87037,19510513,    0,    0
 14594, 87037,19510514,    1,    0
 14594, 87037,19510515,    4,    0
 14594, 87037,19510516,   11,    0
 14594, 87037,19510517,    0,    0
 14594, 87037,19510518,    0,    0
 14594, 87037,19510519,    8,    0
 14594, 87037,19510520,    0,    0
 14594, 87037,19510521,  331,    0
 14594, 87037,19510522,    1,    0
 14594, 87037,19510523,  100,    0
 14594, 87037,19510524,    0,    0
 14594, 87037,19510525,    0,    0
 14594, 87037,19510526,    1,    0
 14594, 87037,19510527,  202,    0
 14594, 87037,19510528,   76,    0
 14594, 87037,19510529,    0,    0
 14594, 87037,19510530,    0,    0
 14594, 87037,19510531,    0,    0
 14594, 87037,19510601,    0,    0
 14594, 87037,19510602,    0,    0
 14594, 87037,19510603,    0,    0
