EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PRITTITZ-PLOTHA, GERMANY (STAID: 14703)
Blended and updated with sources:83811 84727 86963 87255 89935 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14703, 86963,19510101,    0,    0
 14703, 86963,19510102,    0,    0
 14703, 86963,19510103,    0,    0
 14703, 86963,19510104,    0,    0
 14703, 86963,19510105,   11,    0
 14703, 86963,19510106,    0,    0
 14703, 86963,19510107,    3,    0
 14703, 86963,19510108,    0,    0
 14703, 86963,19510109,    0,    0
 14703, 86963,19510110,    0,    0
 14703, 86963,19510111,    0,    0
 14703, 86963,19510112,   12,    0
 14703, 86963,19510113,    0,    0
 14703, 86963,19510114,    0,    0
 14703, 86963,19510115,   16,    0
 14703, 86963,19510116,   44,    0
 14703, 86963,19510117,  137,    0
 14703, 86963,19510118,   26,    0
 14703, 86963,19510119,   24,    0
 14703, 86963,19510120,    0,    0
 14703, 86963,19510121,    0,    0
 14703, 86963,19510122,   27,    0
 14703, 86963,19510123,    0,    0
 14703, 86963,19510124,    0,    0
 14703, 86963,19510125,    0,    0
 14703, 86963,19510126,   25,    0
 14703, 86963,19510127,    0,    0
 14703, 86963,19510128,    0,    0
 14703, 86963,19510129,   16,    0
 14703, 86963,19510130,    0,    0
