EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PULLENREUTH-DREIHAEUSER, GERMANY (STAID: 14713)
Blended and updated with sources:82327 87275 89233 89235 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14713, 82327,18990101,    0,    0
 14713, 82327,18990102,  158,    0
 14713, 82327,18990103,   39,    0
 14713, 82327,18990104,   21,    0
 14713, 82327,18990105,    0,    0
 14713, 82327,18990106,    0,    0
 14713, 82327,18990107,    1,    0
 14713, 82327,18990108,    0,    0
 14713, 82327,18990109,    0,    0
 14713, 82327,18990110,    0,    0
 14713, 82327,18990111,   30,    0
 14713, 82327,18990112,  140,    0
 14713, 82327,18990113,  199,    0
 14713, 82327,18990114,    6,    0
 14713, 82327,18990115,  230,    0
 14713, 82327,18990116,  207,    0
 14713, 82327,18990117,   80,    0
 14713, 82327,18990118,   42,    0
 14713, 82327,18990119,    0,    0
 14713, 82327,18990120,    9,    0
 14713, 82327,18990121,    0,    0
 14713, 82327,18990122,    0,    0
 14713, 82327,18990123,    4,    0
 14713, 82327,18990124,    4,    0
 14713, 82327,18990125,   10,    0
 14713, 82327,18990126,    0,    0
 14713, 82327,18990127,    0,    0
 14713, 82327,18990128,    0,    0
 14713, 82327,18990129,    0,    0
 14713, 82327,18990130,    0,    0
 14713, 82327,18990131,   34,    0
 14713, 82327,18990201,   30,    0
 14713, 82327,18990202,    1,    0
 14713, 82327,18990203,    0,    0
 14713, 82327,18990204,    0,    0
 14713, 82327,18990205,  154,    0
 14713, 82327,18990206,   90,    0
 14713, 82327,18990207,   66,    0
 14713, 82327,18990208,   30,    0
 14713, 82327,18990209,    0,    0
 14713, 82327,18990210,    0,    0
 14713, 82327,18990211,    0,    0
 14713, 82327,18990212,   28,    0
 14713, 82327,18990213,   90,    0
 14713, 82327,18990214,    0,    0
 14713, 82327,18990215,    0,    0
 14713, 82327,18990216,   72,    0
 14713, 82327,18990217,    3,    0
 14713, 82327,18990218,    0,    0
 14713, 82327,18990219,    0,    0
 14713, 82327,18990220,    1,    0
 14713, 82327,18990221,    0,    0
 14713, 82327,18990222,    0,    0
 14713, 82327,18990223,    0,    0
 14713, 82327,18990224,    0,    0
 14713, 82327,18990225,    0,    0
 14713, 82327,18990226,    0,    0
 14713, 82327,18990227,    0,    0
 14713, 82327,18990228,    0,    0
 14713, 82327,18990301,   12,    0
 14713, 82327,18990302,    5,    0
 14713, 82327,18990303,    0,    0
 14713, 82327,18990304,   11,    0
 14713, 82327,18990305,    1,    0
 14713, 82327,18990306,    0,    0
 14713, 82327,18990307,    0,    0
 14713, 82327,18990308,    7,    0
 14713, 82327,18990309,    0,    0
 14713, 82327,18990310,   18,    0
 14713, 82327,18990311,    0,    0
 14713, 82327,18990312,    0,    0
 14713, 82327,18990313,    0,    0
 14713, 82327,18990314,    0,    0
 14713, 82327,18990315,    0,    0
 14713, 82327,18990316,    0,    0
 14713, 82327,18990317,    0,    0
 14713, 82327,18990318,    1,    0
 14713, 82327,18990319,    4,    0
 14713, 82327,18990320,   23,    0
 14713, 82327,18990321,    1,    0
 14713, 82327,18990322,    2,    0
 14713, 82327,18990323,    0,    0
 14713, 82327,18990324,    0,    0
 14713, 82327,18990325,    0,    0
 14713, 82327,18990326,   49,    0
 14713, 82327,18990327,    1,    0
 14713, 82327,18990328,    0,    0
 14713, 82327,18990329,    0,    0
 14713, 82327,18990330,   16,    0
 14713, 82327,18990331,    0,    0
 14713, 82327,18990401,    5,    0
 14713, 82327,18990402,    0,    0
 14713, 82327,18990403,    4,    0
 14713, 82327,18990404,   13,    0
 14713, 82327,18990405,   71,    0
 14713, 82327,18990406,    2,    0
 14713, 82327,18990407,  100,    0
 14713, 82327,18990408,   94,    0
 14713, 82327,18990409,   54,    0
 14713, 82327,18990410,  354,    0
 14713, 82327,18990411,  122,    0
 14713, 82327,18990412,   65,    0
 14713, 82327,18990413,    0,    0
 14713, 82327,18990414,    2,    0
 14713, 82327,18990415,    2,    0
 14713, 82327,18990416,   53,    0
 14713, 82327,18990417,   47,    0
 14713, 82327,18990418,    0,    0
 14713, 82327,18990419,   57,    0
 14713, 82327,18990420,  221,    0
 14713, 82327,18990421,   35,    0
 14713, 82327,18990422,    6,    0
 14713, 82327,18990423,    0,    0
 14713, 82327,18990424,    0,    0
 14713, 82327,18990425,  123,    0
 14713, 82327,18990426,   35,    0
 14713, 82327,18990427,    0,    0
 14713, 82327,18990428,    0,    0
 14713, 82327,18990429,   49,    0
 14713, 82327,18990430,   27,    0
 14713, 82327,18990501,    0,    0
 14713, 82327,18990502,    0,    0
 14713, 82327,18990503,   27,    0
 14713, 82327,18990504,   57,    0
 14713, 82327,18990505,   55,    0
 14713, 82327,18990506,  142,    0
 14713, 82327,18990507,    3,    0
 14713, 82327,18990508,    0,    0
 14713, 82327,18990509,   20,    0
 14713, 82327,18990510,    0,    0
 14713, 82327,18990511,   24,    0
 14713, 82327,18990512,    4,    0
