EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RHEINBACH, GERMANY (STAID: 14826)
Blended and updated with sources:81549 86343 87501 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14826, 87501,19310101,   34,    0
 14826, 87501,19310102,   36,    0
 14826, 87501,19310103,    0,    0
 14826, 87501,19310104,   84,    0
 14826, 87501,19310105,   55,    0
 14826, 87501,19310106,   31,    0
 14826, 87501,19310107,    2,    0
 14826, 87501,19310108,    0,    0
 14826, 87501,19310109,    0,    0
 14826, 87501,19310110,    0,    0
 14826, 87501,19310111,    0,    0
 14826, 87501,19310112,   44,    0
 14826, 87501,19310113,    6,    0
 14826, 87501,19310114,    3,    0
 14826, 87501,19310115,    4,    0
 14826, 87501,19310116,    5,    0
 14826, 87501,19310117,  104,    0
 14826, 87501,19310118,  100,    0
 14826, 87501,19310119,   45,    0
 14826, 87501,19310120,    0,    0
 14826, 87501,19310121,   10,    0
 14826, 87501,19310122,    0,    0
 14826, 87501,19310123,   40,    0
 14826, 87501,19310124,    0,    0
 14826, 87501,19310125,   57,    0
 14826, 87501,19310126,   62,    0
 14826, 87501,19310127,    0,    0
 14826, 87501,19310128,   32,    0
 14826, 87501,19310129,   48,    0
 14826, 87501,19310130,   48,    0
 14826, 87501,19310131,    0,    0
 14826, 87501,19310201,    0,    0
 14826, 87501,19310202,   34,    0
 14826, 87501,19310203,   29,    0
 14826, 87501,19310204,   15,    0
 14826, 87501,19310205,   10,    0
 14826, 87501,19310206,    0,    0
 14826, 87501,19310207,    0,    0
 14826, 87501,19310208,    0,    0
 14826, 87501,19310209,    0,    0
 14826, 87501,19310210,    0,    0
 14826, 87501,19310211,  141,    0
 14826, 87501,19310212,    0,    0
 14826, 87501,19310213,    0,    0
 14826, 87501,19310214,    0,    0
 14826, 87501,19310215,    4,    0
 14826, 87501,19310216,    0,    0
 14826, 87501,19310217,  140,    0
 14826, 87501,19310218,    0,    0
 14826, 87501,19310219,    0,    0
 14826, 87501,19310220,    0,    0
 14826, 87501,19310221,    0,    0
 14826, 87501,19310222,    0,    0
 14826, 87501,19310223,    0,    0
 14826, 87501,19310224,    0,    0
 14826, 87501,19310225,   43,    0
 14826, 87501,19310226,   56,    0
 14826, 87501,19310227,    0,    0
 14826, 87501,19310228,    0,    0
 14826, 87501,19310301,   98,    0
 14826, 87501,19310302,    0,    0
 14826, 87501,19310303,    0,    0
 14826, 87501,19310304,    0,    0
 14826, 87501,19310305,    0,    0
 14826, 87501,19310306,    0,    0
 14826, 87501,19310307,    0,    0
 14826, 87501,19310308,    0,    0
 14826, 87501,19310309,    0,    0
 14826, 87501,19310310,    0,    0
 14826, 87501,19310311,    0,    0
 14826, 87501,19310312,    0,    0
 14826, 87501,19310313,    0,    0
 14826, 87501,19310314,    0,    0
 14826, 87501,19310315,    0,    0
 14826, 87501,19310316,    0,    0
 14826, 87501,19310317,    0,    0
 14826, 87501,19310318,    0,    0
 14826, 87501,19310319,    0,    0
 14826, 87501,19310320,    0,    0
 14826, 87501,19310321,   28,    0
 14826, 87501,19310322,   40,    0
 14826, 87501,19310323,    0,    0
 14826, 87501,19310324,    4,    0
 14826, 87501,19310325,    0,    0
 14826, 87501,19310326,    0,    0
 14826, 87501,19310327,    0,    0
 14826, 87501,19310328,    0,    0
 14826, 87501,19310329,    0,    0
 14826, 87501,19310330,    0,    0
 14826, 87501,19310331,    0,    0
 14826, 87501,19310401,    0,    0
 14826, 87501,19310402,    0,    0
 14826, 87501,19310403,   10,    0
 14826, 87501,19310404,    0,    0
 14826, 87501,19310405,   70,    0
 14826, 87501,19310406,    0,    0
 14826, 87501,19310407,    0,    0
 14826, 87501,19310408,    0,    0
 14826, 87501,19310409,    0,    0
 14826, 87501,19310410,    3,    0
 14826, 87501,19310411,    0,    0
 14826, 87501,19310412,    4,    0
 14826, 87501,19310413,    0,    0
 14826, 87501,19310414,   12,    0
 14826, 87501,19310415,   20,    0
 14826, 87501,19310416,   40,    0
 14826, 87501,19310417,   52,    0
 14826, 87501,19310418,    0,    0
 14826, 87501,19310419,    0,    0
 14826, 87501,19310420,    0,    0
 14826, 87501,19310421,   15,    0
 14826, 87501,19310422,    0,    0
 14826, 87501,19310423,    0,    0
 14826, 87501,19310424,    0,    0
 14826, 87501,19310425,   38,    0
 14826, 87501,19310426,   30,    0
 14826, 87501,19310427,   96,    0
 14826, 87501,19310428,   92,    0
 14826, 87501,19310429,   48,    0
 14826, 87501,19310430,    0,    0
 14826, 87501,19310501,    0,    0
 14826, 87501,19310502,    0,    0
 14826, 87501,19310503,   10,    0
 14826, 87501,19310504,    0,    0
 14826, 87501,19310505,    0,    0
 14826, 87501,19310506,   40,    0
 14826, 87501,19310507,  128,    0
 14826, 87501,19310508,    3,    0
 14826, 87501,19310509,    0,    0
 14826, 87501,19310510,    0,    0
 14826, 87501,19310511,    0,    0
 14826, 87501,19310512,   12,    0
 14826, 87501,19310513,    0,    0
 14826, 87501,19310514,   60,    0
 14826, 87501,19310515,    0,    0
 14826, 87501,19310516,    0,    0
 14826, 87501,19310517,    0,    0
 14826, 87501,19310518,   10,    0
 14826, 87501,19310519,    5,    0
 14826, 87501,19310520,    0,    0
 14826, 87501,19310521,    4,    0
 14826, 87501,19310522,    0,    0
 14826, 87501,19310523,    0,    0
