EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROESRATH-FORSBACH, GERMANY (STAID: 14886)
Blended and updated with sources:81943 87621 90253 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14886, 81943,19310101,  135,    0
 14886, 81943,19310102,   29,    0
 14886, 81943,19310103,  116,    0
 14886, 81943,19310104,    4,    0
 14886, 81943,19310105,   22,    0
 14886, 81943,19310106,    0,    0
 14886, 81943,19310107,    0,    0
 14886, 81943,19310108,    0,    0
 14886, 81943,19310109,    0,    0
 14886, 81943,19310110,    0,    0
 14886, 81943,19310111,    0,    0
 14886, 81943,19310112,   83,    0
 14886, 81943,19310113,   51,    0
 14886, 81943,19310114,   11,    0
 14886, 81943,19310115,   50,    0
 14886, 81943,19310116,   43,    0
 14886, 81943,19310117,  142,    0
 14886, 81943,19310118,   19,    0
 14886, 81943,19310119,   55,    0
 14886, 81943,19310120,   26,    0
 14886, 81943,19310121,    0,    0
 14886, 81943,19310122,    0,    0
 14886, 81943,19310123,   28,    0
 14886, 81943,19310124,    0,    0
 14886, 81943,19310125,    0,    0
 14886, 81943,19310126,   55,    0
 14886, 81943,19310127,   14,    0
 14886, 81943,19310128,    0,    0
 14886, 81943,19310129,   29,    0
 14886, 81943,19310130,   78,    0
 14886, 81943,19310131,    0,    0
 14886, 81943,19310201,    0,    0
 14886, 81943,19310202,   67,    0
 14886, 81943,19310203,    0,    0
 14886, 81943,19310204,   11,    0
 14886, 81943,19310205,   45,    0
 14886, 81943,19310206,    0,    0
 14886, 81943,19310207,    0,    0
 14886, 81943,19310208,    0,    0
 14886, 81943,19310209,    3,    0
 14886, 81943,19310210,    9,    0
 14886, 81943,19310211,   45,    0
 14886, 81943,19310212,    7,    0
 14886, 81943,19310213,    9,    0
 14886, 81943,19310214,    0,    0
 14886, 81943,19310215,   29,    0
 14886, 81943,19310216,   50,    0
 14886, 81943,19310217,   66,    0
 14886, 81943,19310218,    3,    0
 14886, 81943,19310219,    0,    0
 14886, 81943,19310220,    0,    0
 14886, 81943,19310221,   64,    0
 14886, 81943,19310222,    0,    0
 14886, 81943,19310223,    0,    0
 14886, 81943,19310224,    0,    0
 14886, 81943,19310225,  142,    0
 14886, 81943,19310226,   71,    0
 14886, 81943,19310227,   28,    0
 14886, 81943,19310228,  118,    0
 14886, 81943,19310301,   31,    0
 14886, 81943,19310302,    0,    0
 14886, 81943,19310303,    0,    0
 14886, 81943,19310304,    0,    0
 14886, 81943,19310305,    0,    0
 14886, 81943,19310306,    0,    0
 14886, 81943,19310307,    0,    0
 14886, 81943,19310308,    0,    0
 14886, 81943,19310309,    0,    0
 14886, 81943,19310310,    3,    0
 14886, 81943,19310311,    0,    0
 14886, 81943,19310312,    0,    0
 14886, 81943,19310313,    0,    0
 14886, 81943,19310314,    0,    0
 14886, 81943,19310315,    0,    0
 14886, 81943,19310316,    0,    0
 14886, 81943,19310317,    0,    0
 14886, 81943,19310318,    0,    0
 14886, 81943,19310319,    0,    0
 14886, 81943,19310320,    0,    0
 14886, 81943,19310321,   49,    0
 14886, 81943,19310322,   94,    0
 14886, 81943,19310323,    5,    0
 14886, 81943,19310324,    0,    0
 14886, 81943,19310325,    0,    0
 14886, 81943,19310326,    0,    0
 14886, 81943,19310327,    0,    0
 14886, 81943,19310328,    0,    0
 14886, 81943,19310329,    0,    0
 14886, 81943,19310330,    0,    0
 14886, 81943,19310331,    0,    0
 14886, 81943,19310401,    0,    0
 14886, 81943,19310402,    0,    0
 14886, 81943,19310403,    9,    0
 14886, 81943,19310404,   47,    0
 14886, 81943,19310405,   88,    0
 14886, 81943,19310406,    0,    0
 14886, 81943,19310407,    0,    0
 14886, 81943,19310408,    0,    0
 14886, 81943,19310409,   57,    0
 14886, 81943,19310410,    0,    0
 14886, 81943,19310411,    0,    0
 14886, 81943,19310412,    0,    0
 14886, 81943,19310413,   10,    0
 14886, 81943,19310414,   30,    0
 14886, 81943,19310415,   15,    0
 14886, 81943,19310416,   33,    0
 14886, 81943,19310417,  113,    0
 14886, 81943,19310418,    0,    0
 14886, 81943,19310419,    0,    0
 14886, 81943,19310420,    0,    0
 14886, 81943,19310421,    6,    0
 14886, 81943,19310422,   20,    0
 14886, 81943,19310423,    1,    0
 14886, 81943,19310424,    2,    0
 14886, 81943,19310425,   55,    0
 14886, 81943,19310426,    2,    0
 14886, 81943,19310427,   92,    0
 14886, 81943,19310428,   90,    0
 14886, 81943,19310429,   26,    0
 14886, 81943,19310430,    0,    0
 14886, 81943,19310501,    0,    0
 14886, 81943,19310502,    3,    0
 14886, 81943,19310503,    7,    0
 14886, 81943,19310504,    0,    0
 14886, 81943,19310505,    0,    0
 14886, 81943,19310506,  138,    0
 14886, 81943,19310507,  255,    0
 14886, 81943,19310508,    0,    0
 14886, 81943,19310509,    0,    0
 14886, 81943,19310510,    0,    0
 14886, 81943,19310511,    0,    0
 14886, 81943,19310512,    0,    0
 14886, 81943,19310513,    0,    0
 14886, 81943,19310514,    0,    0
 14886, 81943,19310515,   82,    0
 14886, 81943,19310516,    0,    0
 14886, 81943,19310517,    0,    0
 14886, 81943,19310518,    0,    0
 14886, 81943,19310519,    0,    0
 14886, 81943,19310520,    0,    0
 14886, 81943,19310521,    0,    0
 14886, 81943,19310522,    0,    0
 14886, 81943,19310523,    0,    0
 14886, 81943,19310524,    0,    0
 14886, 81943,19310525,    0,    0
 14886, 81943,19310526,    0,    0
 14886, 81943,19310527,    0,    0
 14886, 81943,19310528,  115,    0
 14886, 81943,19310529,    0,    0
 14886, 81943,19310530,   79,    0
 14886, 81943,19310531,   25,    0
 14886, 81943,19310601,  126,    0
 14886, 81943,19310602,    5,    0
 14886, 81943,19310603,    0,    0
 14886, 81943,19310604,    0,    0
 14886, 81943,19310605,    2,    0
 14886, 81943,19310606,   63,    0
 14886, 81943,19310607,  122,    0
 14886, 81943,19310608,    2,    0
 14886, 81943,19310609,  100,    0
 14886, 81943,19310610,    0,    0
 14886, 81943,19310611,    0,    0
 14886, 81943,19310612,    0,    0
 14886, 81943,19310613,    0,    0
 14886, 81943,19310614,    2,    0
 14886, 81943,19310615,    0,    0
 14886, 81943,19310616,    0,    0
 14886, 81943,19310617,   96,    0
 14886, 81943,19310618,    7,    0
 14886, 81943,19310619,  102,    0
 14886, 81943,19310620,    0,    0
 14886, 81943,19310621,    0,    0
 14886, 81943,19310622,    0,    0
 14886, 81943,19310623,    0,    0
 14886, 81943,19310624,    0,    0
 14886, 81943,19310625,    0,    0
 14886, 81943,19310626,    0,    0
 14886, 81943,19310627,    0,    0
 14886, 81943,19310628,    0,    0
 14886, 81943,19310629,    0,    0
 14886, 81943,19310630,    0,    0
 14886, 81943,19310701,    0,    0
 14886, 81943,19310702,    0,    0
 14886, 81943,19310703,    8,    0
 14886, 81943,19310704,    8,    0
 14886, 81943,19310705,    0,    0
 14886, 81943,19310706,  119,    0
 14886, 81943,19310707,   58,    0
 14886, 81943,19310708,    3,    0
 14886, 81943,19310709,    0,    0
 14886, 81943,19310710,   35,    0
 14886, 81943,19310711,    0,    0
 14886, 81943,19310712,    0,    0
 14886, 81943,19310713,    0,    0
 14886, 81943,19310714,   85,    0
 14886, 81943,19310715,   55,    0
 14886, 81943,19310716,   90,    0
 14886, 81943,19310717,  168,    0
 14886, 81943,19310718,    1,    0
 14886, 81943,19310719,   10,    0
 14886, 81943,19310720,   30,    0
 14886, 81943,19310721,   37,    0
 14886, 81943,19310722,    0,    0
 14886, 81943,19310723,    0,    0
 14886, 81943,19310724,    2,    0
 14886, 81943,19310725,  225,    0
 14886, 81943,19310726,    2,    0
 14886, 81943,19310727,    3,    0
 14886, 81943,19310728,   70,    0
 14886, 81943,19310729,    2,    0
 14886, 81943,19310730,    3,    0
 14886, 81943,19310731,    0,    0
 14886, 81943,19310801,    0,    0
 14886, 81943,19310802,    0,    0
 14886, 81943,19310803,   45,    0
 14886, 81943,19310804,   28,    0
 14886, 81943,19310805,   33,    0
 14886, 81943,19310806,  226,    0
 14886, 81943,19310807,   79,    0
 14886, 81943,19310808,   10,    0
 14886, 81943,19310809,   12,    0
 14886, 81943,19310810,  155,    0
 14886, 81943,19310811,   28,    0
 14886, 81943,19310812,   69,    0
 14886, 81943,19310813,    0,    0
 14886, 81943,19310814,   69,    0
 14886, 81943,19310815,  150,    0
 14886, 81943,19310816,   73,    0
 14886, 81943,19310817,   50,    0
 14886, 81943,19310818,    3,    0
 14886, 81943,19310819,  155,    0
 14886, 81943,19310820,   67,    0
 14886, 81943,19310821,  183,    0
 14886, 81943,19310822,   37,    0
 14886, 81943,19310823,  102,    0
 14886, 81943,19310824,    0,    0
 14886, 81943,19310825,    0,    0
 14886, 81943,19310826,    0,    0
 14886, 81943,19310827,    0,    0
 14886, 81943,19310828,    0,    0
 14886, 81943,19310829,    0,    0
 14886, 81943,19310830,    0,    0
 14886, 81943,19310831,    8,    0
 14886, 81943,19310901,   32,    0
 14886, 81943,19310902,    1,    0
 14886, 81943,19310903,   33,    0
 14886, 81943,19310904,   20,    0
 14886, 81943,19310905,   54,    0
 14886, 81943,19310906,  239,    0
 14886, 81943,19310907,   18,    0
 14886, 81943,19310908,    0,    0
 14886, 81943,19310909,    0,    0
 14886, 81943,19310910,    0,    0
 14886, 81943,19310911,    0,    0
 14886, 81943,19310912,   98,    0
 14886, 81943,19310913,   18,    0
 14886, 81943,19310914,    0,    0
 14886, 81943,19310915,    0,    0
 14886, 81943,19310916,    0,    0
 14886, 81943,19310917,   60,    0
 14886, 81943,19310918,    0,    0
 14886, 81943,19310919,    0,    0
 14886, 81943,19310920,   15,    0
 14886, 81943,19310921,   69,    0
 14886, 81943,19310922,    0,    0
 14886, 81943,19310923,    0,    0
 14886, 81943,19310924,   18,    0
 14886, 81943,19310925,   10,    0
 14886, 81943,19310926,    0,    0
 14886, 81943,19310927,   17,    0
 14886, 81943,19310928,    0,    0
 14886, 81943,19310929,    0,    0
 14886, 81943,19310930,    0,    0
 14886, 81943,19311001,    0,    0
 14886, 81943,19311002,   62,    0
 14886, 81943,19311003,    0,    0
 14886, 81943,19311004,    0,    0
 14886, 81943,19311005,    0,    0
 14886, 81943,19311006,    0,    0
 14886, 81943,19311007,   79,    0
 14886, 81943,19311008,    0,    0
 14886, 81943,19311009,    0,    0
 14886, 81943,19311010,    0,    0
 14886, 81943,19311011,    0,    0
 14886, 81943,19311012,    0,    0
 14886, 81943,19311013,    0,    0
 14886, 81943,19311014,    0,    0
 14886, 81943,19311015,    0,    0
 14886, 81943,19311016,    0,    0
 14886, 81943,19311017,    0,    0
 14886, 81943,19311018,    0,    0
 14886, 81943,19311019,    0,    0
 14886, 81943,19311020,   26,    0
 14886, 81943,19311021,    0,    0
 14886, 81943,19311022,    0,    0
 14886, 81943,19311023,  174,    0
 14886, 81943,19311024,   68,    0
 14886, 81943,19311025,    0,    0
 14886, 81943,19311026,    0,    0
 14886, 81943,19311027,    0,    0
 14886, 81943,19311028,   21,    0
 14886, 81943,19311029,  110,    0
 14886, 81943,19311030,   33,    0
 14886, 81943,19311031,    0,    0
 14886, 81943,19311101,    0,    0
 14886, 81943,19311102,    0,    0
 14886, 81943,19311103,    0,    0
 14886, 81943,19311104,    7,    0
 14886, 81943,19311105,   68,    0
 14886, 81943,19311106,    0,    0
 14886, 81943,19311107,    0,    0
 14886, 81943,19311108,   43,    0
 14886, 81943,19311109,    0,    0
 14886, 81943,19311110,    0,    0
 14886, 81943,19311111,   30,    0
 14886, 81943,19311112,   31,    0
 14886, 81943,19311113,    0,    0
 14886, 81943,19311114,    0,    0
 14886, 81943,19311115,    0,    0
 14886, 81943,19311116,    0,    0
 14886, 81943,19311117,    0,    0
 14886, 81943,19311118,    0,    0
 14886, 81943,19311119,    0,    0
 14886, 81943,19311120,    0,    0
 14886, 81943,19311121,    0,    0
 14886, 81943,19311122,    0,    0
 14886, 81943,19311123,    0,    0
 14886, 81943,19311124,   62,    0
 14886, 81943,19311125,   23,    0
 14886, 81943,19311126,   36,    0
 14886, 81943,19311127,   40,    0
 14886, 81943,19311128,   51,    0
 14886, 81943,19311129,    0,    0
 14886, 81943,19311130,    0,    0
 14886, 81943,19311201,    0,    0
 14886, 81943,19311202,    0,    0
 14886, 81943,19311203,  150,    0
 14886, 81943,19311204,    5,    0
 14886, 81943,19311205,    0,    0
 14886, 81943,19311206,    0,    0
 14886, 81943,19311207,    0,    0
 14886, 81943,19311208,  180,    0
 14886, 81943,19311209,   52,    0
 14886, 81943,19311210,   26,    0
 14886, 81943,19311211,   10,    0
 14886, 81943,19311212,   12,    0
 14886, 81943,19311213,    0,    0
 14886, 81943,19311214,    0,    0
 14886, 81943,19311215,   18,    0
 14886, 81943,19311216,    0,    0
 14886, 81943,19311217,   10,    0
 14886, 81943,19311218,    0,    0
 14886, 81943,19311219,   36,    0
 14886, 81943,19311220,    0,    0
 14886, 81943,19311221,    0,    0
 14886, 81943,19311222,    0,    0
 14886, 81943,19311223,    0,    0
 14886, 81943,19311224,   34,    0
