EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROSENFELD-BICKELSBERG, GERMANY (STAID: 14904)
Blended and updated with sources:81344 86781 87657 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14904, 86781,19410101,  183,    0
 14904, 86781,19410102,   89,    0
 14904, 86781,19410103,   37,    0
 14904, 86781,19410104,    9,    0
 14904, 86781,19410105,   20,    0
 14904, 86781,19410106,    0,    0
 14904, 86781,19410107,    0,    0
 14904, 86781,19410108,   14,    0
 14904, 86781,19410109,   43,    0
 14904, 86781,19410110,    0,    0
 14904, 86781,19410111,    0,    0
 14904, 86781,19410112,    0,    0
 14904, 86781,19410113,    0,    0
 14904, 86781,19410114,    0,    0
 14904, 86781,19410115,    0,    0
 14904, 86781,19410116,   52,    0
 14904, 86781,19410117,    0,    0
 14904, 86781,19410118,  387,    0
 14904, 86781,19410119,  240,    0
 14904, 86781,19410120,   44,    0
 14904, 86781,19410121,    0,    0
 14904, 86781,19410122,   60,    0
 14904, 86781,19410123,   97,    0
 14904, 86781,19410124,   70,    0
 14904, 86781,19410125,   60,    0
 14904, 86781,19410126,   52,    0
 14904, 86781,19410127,   39,    0
 14904, 86781,19410128,    0,    0
 14904, 86781,19410129,   48,    0
 14904, 86781,19410130,   37,    0
 14904, 86781,19410131,   88,    0
 14904, 86781,19410201,   78,    0
 14904, 86781,19410202,   61,    0
 14904, 86781,19410203,   23,    0
 14904, 86781,19410204,    9,    0
 14904, 86781,19410205,    4,    0
 14904, 86781,19410206,    0,    0
 14904, 86781,19410207,   44,    0
 14904, 86781,19410208,   23,    0
 14904, 86781,19410209,    0,    0
 14904, 86781,19410210,    0,    0
 14904, 86781,19410211,    0,    0
 14904, 86781,19410212,   32,    0
 14904, 86781,19410213,   34,    0
 14904, 86781,19410214,    0,    0
 14904, 86781,19410215,   38,    0
 14904, 86781,19410216,   22,    0
 14904, 86781,19410217,    0,    0
 14904, 86781,19410218,   47,    0
 14904, 86781,19410219,    4,    0
 14904, 86781,19410220,   69,    0
 14904, 86781,19410221,   68,    0
 14904, 86781,19410222,   48,    0
 14904, 86781,19410223,   56,    0
 14904, 86781,19410224,  139,    0
 14904, 86781,19410225,    0,    0
 14904, 86781,19410226,    0,    0
 14904, 86781,19410227,   39,    0
 14904, 86781,19410228,   89,    0
 14904, 86781,19410301,  219,    0
 14904, 86781,19410302,   37,    0
 14904, 86781,19410303,   24,    0
 14904, 86781,19410304,    4,    0
 14904, 86781,19410305,    0,    0
 14904, 86781,19410306,   21,    0
 14904, 86781,19410307,    0,    0
 14904, 86781,19410308,   89,    0
 14904, 86781,19410309,    0,    0
 14904, 86781,19410310,    0,    0
 14904, 86781,19410311,    0,    0
 14904, 86781,19410312,    0,    0
 14904, 86781,19410313,    0,    0
 14904, 86781,19410314,    0,    0
 14904, 86781,19410315,    0,    0
 14904, 86781,19410316,    0,    0
 14904, 86781,19410317,    0,    0
 14904, 86781,19410318,    0,    0
 14904, 86781,19410319,    0,    0
 14904, 86781,19410320,    0,    0
 14904, 86781,19410321,    0,    0
 14904, 86781,19410322,  100,    0
 14904, 86781,19410323,  173,    0
 14904, 86781,19410324,    0,    0
