EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RUPPERSDORF, GERMANY (STAID: 14948)
Blended and updated with sources:82909 83847 85763 87745 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14948, 83847,19460101,    0,    0
 14948, 83847,19460102,    0,    0
 14948, 83847,19460103,    0,    0
 14948, 83847,19460104,    0,    0
 14948, 83847,19460105,    0,    0
 14948, 83847,19460106,    0,    0
 14948, 83847,19460107,    0,    0
 14948, 83847,19460108,    0,    0
 14948, 83847,19460109,   34,    0
 14948, 83847,19460110,   61,    0
 14948, 83847,19460111,    0,    0
 14948, 83847,19460112,   32,    0
 14948, 83847,19460113,   64,    0
 14948, 83847,19460114,   34,    0
 14948, 83847,19460115,   10,    0
 14948, 83847,19460116,    0,    0
 14948, 83847,19460117,    0,    0
 14948, 83847,19460118,    0,    0
 14948, 83847,19460119,    0,    0
 14948, 83847,19460120,   36,    0
 14948, 83847,19460121,    0,    0
 14948, 83847,19460122,    0,    0
 14948, 83847,19460123,    0,    0
 14948, 83847,19460124,    0,    0
 14948, 83847,19460125,    0,    0
 14948, 83847,19460126,    0,    0
 14948, 83847,19460127,    0,    0
 14948, 83847,19460128,    3,    0
 14948, 83847,19460129,   47,    0
 14948, 83847,19460130,    0,    0
 14948, 83847,19460131,    3,    0
 14948, 83847,19460201,    0,    0
 14948, 83847,19460202,   30,    0
 14948, 83847,19460203,   29,    0
 14948, 83847,19460204,   70,    0
 14948, 83847,19460205,   21,    0
 14948, 83847,19460206,   19,    0
 14948, 83847,19460207,   36,    0
 14948, 83847,19460208,   66,    0
 14948, 83847,19460209,   66,    0
 14948, 83847,19460210,    6,    0
 14948, 83847,19460211,   44,    0
 14948, 83847,19460212,   11,    0
 14948, 83847,19460213,    0,    0
 14948, 83847,19460214,   22,    0
 14948, 83847,19460215,   16,    0
 14948, 83847,19460216,   49,    0
 14948, 83847,19460217,    9,    0
 14948, 83847,19460218,   16,    0
 14948, 83847,19460219,   72,    0
 14948, 83847,19460220,   28,    0
 14948, 83847,19460221,   18,    0
 14948, 83847,19460222,   14,    0
 14948, 83847,19460223,   64,    0
 14948, 83847,19460224,    4,    0
 14948, 83847,19460225,    0,    0
 14948, 83847,19460226,   13,    0
 14948, 83847,19460227,   66,    0
 14948, 83847,19460228,    0,    0
 14948, 83847,19460301,   33,    0
 14948, 83847,19460302,    0,    0
 14948, 83847,19460303,    0,    0
 14948, 83847,19460304,   21,    0
 14948, 83847,19460305,   75,    0
 14948, 83847,19460306,   11,    0
 14948, 83847,19460307,    6,    0
 14948, 83847,19460308,    2,    0
 14948, 83847,19460309,    0,    0
 14948, 83847,19460310,    0,    0
 14948, 83847,19460311,    0,    0
 14948, 83847,19460312,    8,    0
 14948, 83847,19460313,    0,    0
 14948, 83847,19460314,  112,    0
 14948, 83847,19460315,    0,    0
 14948, 83847,19460316,    0,    0
 14948, 83847,19460317,    0,    0
 14948, 83847,19460318,    0,    0
 14948, 83847,19460319,    0,    0
 14948, 83847,19460320,    0,    0
 14948, 83847,19460321,   47,    0
 14948, 83847,19460322,   17,    0
 14948, 83847,19460323,   25,    0
 14948, 83847,19460324,    6,    0
 14948, 83847,19460325,    0,    0
 14948, 83847,19460326,    2,    0
 14948, 83847,19460327,    0,    0
 14948, 83847,19460328,    0,    0
 14948, 83847,19460329,    0,    0
 14948, 83847,19460330,    0,    0
 14948, 83847,19460331,    0,    0
 14948, 83847,19460401,    0,    0
 14948, 83847,19460402,    0,    0
 14948, 83847,19460403,    0,    0
 14948, 83847,19460404,    0,    0
 14948, 83847,19460405,    0,    0
 14948, 83847,19460406,   70,    0
