EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SANDSTEDT, GERMANY (STAID: 14984)
Blended and updated with sources:87015 87817 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14984, 87817,19310101,    0,    0
 14984, 87817,19310102,    0,    0
 14984, 87817,19310103,   84,    0
 14984, 87817,19310104,  146,    0
 14984, 87817,19310105,   29,    0
 14984, 87817,19310106,   28,    0
 14984, 87817,19310107,    0,    0
 14984, 87817,19310108,    0,    0
 14984, 87817,19310109,    0,    0
 14984, 87817,19310110,    0,    0
 14984, 87817,19310111,   38,    0
 14984, 87817,19310112,   28,    0
 14984, 87817,19310113,    2,    0
 14984, 87817,19310114,    3,    0
 14984, 87817,19310115,   49,    0
 14984, 87817,19310116,  210,    0
 14984, 87817,19310117,    8,    0
 14984, 87817,19310118,   52,    0
 14984, 87817,19310119,   17,    0
 14984, 87817,19310120,   29,    0
 14984, 87817,19310121,    1,    0
 14984, 87817,19310122,    2,    0
 14984, 87817,19310123,   57,    0
 14984, 87817,19310124,   72,    0
 14984, 87817,19310125,  103,    0
 14984, 87817,19310126,   34,    0
 14984, 87817,19310127,    3,    0
 14984, 87817,19310128,   91,    0
 14984, 87817,19310129,    1,    0
 14984, 87817,19310130,    6,    0
 14984, 87817,19310131,    0,    0
 14984, 87817,19310201,    0,    0
 14984, 87817,19310202,   31,    0
 14984, 87817,19310203,    2,    0
 14984, 87817,19310204,    1,    0
 14984, 87817,19310205,    1,    0
 14984, 87817,19310206,    2,    0
 14984, 87817,19310207,    0,    0
 14984, 87817,19310208,    0,    0
 14984, 87817,19310209,    0,    0
 14984, 87817,19310210,   20,    0
 14984, 87817,19310211,   44,    0
 14984, 87817,19310212,   69,    0
 14984, 87817,19310213,    0,    0
 14984, 87817,19310214,    0,    0
 14984, 87817,19310215,    3,    0
 14984, 87817,19310216,   43,    0
 14984, 87817,19310217,    5,    0
 14984, 87817,19310218,    0,    0
 14984, 87817,19310219,    0,    0
 14984, 87817,19310220,    0,    0
 14984, 87817,19310221,   31,    0
 14984, 87817,19310222,    0,    0
 14984, 87817,19310223,    2,    0
 14984, 87817,19310224,   16,    0
 14984, 87817,19310225,   29,    0
 14984, 87817,19310226,  132,    0
 14984, 87817,19310227,   91,    0
 14984, 87817,19310228,   21,    0
