EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SCHOENOW, GERMANY (STAID: 15111)
Blended and updated with sources:81509 82193 87723 87923 88071 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 15111, 87923,19500501,    0,    0
 15111, 87923,19500502,    0,    0
 15111, 87923,19500503,   13,    0
 15111, 87923,19500504,    0,    0
 15111, 87923,19500505,   86,    0
 15111, 87923,19500506,   54,    0
 15111, 87923,19500507,   14,    0
 15111, 87923,19500508,    0,    0
 15111, 87923,19500509,    0,    0
 15111, 87923,19500510,    0,    0
 15111, 87923,19500511,    0,    0
 15111, 87923,19500512,    0,    0
 15111, 87923,19500513,    0,    0
 15111, 87923,19500514,    0,    0
 15111, 87923,19500515,    0,    0
 15111, 87923,19500516,    0,    0
 15111, 87923,19500517,    0,    0
 15111, 87923,19500518,   37,    0
 15111, 87923,19500519,  125,    0
 15111, 87923,19500520,    0,    0
 15111, 87923,19500521,    0,    0
 15111, 87923,19500522,    0,    0
 15111, 87923,19500523,  164,    0
 15111, 87923,19500524,   83,    0
 15111, 87923,19500525,    0,    0
 15111, 87923,19500526,   40,    0
 15111, 87923,19500527,   29,    0
 15111, 87923,19500528,   23,    0
 15111, 87923,19500529,    0,    0
 15111, 87923,19500530,   14,    0
 15111, 87923,19500531,    0,    0
 15111, 87923,19500601,    0,    0
 15111, 87923,19500602,    0,    0
 15111, 87923,19500603,    0,    0
 15111, 87923,19500604,    0,    0
 15111, 87923,19500605,    0,    0
 15111, 87923,19500606,    0,    0
 15111, 87923,19500607,    0,    0
 15111, 87923,19500608,   11,    0
 15111, 87923,19500609,    0,    0
 15111, 87923,19500610,    0,    0
 15111, 87923,19500611,    0,    0
 15111, 87923,19500612,    0,    0
 15111, 87923,19500613,   33,    0
 15111, 87923,19500614,    9,    0
 15111, 87923,19500615,    0,    0
 15111, 87923,19500616,    0,    0
 15111, 87923,19500617,    0,    0
 15111, 87923,19500618,    0,    0
 15111, 87923,19500619,   11,    0
 15111, 87923,19500620,    0,    0
 15111, 87923,19500621,   85,    0
 15111, 87923,19500622,   10,    0
 15111, 87923,19500623,   91,    0
 15111, 87923,19500624,    0,    0
 15111, 87923,19500625,   13,    0
 15111, 87923,19500626,   38,    0
 15111, 87923,19500627,   79,    0
 15111, 87923,19500628,   58,    0
 15111, 87923,19500629,    0,    0
 15111, 87923,19500630,    0,    0
 15111, 87923,19500701,    0,    0
 15111, 87923,19500702,    0,    0
 15111, 87923,19500703,   16,    0
 15111, 87923,19500704,    0,    0
 15111, 87923,19500705,  318,    0
 15111, 87923,19500706,    0,    0
 15111, 87923,19500707,    0,    0
 15111, 87923,19500708,    0,    0
 15111, 87923,19500709,    0,    0
 15111, 87923,19500710,    0,    0
 15111, 87923,19500711,  252,    0
 15111, 87923,19500712,   14,    0
 15111, 87923,19500713,    0,    0
 15111, 87923,19500714,   92,    0
 15111, 87923,19500715,  150,    0
 15111, 87923,19500716,    0,    0
 15111, 87923,19500717,    0,    0
