EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STEINHAGEN-BROCKHAGEN, GERMANY (STAID: 15349)
Blended and updated with sources:84325 88547 89525 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 15349, 89525,19310101,  151,    0
 15349, 89525,19310102,    0,    0
 15349, 89525,19310103,   97,    0
 15349, 89525,19310104,   78,    0
 15349, 89525,19310105,   37,    0
 15349, 89525,19310106,    6,    0
 15349, 89525,19310107,    0,    0
 15349, 89525,19310108,    0,    0
 15349, 89525,19310109,    0,    0
 15349, 89525,19310110,    0,    0
 15349, 89525,19310111,    0,    0
 15349, 89525,19310112,  163,    0
 15349, 89525,19310113,   63,    0
 15349, 89525,19310114,   61,    0
 15349, 89525,19310115,   33,    0
 15349, 89525,19310116,  252,    0
 15349, 89525,19310117,   68,    0
 15349, 89525,19310118,   20,    0
 15349, 89525,19310119,   68,    0
 15349, 89525,19310120,   39,    0
 15349, 89525,19310121,    1,    0
 15349, 89525,19310122,   48,    0
 15349, 89525,19310123,    2,    0
 15349, 89525,19310124,   41,    0
 15349, 89525,19310125,   82,    0
 15349, 89525,19310126,   42,    0
 15349, 89525,19310127,    7,    0
 15349, 89525,19310128,  139,    0
 15349, 89525,19310129,   33,    0
 15349, 89525,19310130,    2,    0
 15349, 89525,19310131,    0,    0
 15349, 89525,19310201,    0,    0
 15349, 89525,19310202,   73,    0
 15349, 89525,19310203,    0,    0
 15349, 89525,19310204,   14,    0
 15349, 89525,19310205,    0,    0
 15349, 89525,19310206,    0,    0
 15349, 89525,19310207,    0,    0
 15349, 89525,19310208,    0,    0
 15349, 89525,19310209,    0,    0
 15349, 89525,19310210,   38,    0
 15349, 89525,19310211,   67,    0
 15349, 89525,19310212,   59,    0
 15349, 89525,19310213,    0,    0
 15349, 89525,19310214,   27,    0
 15349, 89525,19310215,    5,    0
 15349, 89525,19310216,   75,    0
 15349, 89525,19310217,    0,    0
 15349, 89525,19310218,    0,    0
 15349, 89525,19310219,    0,    0
 15349, 89525,19310220,    0,    0
 15349, 89525,19310221,   19,    0
 15349, 89525,19310222,    0,    0
 15349, 89525,19310223,    0,    0
 15349, 89525,19310224,    0,    0
 15349, 89525,19310225,   23,    0
 15349, 89525,19310226,  113,    0
 15349, 89525,19310227,   22,    0
 15349, 89525,19310228,  146,    0
 15349, 89525,19310301,    7,    0
 15349, 89525,19310302,    0,    0
 15349, 89525,19310303,    0,    0
 15349, 89525,19310304,    0,    0
 15349, 89525,19310305,    0,    0
 15349, 89525,19310306,    0,    0
 15349, 89525,19310307,    0,    0
 15349, 89525,19310308,    3,    0
 15349, 89525,19310309,    4,    0
 15349, 89525,19310310,   25,    0
 15349, 89525,19310311,   34,    0
 15349, 89525,19310312,   36,    0
 15349, 89525,19310313,    0,    0
 15349, 89525,19310314,    0,    0
 15349, 89525,19310315,    0,    0
 15349, 89525,19310316,    0,    0
 15349, 89525,19310317,    0,    0
 15349, 89525,19310318,    0,    0
 15349, 89525,19310319,    0,    0
 15349, 89525,19310320,    0,    0
 15349, 89525,19310321,   41,    0
 15349, 89525,19310322,   34,    0
 15349, 89525,19310323,   36,    0
 15349, 89525,19310324,    3,    0
 15349, 89525,19310325,    0,    0
 15349, 89525,19310326,    0,    0
 15349, 89525,19310327,    0,    0
 15349, 89525,19310328,    0,    0
 15349, 89525,19310329,    0,    0
 15349, 89525,19310330,    0,    0
 15349, 89525,19310331,    0,    0
 15349, 89525,19310401,    0,    0
 15349, 89525,19310402,    0,    0
 15349, 89525,19310403,    0,    0
 15349, 89525,19310404,   41,    0
 15349, 89525,19310405,   54,    0
 15349, 89525,19310406,   14,    0
 15349, 89525,19310407,    0,    0
 15349, 89525,19310408,    0,    0
 15349, 89525,19310409,   24,    0
 15349, 89525,19310410,    0,    0
 15349, 89525,19310411,    5,    0
 15349, 89525,19310412,   19,    0
 15349, 89525,19310413,   18,    0
 15349, 89525,19310414,   36,    0
 15349, 89525,19310415,    0,    0
 15349, 89525,19310416,   25,    0
 15349, 89525,19310417,  147,    0
 15349, 89525,19310418,   34,    0
 15349, 89525,19310419,   58,    0
 15349, 89525,19310420,   18,    0
 15349, 89525,19310421,    3,    0
 15349, 89525,19310422,    8,    0
 15349, 89525,19310423,    0,    0
 15349, 89525,19310424,    4,    0
 15349, 89525,19310425,   42,    0
 15349, 89525,19310426,   55,    0
 15349, 89525,19310427,    8,    0
 15349, 89525,19310428,   56,    0
 15349, 89525,19310429,  129,    0
 15349, 89525,19310430,    7,    0
 15349, 89525,19310501,    3,    0
 15349, 89525,19310502,   57,    0
 15349, 89525,19310503,    1,    0
 15349, 89525,19310504,    1,    0
 15349, 89525,19310505,    0,    0
 15349, 89525,19310506,    0,    0
 15349, 89525,19310507,  344,    0
 15349, 89525,19310508,   57,    0
 15349, 89525,19310509,   16,    0
 15349, 89525,19310510,    0,    0
 15349, 89525,19310511,    0,    0
 15349, 89525,19310512,    0,    0
 15349, 89525,19310513,    0,    0
 15349, 89525,19310514,    0,    0
 15349, 89525,19310515,  125,    0
 15349, 89525,19310516,    0,    0
 15349, 89525,19310517,   27,    0
 15349, 89525,19310518,    0,    0
 15349, 89525,19310519,    0,    0
 15349, 89525,19310520,    0,    0
 15349, 89525,19310521,    0,    0
 15349, 89525,19310522,    0,    0
 15349, 89525,19310523,    0,    0
 15349, 89525,19310524,    0,    0
 15349, 89525,19310525,   91,    0
 15349, 89525,19310526,    0,    0
 15349, 89525,19310527,    0,    0
 15349, 89525,19310528,   16,    0
 15349, 89525,19310529,   50,    0
 15349, 89525,19310530,  221,    0
 15349, 89525,19310531,   27,    0
 15349, 89525,19310601,   39,    0
 15349, 89525,19310602,   12,    0
 15349, 89525,19310603,   24,    0
 15349, 89525,19310604,    0,    0
 15349, 89525,19310605,    0,    0
 15349, 89525,19310606,   92,    0
 15349, 89525,19310607,   63,    0
 15349, 89525,19310608,  426,    0
 15349, 89525,19310609,   24,    0
 15349, 89525,19310610,  149,    0
 15349, 89525,19310611,    2,    0
 15349, 89525,19310612,    0,    0
 15349, 89525,19310613,    0,    0
 15349, 89525,19310614,    0,    0
