EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STEINRODE-WERNINGERODE, GERMANY (STAID: 15356)
Blended and updated with sources:81223 83267 85037 85567 86577 86965 88561 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 15356, 86965,19310101,  142,    0
 15356, 86965,19310102,  114,    0
 15356, 86965,19310103,   73,    0
 15356, 86965,19310104,   25,    0
 15356, 86965,19310105,   66,    0
 15356, 86965,19310106,   56,    0
 15356, 86965,19310107,    2,    0
 15356, 86965,19310108,    4,    0
 15356, 86965,19310109,    0,    0
 15356, 86965,19310110,    0,    0
 15356, 86965,19310111,    0,    0
 15356, 86965,19310112,    3,    0
 15356, 86965,19310113,    2,    0
 15356, 86965,19310114,   30,    0
 15356, 86965,19310115,   80,    0
 15356, 86965,19310116,  145,    0
 15356, 86965,19310117,  163,    0
 15356, 86965,19310118,   34,    0
 15356, 86965,19310119,  115,    0
 15356, 86965,19310120,   32,    0
 15356, 86965,19310121,    0,    0
 15356, 86965,19310122,    0,    0
 15356, 86965,19310123,   22,    0
 15356, 86965,19310124,   19,    0
 15356, 86965,19310125,  101,    0
 15356, 86965,19310126,   35,    0
 15356, 86965,19310127,   13,    0
 15356, 86965,19310128,  100,    0
 15356, 86965,19310129,  103,    0
 15356, 86965,19310130,    6,    0
 15356, 86965,19310131,    0,    0
 15356, 86965,19310201,    0,    0
 15356, 86965,19310202,   33,    0
 15356, 86965,19310203,   21,    0
 15356, 86965,19310204,    4,    0
 15356, 86965,19310205,    5,    0
 15356, 86965,19310206,    0,    0
 15356, 86965,19310207,    3,    0
 15356, 86965,19310208,    0,    0
 15356, 86965,19310209,    0,    0
 15356, 86965,19310210,   20,    0
 15356, 86965,19310211,   18,    0
 15356, 86965,19310212,   41,    0
 15356, 86965,19310213,    4,    0
 15356, 86965,19310214,    0,    0
 15356, 86965,19310215,    0,    0
 15356, 86965,19310216,   17,    0
 15356, 86965,19310217,    3,    0
 15356, 86965,19310218,    0,    0
 15356, 86965,19310219,    0,    0
 15356, 86965,19310220,    0,    0
 15356, 86965,19310221,    5,    0
 15356, 86965,19310222,    0,    0
 15356, 86965,19310223,    0,    0
 15356, 86965,19310224,    0,    0
 15356, 86965,19310225,   16,    0
 15356, 86965,19310226,  130,    0
 15356, 86965,19310227,   20,    0
 15356, 86965,19310228,  154,    0
 15356, 85567,19310301,    5,    0
 15356, 85567,19310302,    0,    0
 15356, 85567,19310303,    0,    0
 15356, 85567,19310304,    0,    0
 15356, 85567,19310305,    0,    0
 15356, 86965,19310306,    2,    0
 15356, 86965,19310307,    0,    0
 15356, 86965,19310308,    7,    0
 15356, 86965,19310309,    0,    0
 15356, 86965,19310310,    0,    0
 15356, 86965,19310311,   46,    0
 15356, 85567,19310312,   11,    0
 15356, 85567,19310313,    0,    0
 15356, 85567,19310314,    0,    0
 15356, 85567,19310315,    0,    0
 15356, 85567,19310316,    0,    0
 15356, 85567,19310317,    0,    0
 15356, 85567,19310318,    0,    0
