EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SUDERBURG, GERMANY (STAID: 15413)
Blended and updated with sources:82371 83077 88675 88991 89833 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 15413, 88991,19310101,   27,    0
 15413, 88991,19310102,   76,    0
 15413, 88991,19310103,   67,    0
 15413, 88991,19310104,   17,    0
 15413, 88991,19310105,   15,    0
 15413, 88991,19310106,    0,    0
 15413, 88991,19310107,    2,    0
 15413, 88991,19310108,    0,    0
 15413, 88991,19310109,    0,    0
 15413, 88991,19310110,    0,    0
 15413, 88991,19310111,    3,    0
 15413, 88991,19310112,    0,    0
 15413, 88991,19310113,   56,    0
 15413, 88991,19310114,    0,    0
 15413, 88991,19310115,   51,    0
 15413, 88991,19310116,  225,    0
 15413, 88991,19310117,   80,    0
 15413, 88991,19310118,    7,    0
 15413, 88991,19310119,   14,    0
 15413, 88991,19310120,   45,    0
 15413, 88991,19310121,    0,    0
 15413, 88991,19310122,    2,    0
 15413, 88991,19310123,   15,    0
 15413, 88991,19310124,   41,    0
 15413, 88991,19310125,   48,    0
 15413, 88991,19310126,   13,    0
 15413, 88991,19310127,    5,    0
 15413, 88991,19310128,   58,    0
 15413, 88991,19310129,    0,    0
 15413, 88991,19310130,    0,    0
 15413, 88991,19310131,    0,    0
 15413, 88991,19310201,    0,    0
 15413, 88991,19310202,   35,    0
 15413, 88991,19310203,    6,    0
 15413, 88991,19310204,    4,    0
 15413, 88991,19310205,    0,    0
 15413, 88991,19310206,    0,    0
 15413, 88991,19310207,    0,    0
 15413, 88991,19310208,    0,    0
 15413, 88991,19310209,    0,    0
 15413, 88991,19310210,   10,    0
 15413, 88991,19310211,   36,    0
 15413, 88991,19310212,   25,    0
 15413, 88991,19310213,    0,    0
 15413, 88991,19310214,    0,    0
 15413, 88991,19310215,   10,    0
 15413, 88991,19310216,   15,    0
 15413, 88991,19310217,    0,    0
 15413, 88991,19310218,    0,    0
 15413, 88991,19310219,    0,    0
 15413, 88991,19310220,    0,    0
 15413, 88991,19310221,    0,    0
 15413, 88991,19310222,    0,    0
 15413, 88991,19310223,    0,    0
 15413, 88991,19310224,    0,    0
 15413, 88991,19310225,   10,    0
 15413, 88991,19310226,   85,    0
 15413, 88991,19310227,    0,    0
 15413, 88991,19310228,   85,    0
 15413, 88991,19310301,   15,    0
 15413, 88991,19310302,   14,    0
 15413, 88991,19310303,    0,    0
 15413, 88991,19310304,    0,    0
 15413, 88991,19310305,    0,    0
 15413, 88991,19310306,    0,    0
 15413, 88991,19310307,    0,    0
 15413, 88991,19310308,    1,    0
 15413, 88991,19310309,    0,    0
 15413, 88991,19310310,    8,    0
 15413, 88991,19310311,   95,    0
 15413, 88991,19310312,   18,    0
 15413, 88991,19310313,    0,    0
 15413, 88991,19310314,    0,    0
 15413, 88991,19310315,    0,    0
 15413, 88991,19310316,    0,    0
 15413, 88991,19310317,    0,    0
 15413, 88991,19310318,    0,    0
 15413, 88991,19310319,    0,    0
 15413, 88991,19310320,    0,    0
 15413, 88991,19310321,    3,    0
 15413, 88991,19310322,   47,    0
 15413, 88991,19310323,   15,    0
 15413, 88991,19310324,    0,    0
 15413, 88991,19310325,    0,    0
 15413, 88991,19310326,    0,    0
 15413, 88991,19310327,    0,    0
 15413, 88991,19310328,    0,    0
 15413, 88991,19310329,    0,    0
 15413, 88991,19310330,    0,    0
 15413, 88991,19310331,    0,    0
 15413, 88991,19310401,    0,    0
 15413, 88991,19310402,    0,    0
 15413, 88991,19310403,    0,    0
 15413, 88991,19310404,   13,    0
 15413, 88991,19310405,   18,    0
 15413, 88991,19310406,    0,    0
 15413, 88991,19310407,    0,    0
 15413, 88991,19310408,    0,    0
 15413, 88991,19310409,   41,    0
 15413, 88991,19310410,    9,    0
 15413, 88991,19310411,    0,    0
 15413, 88991,19310412,   30,    0
 15413, 88991,19310413,   43,    0
 15413, 88991,19310414,   44,    0
 15413, 88991,19310415,    0,    0
 15413, 88991,19310416,    0,    0
 15413, 88991,19310417,   36,    0
 15413, 88991,19310418,  100,    0
 15413, 88991,19310419,   54,    0
 15413, 88991,19310420,    0,    0
 15413, 88991,19310421,    0,    0
 15413, 88991,19310422,    3,    0
 15413, 88991,19310423,    0,    0
 15413, 88991,19310424,    0,    0
 15413, 88991,19310425,   15,    0
 15413, 88991,19310426,    0,    0
 15413, 88991,19310427,   33,    0
 15413, 88991,19310428,   44,    0
 15413, 88991,19310429,   34,    0
 15413, 88991,19310430,   10,    0
 15413, 88991,19310501,    0,    0
 15413, 88991,19310502,    0,    0
 15413, 88991,19310503,   15,    0
 15413, 88991,19310504,  378,    0
 15413, 88991,19310505,    0,    0
 15413, 88991,19310506,    2,    0
 15413, 88991,19310507,   14,    0
 15413, 88991,19310508,   97,    0
 15413, 88991,19310509,    3,    0
 15413, 88991,19310510,    0,    0
 15413, 88991,19310511,    0,    0
 15413, 88991,19310512,    0,    0
 15413, 88991,19310513,    0,    0
 15413, 88991,19310514,   10,    0
 15413, 88991,19310515,    4,    0
 15413, 88991,19310516,   31,    0
 15413, 88991,19310517,   14,    0
 15413, 88991,19310518,    7,    0
 15413, 88991,19310519,    0,    0
 15413, 88991,19310520,    0,    0
 15413, 88991,19310521,   53,    0
 15413, 88991,19310522,  240,    0
 15413, 88991,19310523,    0,    0
 15413, 88991,19310524,    0,    0
 15413, 88991,19310525,    0,    0
 15413, 88991,19310526,    0,    0
 15413, 88991,19310527,    0,    0
 15413, 88991,19310528,    0,    0
 15413, 88991,19310529,    0,    0
 15413, 88991,19310530,  137,    0
 15413, 88991,19310531,   62,    0
 15413, 88991,19310601,   38,    0
 15413, 88991,19310602,   71,    0
 15413, 88991,19310603,   20,    0
 15413, 88991,19310604,    0,    0
 15413, 88991,19310605,    0,    0
 15413, 88991,19310606,   40,    0
 15413, 88991,19310607,   53,    0
 15413, 88991,19310608,  115,    0
 15413, 88991,19310609,   25,    0
 15413, 88991,19310610,  118,    0
 15413, 88991,19310611,    0,    0
 15413, 88991,19310612,    7,    0
 15413, 88991,19310613,    0,    0
 15413, 88991,19310614,   41,    0
 15413, 88991,19310615,    2,    0
 15413, 88991,19310616,    0,    0
 15413, 88991,19310617,  103,    0
 15413, 88991,19310618,  114,    0
 15413, 88991,19310619,    5,    0
 15413, 88991,19310620,   21,    0
 15413, 88991,19310621,    0,    0
 15413, 88991,19310622,    0,    0
 15413, 88991,19310623,    0,    0
 15413, 88991,19310624,    5,    0
 15413, 88991,19310625,    0,    0
 15413, 88991,19310626,    0,    0
 15413, 88991,19310627,    0,    0
 15413, 88991,19310628,    0,    0
 15413, 88991,19310629,    0,    0
 15413, 88991,19310630,    0,    0
 15413, 88991,19310701,    0,    0
 15413, 88991,19310702,    0,    0
 15413, 88991,19310703,    0,    0
 15413, 88991,19310704,   56,    0
 15413, 88991,19310705,    0,    0
 15413, 88991,19310706,  115,    0
 15413, 88991,19310707,  425,    0
 15413, 88991,19310708,   37,    0
 15413, 88991,19310709,    5,    0
 15413, 88991,19310710,    0,    0
 15413, 88991,19310711,    0,    0
 15413, 88991,19310712,   25,    0
 15413, 88991,19310713,   53,    0
 15413, 88991,19310714,  154,    0
 15413, 88991,19310715,   77,    0
 15413, 88991,19310716,  181,    0
 15413, 88991,19310717,   41,    0
 15413, 88991,19310718,   35,    0
 15413, 88991,19310719,  102,    0
 15413, 88991,19310720,   35,    0
 15413, 88991,19310721,   37,    0
 15413, 88991,19310722,   10,    0
 15413, 88991,19310723,    0,    0
 15413, 88991,19310724,    0,    0
 15413, 88991,19310725,   79,    0
 15413, 88991,19310726,   30,    0
 15413, 88991,19310727,   63,    0
 15413, 88991,19310728,    0,    0
 15413, 88991,19310729,    0,    0
 15413, 88991,19310730,    0,    0
 15413, 88991,19310731,    0,    0
 15413, 88991,19310801,    0,    0
 15413, 88991,19310802,    0,    0
 15413, 88991,19310803,    0,    0
 15413, 88991,19310804,    0,    0
 15413, 88991,19310805,    1,    0
 15413, 88991,19310806,  130,    0
 15413, 88991,19310807,    0,    0
 15413, 88991,19310808,    8,    0
 15413, 88991,19310809,   45,    0
 15413, 88991,19310810,   48,    0
 15413, 88991,19310811,    7,    0
 15413, 88991,19310812,   75,    0
 15413, 88991,19310813,    8,    0
 15413, 88991,19310814,   22,    0
 15413, 88991,19310815,   86,    0
 15413, 88991,19310816,   56,    0
 15413, 88991,19310817,   78,    0
 15413, 88991,19310818,   11,    0
 15413, 88991,19310819,   67,    0
 15413, 88991,19310820,    0,    0
 15413, 88991,19310821,   99,    0
 15413, 88991,19310822,   10,    0
 15413, 88991,19310823,    0,    0
 15413, 88991,19310824,    3,    0
 15413, 88991,19310825,    8,    0
