EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TELLINGSTEDT, GERMANY (STAID: 15471)
Blended and updated with sources:21846 81533 87251 88791 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 15471, 88791,19310101,   14,    0
 15471, 88791,19310102,    6,    0
 15471, 88791,19310103,   79,    0
 15471, 88791,19310104,   67,    0
 15471, 88791,19310105,    0,    0
 15471, 88791,19310106,    0,    0
 15471, 88791,19310107,    0,    0
 15471, 88791,19310108,    0,    0
 15471, 88791,19310109,    0,    0
 15471, 88791,19310110,    2,    0
 15471, 88791,19310111,   78,    0
 15471, 88791,19310112,   55,    0
 15471, 88791,19310113,    0,    0
 15471, 88791,19310114,    0,    0
 15471, 88791,19310115,   85,    0
 15471, 88791,19310116,  120,    0
 15471, 88791,19310117,    0,    0
 15471, 88791,19310118,   33,    0
 15471, 88791,19310119,    0,    0
 15471, 88791,19310120,    0,    0
 15471, 88791,19310121,    0,    0
 15471, 88791,19310122,    0,    0
 15471, 88791,19310123,   70,    0
 15471, 88791,19310124,   53,    0
 15471, 88791,19310125,   27,    0
 15471, 88791,19310126,    0,    0
 15471, 88791,19310127,    0,    0
 15471, 88791,19310128,   34,    0
 15471, 88791,19310129,   22,    0
 15471, 88791,19310130,    0,    0
 15471, 88791,19310131,    0,    0
 15471, 88791,19310201,    0,    0
 15471, 88791,19310202,   12,    0
 15471, 88791,19310203,    0,    0
 15471, 88791,19310204,    8,    0
 15471, 88791,19310205,   10,    0
 15471, 88791,19310206,    1,    0
 15471, 88791,19310207,    0,    0
 15471, 88791,19310208,    0,    0
 15471, 88791,19310209,    9,    0
 15471, 88791,19310210,   70,    0
 15471, 88791,19310211,   91,    0
 15471, 88791,19310212,  145,    0
 15471, 88791,19310213,    0,    0
 15471, 88791,19310214,    0,    0
 15471, 88791,19310215,   18,    0
 15471, 88791,19310216,    0,    0
 15471, 88791,19310217,   43,    0
 15471, 88791,19310218,   21,    0
 15471, 88791,19310219,    0,    0
 15471, 88791,19310220,    0,    0
 15471, 88791,19310221,   60,    0
 15471, 88791,19310222,    0,    0
 15471, 88791,19310223,   15,    0
 15471, 88791,19310224,    0,    0
 15471, 88791,19310225,    0,    0
 15471, 88791,19310226,  194,    0
