EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TROEBITZ, GERMANY (STAID: 15542)
Blended and updated with sources:86609 88933 88981 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 15542, 88981,19510101,    0,    0
 15542, 88981,19510102,   11,    0
 15542, 88981,19510103,    0,    0
 15542, 88981,19510104,    0,    0
 15542, 88981,19510105,    0,    0
 15542, 88981,19510106,    1,    0
 15542, 88981,19510107,    0,    0
 15542, 88981,19510108,    1,    0
 15542, 88981,19510109,    4,    0
 15542, 88981,19510110,    1,    0
 15542, 88981,19510111,    0,    0
 15542, 88981,19510112,   16,    0
 15542, 88981,19510113,    0,    0
 15542, 88981,19510114,    0,    0
 15542, 88981,19510115,   58,    0
 15542, 88981,19510116,    1,    0
 15542, 88981,19510117,   96,    0
 15542, 88981,19510118,  122,    0
 15542, 88981,19510119,   46,    0
 15542, 88981,19510120,    0,    0
 15542, 88981,19510121,    0,    0
 15542, 88981,19510122,    4,    0
 15542, 88981,19510123,    5,    0
 15542, 88981,19510124,    0,    0
 15542, 88981,19510125,    0,    0
 15542, 88981,19510126,    8,    0
 15542, 88981,19510127,    0,    0
 15542, 88981,19510128,    0,    0
 15542, 88981,19510129,    0,    0
 15542, 88981,19510130,    0,    0
 15542, 88981,19510131,    0,    0
 15542, 88981,19510201,   13,    0
 15542, 88981,19510202,    9,    0
 15542, 88981,19510203,    0,    0
 15542, 88981,19510204,    0,    0
 15542, 88981,19510205,    0,    0
 15542, 88981,19510206,    0,    0
 15542, 88981,19510207,    0,    0
 15542, 88981,19510208,    3,    0
 15542, 88981,19510209,    0,    0
 15542, 88981,19510210,    0,    0
 15542, 88981,19510211,    0,    0
 15542, 88981,19510212,    0,    0
 15542, 88981,19510213,    2,    0
 15542, 88981,19510214,   57,    0
 15542, 88981,19510215,    1,    0
 15542, 88981,19510216,    0,    0
 15542, 88981,19510217,   48,    0
 15542, 88981,19510218,    4,    0
 15542, 88981,19510219,   31,    0
 15542, 88981,19510220,    2,    0
 15542, 88981,19510221,    0,    0
 15542, 88981,19510222,    0,    0
 15542, 88981,19510223,   40,    0
 15542, 88981,19510224,    2,    0
 15542, 88981,19510225,    3,    0
 15542, 88981,19510226,    0,    0
 15542, 88981,19510227,    6,    0
 15542, 88981,19510228,    0,    0
 15542, 88981,19510301,  124,    0
 15542, 88981,19510302,    0,    0
 15542, 88981,19510303,    0,    0
 15542, 88981,19510304,    0,    0
 15542, 88981,19510305,    0,    0
 15542, 88981,19510306,    0,    0
 15542, 88981,19510307,    3,    0
 15542, 88981,19510308,   17,    0
 15542, 88981,19510309,   24,    0
 15542, 88981,19510310,    0,    0
 15542, 88981,19510311,    3,    0
 15542, 88981,19510312,    0,    0
 15542, 88981,19510313,    0,    0
 15542, 88981,19510314,    0,    0
 15542, 88981,19510315,    2,    0
 15542, 88981,19510316,    8,    0
 15542, 88981,19510317,   32,    0
 15542, 88981,19510318,   51,    0
 15542, 88981,19510319,    0,    0
 15542, 88981,19510320,    8,    0
 15542, 88981,19510321,    0,    0
 15542, 88981,19510322,   81,    0
 15542, 88981,19510323,    0,    0
 15542, 88981,19510324,    0,    0
 15542, 88981,19510325,   49,    0
 15542, 88981,19510326,   17,    0
 15542, 88981,19510327,   44,    0
 15542, 88981,19510328,   15,    0
 15542, 88981,19510329,    0,    0
 15542, 88981,19510330,    0,    0
 15542, 88981,19510331,    0,    0
 15542, 88981,19510401,    0,    0
 15542, 88981,19510402,    0,    0
 15542, 88981,19510403,    0,    0
 15542, 88981,19510404,    0,    0
 15542, 88981,19510405,    0,    0
 15542, 88981,19510406,    0,    0
 15542, 88981,19510407,    0,    0
 15542, 88981,19510408,    0,    0
 15542, 88981,19510409,    0,    0
 15542, 88981,19510410,    0,    0
 15542, 88981,19510411,    0,    0
 15542, 88981,19510412,    0,    0
 15542, 88981,19510413,    0,    0
 15542, 88981,19510414,   11,    0
 15542, 88981,19510415,    5,    0
 15542, 88981,19510416,    3,    0
 15542, 88981,19510417,    0,    0
 15542, 88981,19510418,    0,    0
 15542, 88981,19510419,    4,    0
 15542, 88981,19510420,    0,    0
 15542, 88981,19510421,    0,    0
 15542, 88981,19510422,    0,    0
 15542, 88981,19510423,    0,    0
 15542, 88981,19510424,    0,    0
 15542, 88981,19510425,    0,    0
 15542, 88981,19510426,    0,    0
 15542, 88981,19510427,   51,    0
 15542, 88981,19510428,   65,    0
 15542, 88981,19510429,   77,    0
 15542, 88981,19510430,   35,    0
 15542, 88981,19510501,    0,    0
 15542, 88981,19510502,    0,    0
 15542, 88981,19510503,    0,    0
 15542, 88981,19510504,    0,    0
 15542, 88981,19510505,   53,    0
 15542, 88981,19510506,    0,    0
 15542, 88981,19510507,    0,    0
 15542, 88981,19510508,    0,    0
 15542, 88981,19510509,    0,    0
 15542, 88981,19510510,    2,    0
 15542, 88981,19510511,    0,    0
 15542, 88981,19510512,    0,    0
 15542, 88981,19510513,    0,    0
 15542, 88981,19510514,   48,    0
 15542, 88981,19510515,   17,    0
 15542, 88981,19510516,    2,    0
 15542, 88981,19510517,   26,    0
 15542, 88981,19510518,    5,    0
 15542, 88981,19510519,    3,    0
 15542, 88981,19510520,    0,    0
 15542, 88981,19510521,  129,    0
 15542, 88981,19510522,    0,    0
 15542, 88981,19510523,    0,    0
 15542, 88981,19510524,   12,    0
 15542, 88981,19510525,    6,    0
 15542, 88981,19510526,   19,    0
 15542, 88981,19510527,  192,    0
 15542, 88981,19510528,   16,    0
 15542, 88981,19510529,    0,    0
 15542, 88981,19510530,    0,    0
 15542, 88981,19510531,    0,    0
 15542, 88981,19510601,    0,    0
 15542, 88981,19510602,    4,    0
 15542, 88981,19510603,  135,    0
 15542, 88981,19510604,    0,    0
 15542, 88981,19510605,    9,    0
 15542, 88981,19510606,    0,    0
 15542, 88981,19510607,    0,    0
 15542, 88981,19510608,    0,    0
 15542, 88981,19510609,    0,    0
 15542, 88981,19510610,   87,    0
 15542, 88981,19510611,    0,    0
 15542, 88981,19510612,   57,    0
 15542, 88981,19510613,    1,    0
 15542, 88981,19510614,    0,    0
 15542, 88981,19510615,   48,    0
 15542, 88981,19510616,    0,    0
 15542, 88981,19510617,   78,    0
 15542, 88981,19510618,  254,    0
 15542, 88981,19510619,    0,    0
 15542, 88981,19510620,    0,    0
 15542, 88981,19510621,    0,    0
 15542, 88981,19510622,    0,    0
 15542, 88981,19510623,   22,    0
 15542, 88981,19510624,  342,    0
 15542, 88981,19510625,  166,    0
 15542, 88981,19510626,   89,    0
 15542, 88981,19510627,    4,    0
 15542, 88981,19510628,   16,    0
 15542, 88981,19510629,    2,    0
 15542, 88981,19510630,    0,    0
 15542, 88981,19510701,    0,    0
 15542, 88981,19510702,    0,    0
 15542, 88981,19510703,   16,    0
 15542, 88981,19510704,   20,    0
 15542, 88981,19510705,    0,    0
 15542, 88981,19510706,    0,    0
 15542, 88981,19510707,    0,    0
 15542, 88981,19510708,    8,    0
 15542, 88981,19510709,   26,    0
 15542, 88981,19510710,    0,    0
 15542, 88981,19510711,    0,    0
 15542, 88981,19510712,    0,    0
 15542, 88981,19510713,   54,    0
 15542, 88981,19510714,    0,    0
 15542, 88981,19510715,    0,    0
 15542, 88981,19510716,    0,    0
 15542, 88981,19510717,    0,    0
 15542, 88981,19510718,    0,    0
 15542, 88981,19510719,    0,    0
 15542, 88981,19510720,    0,    0
 15542, 88981,19510721,    0,    0
 15542, 88981,19510722,    0,    0
 15542, 88981,19510723,    2,    0
 15542, 88981,19510724,   39,    0
 15542, 88981,19510725,  222,    0
 15542, 88981,19510726,    0,    0
 15542, 88981,19510727,    0,    0
 15542, 88981,19510728,    0,    0
 15542, 88981,19510729,   26,    0
 15542, 88981,19510730,    0,    0
 15542, 88981,19510731,    0,    0
 15542, 88981,19510801,   85,    0
 15542, 88981,19510802,   57,    0
 15542, 88981,19510803,    3,    0
 15542, 88981,19510804,   11,    0
 15542, 88981,19510805,    0,    0
 15542, 88981,19510806,    0,    0
 15542, 88981,19510807,    0,    0
 15542, 88981,19510808,    9,    0
 15542, 88981,19510809,    5,    0
 15542, 88981,19510810,    0,    0
 15542, 88981,19510811,    0,    0
 15542, 88981,19510812,    0,    0
 15542, 88981,19510813,   15,    0
 15542, 88981,19510814,   13,    0
 15542, 88981,19510815,    0,    0
 15542, 88981,19510816,    0,    0
 15542, 88981,19510817,    0,    0
 15542, 88981,19510818,    0,    0
 15542, 88981,19510819,    0,    0
 15542, 88981,19510820,    0,    0
 15542, 88981,19510821,    0,    0
 15542, 88981,19510822,    0,    0
 15542, 88981,19510823,    0,    0
 15542, 88981,19510824,    0,    0
