EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TWIST, GERMANY (STAID: 15559)
Blended and updated with sources:88967 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 15559, 88967,19410101,    0,    0
 15559, 88967,19410102,    0,    0
 15559, 88967,19410103,    0,    0
 15559, 88967,19410104,    0,    0
 15559, 88967,19410105,    0,    0
 15559, 88967,19410106,   13,    0
 15559, 88967,19410107,    0,    0
 15559, 88967,19410108,    0,    0
 15559, 88967,19410109,    0,    0
 15559, 88967,19410110,    4,    0
 15559, 88967,19410111,    0,    0
 15559, 88967,19410112,   20,    0
 15559, 88967,19410113,    0,    0
 15559, 88967,19410114,   34,    0
 15559, 88967,19410115,    0,    0
 15559, 88967,19410116,    2,    0
 15559, 88967,19410117,    1,    0
 15559, 88967,19410118,   39,    0
 15559, 88967,19410119,   28,    0
 15559, 88967,19410120,  199,    0
 15559, 88967,19410121,   58,    0
 15559, 88967,19410122,   11,    0
 15559, 88967,19410123,    0,    0
 15559, 88967,19410124,    0,    0
 15559, 88967,19410125,    0,    0
 15559, 88967,19410126,    0,    0
 15559, 88967,19410127,    0,    0
 15559, 88967,19410128,    0,    0
 15559, 88967,19410129,    0,    0
 15559, 88967,19410130,    0,    0
 15559, 88967,19410131,    0,    0
 15559, 88967,19410201,   25,    0
 15559, 88967,19410202,   14,    0
 15559, 88967,19410203,    0,    0
 15559, 88967,19410204,    0,    0
 15559, 88967,19410205,    0,    0
 15559, 88967,19410206,    0,    0
 15559, 88967,19410207,   13,    0
 15559, 88967,19410208,   43,    0
 15559, 88967,19410209,   94,    0
 15559, 88967,19410210,    9,    0
 15559, 88967,19410211,    0,    0
 15559, 88967,19410212,    9,    0
 15559, 88967,19410213,   61,    0
 15559, 88967,19410214,    0,    0
 15559, 88967,19410215,    1,    0
 15559, 88967,19410216,   39,    0
 15559, 88967,19410217,   26,    0
 15559, 88967,19410218,    0,    0
 15559, 88967,19410219,    0,    0
 15559, 88967,19410220,   13,    0
 15559, 88967,19410221,    0,    0
 15559, 88967,19410222,    0,    0
 15559, 88967,19410223,   31,    0
 15559, 88967,19410224,   57,    0
 15559, 88967,19410225,   26,    0
 15559, 88967,19410226,    0,    0
 15559, 88967,19410227,   74,    0
 15559, 88967,19410228,  116,    0
 15559, 88967,19410301,    7,    0
 15559, 88967,19410302,   71,    0
 15559, 88967,19410303,   57,    0
 15559, 88967,19410304,    4,    0
 15559, 88967,19410305,    0,    0
