EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station URSPRINGEN/MAIN, GERMANY (STAID: 15593)
Blended and updated with sources:85075 86025 89035 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 15593, 86025,19310101,   87,    0
 15593, 86025,19310102,   37,    0
 15593, 86025,19310103,  105,    0
 15593, 86025,19310104,   65,    0
 15593, 86025,19310105,    0,    0
 15593, 86025,19310106,    0,    0
 15593, 86025,19310107,    5,    0
 15593, 86025,19310108,    0,    0
 15593, 86025,19310109,    0,    0
 15593, 86025,19310110,    0,    0
 15593, 86025,19310111,    0,    0
 15593, 86025,19310112,    0,    0
 15593, 86025,19310113,    0,    0
 15593, 86025,19310114,    0,    0
 15593, 86025,19310115,    7,    0
 15593, 86025,19310116,  162,    0
 15593, 86025,19310117,   56,    0
 15593, 86025,19310118,   63,    0
 15593, 86025,19310119,   81,    0
 15593, 86025,19310120,   10,    0
 15593, 86025,19310121,    0,    0
 15593, 86025,19310122,    0,    0
 15593, 86025,19310123,   36,    0
 15593, 86025,19310124,   46,    0
 15593, 86025,19310125,   65,    0
 15593, 86025,19310126,   11,    0
 15593, 86025,19310127,    0,    0
 15593, 86025,19310128,   72,    0
 15593, 86025,19310129,   32,    0
 15593, 86025,19310130,   22,    0
 15593, 86025,19310131,    0,    0
 15593, 86025,19310201,    0,    0
 15593, 86025,19310202,   10,    0
 15593, 86025,19310203,  104,    0
 15593, 86025,19310204,   90,    0
 15593, 86025,19310205,   16,    0
 15593, 86025,19310206,    0,    0
 15593, 86025,19310207,    0,    0
 15593, 86025,19310208,    0,    0
 15593, 86025,19310209,    0,    0
 15593, 86025,19310210,   38,    0
 15593, 86025,19310211,   44,    0
 15593, 86025,19310212,   30,    0
 15593, 86025,19310213,   45,    0
 15593, 86025,19310214,    0,    0
 15593, 86025,19310215,    0,    0
 15593, 86025,19310216,   10,    0
 15593, 86025,19310217,   36,    0
 15593, 86025,19310218,    0,    0
 15593, 86025,19310219,    0,    0
 15593, 86025,19310220,    0,    0
 15593, 86025,19310221,    0,    0
 15593, 86025,19310222,    0,    0
 15593, 86025,19310223,    0,    0
 15593, 86025,19310224,    0,    0
 15593, 86025,19310225,    0,    0
 15593, 86025,19310226,  103,    0
 15593, 86025,19310227,   17,    0
 15593, 86025,19310228,  120,    0
 15593, 86025,19310301,   15,    0
 15593, 86025,19310302,    0,    0
 15593, 86025,19310303,    0,    0
 15593, 86025,19310304,    0,    0
 15593, 86025,19310305,    0,    0
 15593, 86025,19310306,    0,    0
 15593, 86025,19310307,    0,    0
 15593, 86025,19310308,    0,    0
 15593, 86025,19310309,    0,    0
 15593, 86025,19310310,   16,    0
 15593, 86025,19310311,    8,    0
 15593, 86025,19310312,    0,    0
 15593, 86025,19310313,    0,    0
 15593, 86025,19310314,    0,    0
 15593, 86025,19310315,    0,    0
 15593, 86025,19310316,    0,    0
 15593, 86025,19310317,    0,    0
 15593, 86025,19310318,    0,    0
 15593, 86025,19310319,    0,    0
 15593, 86025,19310320,    0,    0
 15593, 86025,19310321,   10,    0
 15593, 86025,19310322,   69,    0
 15593, 86025,19310323,    0,    0
 15593, 86025,19310324,    0,    0
 15593, 86025,19310325,    0,    0
 15593, 86025,19310326,    0,    0
 15593, 86025,19310327,    0,    0
 15593, 86025,19310328,    0,    0
 15593, 86025,19310329,    0,    0
 15593, 86025,19310330,    0,    0
 15593, 86025,19310331,    0,    0
 15593, 86025,19310401,    0,    0
 15593, 86025,19310402,    0,    0
 15593, 86025,19310403,    0,    0
 15593, 86025,19310404,    1,    0
 15593, 86025,19310405,   57,    0
 15593, 86025,19310406,   56,    0
 15593, 86025,19310407,    0,    0
 15593, 86025,19310408,    0,    0
 15593, 86025,19310409,    0,    0
 15593, 86025,19310410,    0,    0
 15593, 86025,19310411,    0,    0
 15593, 86025,19310412,    0,    0
 15593, 86025,19310413,    0,    0
 15593, 86025,19310414,   13,    0
 15593, 86025,19310415,    0,    0
 15593, 86025,19310416,    3,    0
 15593, 86025,19310417,   40,    0
 15593, 86025,19310418,    0,    0
 15593, 86025,19310419,    0,    0
 15593, 86025,19310420,    0,    0
 15593, 86025,19310421,    0,    0
 15593, 86025,19310422,   27,    0
 15593, 86025,19310423,    0,    0
 15593, 86025,19310424,    0,    0
 15593, 86025,19310425,   35,    0
 15593, 86025,19310426,   47,    0
 15593, 86025,19310427,   82,    0
 15593, 86025,19310428,  181,    0
 15593, 86025,19310429,  107,    0
 15593, 86025,19310430,    0,    0
 15593, 86025,19310501,    0,    0
 15593, 86025,19310502,    0,    0
 15593, 86025,19310503,  152,    0
 15593, 86025,19310504,   32,    0
 15593, 86025,19310505,    0,    0
 15593, 86025,19310506,  110,    0
 15593, 86025,19310507,  120,    0
 15593, 86025,19310508,    0,    0
 15593, 86025,19310509,    0,    0
 15593, 86025,19310510,    0,    0
 15593, 86025,19310511,    0,    0
 15593, 86025,19310512,    0,    0
 15593, 86025,19310513,    0,    0
 15593, 86025,19310514,    0,    0
 15593, 86025,19310515,    0,    0
 15593, 86025,19310516,    0,    0
 15593, 86025,19310517,   16,    0
 15593, 86025,19310518,    0,    0
 15593, 86025,19310519,    0,    0
 15593, 86025,19310520,  139,    0
 15593, 86025,19310521,    0,    0
 15593, 86025,19310522,    0,    0
 15593, 86025,19310523,    0,    0
 15593, 86025,19310524,    0,    0
 15593, 86025,19310525,    0,    0
 15593, 86025,19310526,    0,    0
 15593, 86025,19310527,    0,    0
 15593, 86025,19310528,    0,    0
 15593, 86025,19310529,    0,    0
 15593, 86025,19310530,   10,    0
 15593, 86025,19310531,  280,    0
 15593, 86025,19310601,   16,    0
 15593, 86025,19310602,   35,    0
 15593, 86025,19310603,    0,    0
 15593, 86025,19310604,    0,    0
 15593, 86025,19310605,    0,    0
 15593, 86025,19310606,   48,    0
 15593, 86025,19310607,   24,    0
 15593, 86025,19310608,    0,    0
 15593, 86025,19310609,  136,    0
 15593, 86025,19310610,    0,    0
 15593, 86025,19310611,    0,    0
 15593, 86025,19310612,    0,    0
 15593, 86025,19310613,    0,    0
 15593, 86025,19310614,    0,    0
 15593, 86025,19310615,    0,    0
 15593, 86025,19310616,    0,    0
 15593, 86025,19310617,  134,    0
 15593, 86025,19310618,  200,    0
 15593, 86025,19310619,    0,    0
 15593, 86025,19310620,    0,    0
 15593, 86025,19310621,    0,    0
 15593, 86025,19310622,    0,    0
 15593, 86025,19310623,   30,    0
 15593, 86025,19310624,   16,    0
 15593, 86025,19310625,    0,    0
 15593, 86025,19310626,    0,    0
 15593, 86025,19310627,    0,    0
 15593, 86025,19310628,    0,    0
 15593, 86025,19310629,    0,    0
 15593, 86025,19310630,    0,    0
 15593, 86025,19310701,    0,    0
 15593, 86025,19310702,    0,    0
 15593, 86025,19310703,  102,    0
 15593, 86025,19310704,   95,    0
 15593, 86025,19310705,    0,    0
 15593, 86025,19310706,  128,    0
 15593, 86025,19310707,   45,    0
 15593, 86025,19310708,    0,    0
 15593, 86025,19310709,    0,    0
 15593, 86025,19310710,    0,    0
 15593, 86025,19310711,    0,    0
 15593, 86025,19310712,   25,    0
 15593, 86025,19310713,   56,    0
 15593, 86025,19310714,   50,    0
 15593, 86025,19310715,   97,    0
 15593, 86025,19310716,   66,    0
