EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VIPPACHEDELHAUSEN, GERMANY (STAID: 15642)
Blended and updated with sources:83263 87961 88351 88977 89133 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 15642, 87961,19170101,   22,    0
 15642, 87961,19170102,   26,    0
 15642, 87961,19170103,    6,    0
 15642, 87961,19170104,   12,    0
 15642, 87961,19170105,    2,    0
 15642, 87961,19170106,   19,    0
 15642, 87961,19170107,    8,    0
 15642, 87961,19170108,    3,    0
 15642, 87961,19170109,    7,    0
 15642, 87961,19170110,   93,    0
 15642, 87961,19170111,   27,    0
 15642, 87961,19170112,    1,    0
 15642, 87961,19170113,    0,    0
 15642, 87961,19170114,    0,    0
 15642, 87961,19170115,    0,    0
 15642, 87961,19170116,   36,    0
 15642, 87961,19170117,   61,    0
 15642, 87961,19170118,    0,    0
 15642, 87961,19170119,    8,    0
 15642, 87961,19170120,    0,    0
 15642, 87961,19170121,    0,    0
 15642, 87961,19170122,    0,    0
 15642, 87961,19170123,   12,    0
 15642, 87961,19170124,    2,    0
 15642, 87961,19170125,    0,    0
 15642, 87961,19170126,   13,    0
 15642, 87961,19170127,    1,    0
 15642, 87961,19170128,    0,    0
 15642, 87961,19170129,   55,    0
 15642, 87961,19170130,   14,    0
 15642, 87961,19170131,    9,    0
 15642, 87961,19170201,    7,    0
 15642, 87961,19170202,    1,    0
 15642, 87961,19170203,    1,    0
 15642, 87961,19170204,    0,    0
 15642, 87961,19170205,    0,    0
 15642, 87961,19170206,    0,    0
 15642, 87961,19170207,    0,    0
 15642, 87961,19170208,    0,    0
 15642, 87961,19170209,    0,    0
 15642, 87961,19170210,    0,    0
 15642, 87961,19170211,    1,    0
 15642, 87961,19170212,    0,    0
 15642, 87961,19170213,    3,    0
 15642, 87961,19170214,    0,    0
 15642, 87961,19170215,    0,    0
 15642, 87961,19170216,    0,    0
 15642, 87961,19170217,    0,    0
 15642, 87961,19170218,   53,    0
 15642, 87961,19170219,   34,    0
 15642, 87961,19170220,    0,    0
 15642, 87961,19170221,    0,    0
 15642, 87961,19170222,    0,    0
 15642, 87961,19170223,    0,    0
 15642, 87961,19170224,    0,    0
 15642, 87961,19170225,    3,    0
 15642, 87961,19170226,   12,    0
 15642, 87961,19170227,    2,    0
 15642, 87961,19170228,   74,    0
 15642, 87961,19170301,   62,    0
 15642, 87961,19170302,    0,    0
 15642, 87961,19170303,    0,    0
 15642, 87961,19170304,    1,    0
 15642, 87961,19170305,   24,    0
 15642, 87961,19170306,    2,    0
 15642, 87961,19170307,   35,    0
 15642, 87961,19170308,   47,    0
 15642, 87961,19170309,    8,    0
 15642, 87961,19170310,    3,    0
 15642, 87961,19170311,   12,    0
 15642, 87961,19170312,    0,    0
 15642, 87961,19170313,    0,    0
 15642, 87961,19170314,  106,    0
 15642, 87961,19170315,    0,    0
 15642, 87961,19170316,    1,    0
 15642, 87961,19170317,    9,    0
 15642, 87961,19170318,    3,    0
 15642, 87961,19170319,   11,    0
 15642, 87961,19170320,   45,    0
 15642, 87961,19170321,    8,    0
 15642, 87961,19170322,    0,    0
 15642, 87961,19170323,    0,    0
 15642, 87961,19170324,    0,    0
 15642, 87961,19170325,    0,    0
 15642, 87961,19170326,   12,    0
 15642, 87961,19170327,    4,    0
 15642, 87961,19170328,    0,    0
 15642, 87961,19170329,    7,    0
 15642, 87961,19170330,    4,    0
 15642, 87961,19170331,    6,    0
 15642, 87961,19170401,    0,    0
 15642, 87961,19170402,   21,    0
 15642, 87961,19170403,    0,    0
 15642, 87961,19170404,    0,    0
 15642, 87961,19170405,    0,    0
 15642, 87961,19170406,    0,    0
 15642, 87961,19170407,   12,    0
 15642, 87961,19170408,    3,    0
