EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WADERSLOH, GERMANY (STAID: 15671)
Blended and updated with sources:87499 89191 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 15671, 89191,19310101,   28,    0
 15671, 89191,19310102,   32,    0
 15671, 89191,19310103,   65,    0
 15671, 89191,19310104,   28,    0
 15671, 89191,19310105,   16,    0
 15671, 89191,19310106,    5,    0
 15671, 89191,19310107,    0,    0
 15671, 89191,19310108,    0,    0
 15671, 89191,19310109,    0,    0
 15671, 89191,19310110,    0,    0
 15671, 89191,19310111,    2,    0
 15671, 89191,19310112,   71,    0
 15671, 89191,19310113,   62,    0
 15671, 89191,19310114,    0,    0
 15671, 89191,19310115,   26,    0
 15671, 89191,19310116,   96,    0
 15671, 89191,19310117,   71,    0
 15671, 89191,19310118,   34,    0
 15671, 89191,19310119,   52,    0
 15671, 89191,19310120,   14,    0
 15671, 89191,19310121,    0,    0
 15671, 89191,19310122,    0,    0
 15671, 89191,19310123,   54,    0
 15671, 89191,19310124,   32,    0
 15671, 89191,19310125,   22,    0
 15671, 89191,19310126,   34,    0
 15671, 89191,19310127,    4,    0
 15671, 89191,19310128,   61,    0
 15671, 89191,19310129,   48,    0
 15671, 89191,19310130,  125,    0
 15671, 89191,19310131,   64,    0
 15671, 89191,19310201,    0,    0
 15671, 89191,19310202,   64,    0
 15671, 89191,19310203,   25,    0
 15671, 89191,19310204,    0,    0
 15671, 89191,19310205,    0,    0
 15671, 89191,19310206,    0,    0
 15671, 89191,19310207,    0,    0
 15671, 89191,19310208,    0,    0
 15671, 89191,19310209,   14,    0
 15671, 89191,19310210,   18,    0
 15671, 89191,19310211,   34,    0
 15671, 89191,19310212,   24,    0
 15671, 89191,19310213,   60,    0
 15671, 89191,19310214,    0,    0
 15671, 89191,19310215,    0,    0
