EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DAMME, GERMANY (STAID: 16082)
Blended and updated with sources:87257 90013 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 16082, 90013,19690101,   84,    0
 16082, 90013,19690102,    0,    0
 16082, 90013,19690103,    0,    0
 16082, 90013,19690104,    1,    0
 16082, 90013,19690105,    0,    0
 16082, 90013,19690106,    1,    0
 16082, 90013,19690107,    0,    0
 16082, 90013,19690108,    0,    0
 16082, 90013,19690109,    0,    0
 16082, 90013,19690110,    0,    0
 16082, 90013,19690111,    7,    0
 16082, 90013,19690112,    0,    0
 16082, 90013,19690113,    1,    0
 16082, 90013,19690114,    4,    0
 16082, 90013,19690115,    1,    0
 16082, 90013,19690116,    0,    0
 16082, 90013,19690117,    0,    0
 16082, 90013,19690118,   12,    0
 16082, 90013,19690119,    1,    0
 16082, 90013,19690120,    0,    0
 16082, 90013,19690121,   25,    0
 16082, 90013,19690122,   74,    0
 16082, 90013,19690123,   13,    0
 16082, 90013,19690124,   52,    0
 16082, 90013,19690125,   18,    0
 16082, 90013,19690126,    1,    0
 16082, 90013,19690127,    2,    0
 16082, 90013,19690128,   37,    0
 16082, 90013,19690129,   33,    0
 16082, 90013,19690130,    3,    0
 16082, 90013,19690131,   51,    0
 16082, 90013,19690201,    0,    0
 16082, 90013,19690202,    3,    0
 16082, 90013,19690203,    8,    0
 16082, 90013,19690204,    0,    0
 16082, 90013,19690205,    0,    0
 16082, 90013,19690206,    0,    0
 16082, 90013,19690207,    3,    0
 16082, 90013,19690208,    4,    0
 16082, 90013,19690209,   17,    0
 16082, 90013,19690210,   46,    0
 16082, 90013,19690211,    4,    0
 16082, 90013,19690212,    0,    0
 16082, 90013,19690213,   23,    0
 16082, 90013,19690214,    1,    0
 16082, 90013,19690215,  244,    0
 16082, 90013,19690216,   54,    0
 16082, 90013,19690217,   13,    0
 16082, 90013,19690218,    0,    0
 16082, 90013,19690219,    0,    0
 16082, 90013,19690220,   28,    0
 16082, 90013,19690221,    0,    0
 16082, 90013,19690222,    1,    0
 16082, 90013,19690223,    0,    0
 16082, 90013,19690224,    0,    0
 16082, 90013,19690225,   44,    0
 16082, 90013,19690226,    5,    0
 16082, 90013,19690227,    0,    0
 16082, 90013,19690228,    0,    0
 16082, 90013,19690301,    0,    0
 16082, 90013,19690302,    0,    0
 16082, 90013,19690303,    0,    0
 16082, 90013,19690304,    0,    0
 16082, 90013,19690305,    0,    0
 16082, 90013,19690306,    0,    0
 16082, 90013,19690307,    0,    0
 16082, 90013,19690308,    0,    0
 16082, 90013,19690309,    2,    0
 16082, 90013,19690310,    0,    0
 16082, 90013,19690311,   32,    0
 16082, 90013,19690312,   21,    0
 16082, 90013,19690313,  155,    0
 16082, 90013,19690314,   22,    0
 16082, 90013,19690315,   25,    0
 16082, 90013,19690316,    6,    0
 16082, 90013,19690317,    2,    0
 16082, 90013,19690318,    0,    0
 16082, 90013,19690319,    0,    0
 16082, 90013,19690320,    0,    0
 16082, 90013,19690321,    0,    0
 16082, 90013,19690322,    0,    0
 16082, 90013,19690323,    0,    0
 16082, 90013,19690324,    0,    0
 16082, 90013,19690325,    0,    0
 16082, 90013,19690326,    0,    0
 16082, 90013,19690327,    5,    0
 16082, 90013,19690328,    0,    0
 16082, 90013,19690329,    0,    0
 16082, 90013,19690330,   36,    0
 16082, 90013,19690331,   99,    0
 16082, 90013,19690401,    3,    0
 16082, 90013,19690402,   22,    0
 16082, 90013,19690403,    2,    0
 16082, 90013,19690404,    0,    0
 16082, 90013,19690405,    0,    0
 16082, 90013,19690406,    0,    0
 16082, 90013,19690407,    0,    0
 16082, 90013,19690408,    0,    0
 16082, 90013,19690409,    0,    0
 16082, 90013,19690410,    2,    0
 16082, 90013,19690411,  100,    0
 16082, 90013,19690412,   36,    0
 16082, 90013,19690413,    2,    0
 16082, 90013,19690414,   15,    0
 16082, 90013,19690415,   82,    0
 16082, 90013,19690416,   82,    0
 16082, 90013,19690417,    5,    0
 16082, 90013,19690418,   13,    0
 16082, 90013,19690419,    1,    0
 16082, 90013,19690420,    0,    0
 16082, 90013,19690421,    3,    0
 16082, 90013,19690422,  128,    0
 16082, 90013,19690423,   77,    0
 16082, 90013,19690424,   12,    0
 16082, 90013,19690425,    0,    0
 16082, 90013,19690426,   21,    0
 16082, 90013,19690427,   11,    0
 16082, 90013,19690428,    2,    0
 16082, 90013,19690429,    0,    0
 16082, 90013,19690430,    1,    0
 16082, 90013,19690501,    3,    0
 16082, 90013,19690502,    0,    0
 16082, 90013,19690503,   98,    0
 16082, 90013,19690504,   54,    0
 16082, 90013,19690505,    2,    0
 16082, 90013,19690506,    0,    0
 16082, 90013,19690507,    4,    0
 16082, 90013,19690508,    0,    0
 16082, 90013,19690509,    0,    0
 16082, 90013,19690510,   18,    0
 16082, 90013,19690511,    0,    0
 16082, 90013,19690512,    0,    0
 16082, 90013,19690513,    0,    0
 16082, 90013,19690514,    0,    0
 16082, 90013,19690515,    0,    0
 16082, 90013,19690516,   12,    0
 16082, 90013,19690517,   13,    0
 16082, 90013,19690518,   49,    0
 16082, 90013,19690519,  107,    0
 16082, 90013,19690520,   46,    0
 16082, 90013,19690521,    0,    0
 16082, 90013,19690522,    0,    0
 16082, 90013,19690523,    0,    0
 16082, 90013,19690524,    0,    0
 16082, 90013,19690525,    0,    0
 16082, 90013,19690526,   76,    0
