EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STEINACH, GERMANY (STAID: 16111)
Blended and updated with sources:90071 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 16111, 90071,19310101,   58,    0
 16111, 90071,19310102,    4,    0
 16111, 90071,19310103,  210,    0
 16111, 90071,19310104,  104,    0
 16111, 90071,19310105,    5,    0
 16111, 90071,19310106,    1,    0
 16111, 90071,19310107,    0,    0
 16111, 90071,19310108,    0,    0
 16111, 90071,19310109,    0,    0
 16111, 90071,19310110,    0,    0
 16111, 90071,19310111,    0,    0
 16111, 90071,19310112,    0,    0
 16111, 90071,19310113,    0,    0
 16111, 90071,19310114,    0,    0
 16111, 90071,19310115,    9,    0
 16111, 90071,19310116,  121,    0
 16111, 90071,19310117,   67,    0
 16111, 90071,19310118,   17,    0
 16111, 90071,19310119,  109,    0
 16111, 90071,19310120,   29,    0
 16111, 90071,19310121,    7,    0
 16111, 90071,19310122,    0,    0
 16111, 90071,19310123,   16,    0
 16111, 90071,19310124,   48,    0
 16111, 90071,19310125,   36,    0
 16111, 90071,19310126,   22,    0
 16111, 90071,19310127,   15,    0
 16111, 90071,19310128,   51,    0
 16111, 90071,19310129,   21,    0
 16111, 90071,19310130,    0,    0
 16111, 90071,19310131,    0,    0
 16111, 90071,19310201,    0,    0
 16111, 90071,19310202,    0,    0
 16111, 90071,19310203,    0,    0
 16111, 90071,19310204,   11,    0
 16111, 90071,19310205,   10,    0
 16111, 90071,19310206,    0,    0
 16111, 90071,19310207,   36,    0
 16111, 90071,19310208,   15,    0
 16111, 90071,19310209,    0,    0
 16111, 90071,19310210,   22,    0
 16111, 90071,19310211,   30,    0
 16111, 90071,19310212,   47,    0
 16111, 90071,19310213,    5,    0
 16111, 90071,19310214,   21,    0
 16111, 90071,19310215,    0,    0
 16111, 90071,19310216,    0,    0
 16111, 90071,19310217,    0,    0
 16111, 90071,19310218,    0,    0
 16111, 90071,19310219,    0,    0
 16111, 90071,19310220,    0,    0
 16111, 90071,19310221,   24,    0
 16111, 90071,19310222,   45,    0
 16111, 90071,19310223,    2,    0
 16111, 90071,19310224,    0,    0
 16111, 90071,19310225,   32,    0
 16111, 90071,19310226,   54,    0
 16111, 90071,19310227,   13,    0
 16111, 90071,19310228,   64,    0
 16111, 90071,19310301,   40,    0
 16111, 90071,19310302,    0,    0
 16111, 90071,19310303,    0,    0
 16111, 90071,19310304,    0,    0
 16111, 90071,19310305,    0,    0
 16111, 90071,19310306,   10,    0
 16111, 90071,19310307,   31,    0
 16111, 90071,19310308,   21,    0
 16111, 90071,19310309,   63,    0
 16111, 90071,19310310,   62,    0
 16111, 90071,19310311,    5,    0
 16111, 90071,19310312,    0,    0
 16111, 90071,19310313,    0,    0
 16111, 90071,19310314,    0,    0
 16111, 90071,19310315,    0,    0
 16111, 90071,19310316,    0,    0
 16111, 90071,19310317,    0,    0
 16111, 90071,19310318,    0,    0
 16111, 90071,19310319,    0,    0
 16111, 90071,19310320,    0,    0
 16111, 90071,19310321,    0,    0
 16111, 90071,19310322,   31,    0
 16111, 90071,19310323,    0,    0
 16111, 90071,19310324,    0,    0
 16111, 90071,19310325,    0,    0
 16111, 90071,19310326,    0,    0
