EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GEROLSTEIN, GERMANY (STAID: 16221)
Blended and updated with sources:82893 84607 86635 88519 90291 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 16221, 82893,19310101,   84,    0
 16221, 82893,19310102,   91,    0
 16221, 82893,19310103,  138,    0
 16221, 82893,19310104,   16,    0
 16221, 82893,19310105,   74,    0
 16221, 82893,19310106,    6,    0
 16221, 84607,19310107,    2,    0
 16221, 84607,19310108,    4,    0
 16221, 84607,19310109,    0,    0
 16221, 84607,19310110,    0,    0
 16221, 84607,19310111,    0,    0
 16221, 82893,19310112,   13,    0
 16221, 82893,19310113,    0,    0
 16221, 82893,19310114,   37,    0
 16221, 82893,19310115,   14,    0
 16221, 82893,19310116,   64,    0
 16221, 82893,19310117,  105,    0
 16221, 82893,19310118,   58,    0
 16221, 82893,19310119,   18,    0
 16221, 84607,19310120,    0,    0
 16221, 84607,19310121,    0,    0
 16221, 84607,19310122,    0,    0
 16221, 82893,19310123,  117,    0
 16221, 82893,19310124,   32,    0
 16221, 82893,19310125,   51,    0
 16221, 82893,19310126,   56,    0
 16221, 82893,19310127,    2,    0
 16221, 82893,19310128,   30,    0
 16221, 82893,19310129,   21,    0
 16221, 84607,19310130,  150,    0
 16221, 84607,19310131,    0,    0
 16221, 84607,19310201,    0,    0
 16221, 82893,19310202,   46,    0
 16221, 82893,19310203,   39,    0
 16221, 82893,19310204,   20,    0
 16221, 84607,19310205,   15,    0
 16221, 84607,19310206,    0,    0
 16221, 84607,19310207,    0,    0
 16221, 84607,19310208,    0,    0
 16221, 84607,19310209,    0,    0
 16221, 82893,19310210,   16,    0
 16221, 82893,19310211,  154,    0
 16221, 84607,19310212,    0,    0
 16221, 84607,19310213,   35,    0
 16221, 84607,19310214,    0,    0
 16221, 84607,19310215,    0,    0
 16221, 82893,19310216,   55,    0
 16221, 82893,19310217,   75,    0
 16221, 84607,19310218,   14,    0
 16221, 84607,19310219,    0,    0
 16221, 84607,19310220,    0,    0
 16221, 84607,19310221,   26,    0
 16221, 84607,19310222,    0,    0
 16221, 84607,19310223,    0,    0
 16221, 84607,19310224,    0,    0
 16221, 82893,19310225,   12,    0
 16221, 82893,19310226,   31,    0
 16221, 82893,19310227,   61,    0
 16221, 82893,19310228,   45,    0
 16221, 84607,19310301,   44,    0
 16221, 84607,19310302,    0,    0
 16221, 84607,19310303,    0,    0
 16221, 84607,19310304,    0,    0
 16221, 84607,19310305,    0,    0
 16221, 84607,19310306,    0,    0
 16221, 84607,19310307,    0,    0
 16221, 84607,19310308,    0,    0
 16221, 84607,19310309,    0,    0
 16221, 82893,19310310,    3,    0
 16221, 84607,19310311,   76,    0
 16221, 84607,19310312,    0,    0
 16221, 84607,19310313,    0,    0
 16221, 84607,19310314,    0,    0
 16221, 84607,19310315,    0,    0
 16221, 84607,19310316,    0,    0
 16221, 84607,19310317,    0,    0
 16221, 84607,19310318,    0,    0
 16221, 84607,19310319,    0,    0
 16221, 84607,19310320,    0,    0
 16221, 84607,19310321,    0,    0
 16221, 82893,19310322,   74,    0
 16221, 82893,19310323,    4,    0
 16221, 84607,19310324,    0,    0
 16221, 84607,19310325,    0,    0
 16221, 84607,19310326,    0,    0
 16221, 84607,19310327,    0,    0
 16221, 84607,19310328,    0,    0
 16221, 84607,19310329,    0,    0
 16221, 84607,19310330,    0,    0
 16221, 84607,19310331,    0,    0
 16221, 84607,19310401,    0,    0
 16221, 84607,19310402,    0,    0
 16221, 84607,19310403,    0,    0
 16221, 82893,19310404,   33,    0
 16221, 82893,19310405,   30,    0
 16221, 84607,19310406,   61,    0
 16221, 84607,19310407,    0,    0
 16221, 84607,19310408,    0,    0
 16221, 84607,19310409,    0,    0
 16221, 84607,19310410,    0,    0
 16221, 84607,19310411,    0,    0
 16221, 84607,19310412,    0,    0
 16221, 84607,19310413,    0,    0
 16221, 84607,19310414,    0,    0
 16221, 84607,19310415,    0,    0
 16221, 82893,19310416,   29,    0
 16221, 82893,19310417,   98,    0
 16221, 84607,19310418,    0,    0
 16221, 84607,19310419,    0,    0
 16221, 84607,19310420,    0,    0
 16221, 84607,19310421,    0,    0
 16221, 82893,19310422,   27,    0
 16221, 82893,19310423,   10,    0
 16221, 82893,19310424,    0,    0
 16221, 82893,19310425,  126,    0
 16221, 82893,19310426,   75,    0
 16221, 82893,19310427,   57,    0
 16221, 82893,19310428,   28,    0
 16221, 84607,19310429,   10,    0
 16221, 84607,19310430,    0,    0
 16221, 84607,19310501,    0,    0
 16221, 84607,19310502,    0,    0
 16221, 82893,19310503,   31,    0
 16221, 84607,19310504,    0,    0
 16221, 84607,19310505,    0,    0
 16221, 84607,19310506,    0,    0
 16221, 84607,19310507,    0,    0
 16221, 84607,19310508,    0,    0
 16221, 84607,19310509,    0,    0
 16221, 84607,19310510,    0,    0
 16221, 84607,19310511,    0,    0
 16221, 84607,19310512,   10,    0
 16221, 84607,19310513,    0,    0
 16221, 84607,19310514,    0,    0
 16221, 82893,19310515,  111,    0
 16221, 82893,19310516,    0,    0
 16221, 82893,19310517,    4,    0
 16221, 82893,19310518,    7,    0
 16221, 82893,19310519,    0,    0
 16221, 82893,19310520,   14,    0
 16221, 84607,19310521,    0,    0
 16221, 84607,19310522,    0,    0
 16221, 84607,19310523,    0,    0
 16221, 84607,19310524,    0,    0
 16221, 84607,19310525,    0,    0
 16221, 82893,19310526,   58,    0
 16221, 84607,19310527,   32,    0
 16221, 84607,19310528,    0,    0
 16221, 84607,19310529,   43,    0
 16221, 82893,19310530,   78,    0
 16221, 82893,19310531,   48,    0
 16221, 84607,19310601,   30,    0
 16221, 84607,19310602,    0,    0
 16221, 84607,19310603,    0,    0
 16221, 84607,19310604,    0,    0
 16221, 84607,19310605,   30,    0
 16221, 82893,19310606,   34,    0
 16221, 82893,19310607,   58,    0
 16221, 82893,19310608,    2,    0
 16221, 84607,19310609,   77,    0
