EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OBERSOECHERING-REINTHAL, GERMANY (STAID: 16237)
Blended and updated with sources:82951 86369 88319 90323 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 16237, 86369,18910801,-9999,    9
 16237, 86369,18910802,-9999,    9
 16237, 86369,18910803,-9999,    9
 16237, 86369,18910804,-9999,    9
 16237, 86369,18910805,-9999,    9
 16237, 86369,18910806,-9999,    9
 16237, 86369,18910807,-9999,    9
 16237, 86369,18910808,-9999,    9
 16237, 86369,18910809,-9999,    9
 16237, 86369,18910810,-9999,    9
 16237, 86369,18910811,-9999,    9
 16237, 86369,18910812,    7,    0
 16237, 86369,18910813,   15,    0
 16237, 86369,18910814,    0,    0
 16237, 86369,18910815,    5,    0
 16237, 86369,18910816,   21,    0
 16237, 86369,18910817,    0,    0
 16237, 86369,18910818,   41,    0
 16237, 86369,18910819,   83,    0
 16237, 86369,18910820,    0,    0
 16237, 86369,18910821,  167,    0
 16237, 86369,18910822,  176,    0
 16237, 86369,18910823,   54,    0
 16237, 86369,18910824,    0,    0
 16237, 86369,18910825,    0,    0
 16237, 86369,18910826,    0,    0
 16237, 86369,18910827,    0,    0
 16237, 86369,18910828,   89,    0
 16237, 86369,18910829,    0,    0
 16237, 86369,18910830,   92,    0
 16237, 86369,18910831,   13,    0
 16237, 86369,18910901,    0,    0
 16237, 86369,18910902,    0,    0
 16237, 86369,18910903,    0,    0
 16237, 86369,18910904,  339,    0
 16237, 86369,18910905,  208,    0
 16237, 86369,18910906,    0,    0
 16237, 86369,18910907,    0,    0
 16237, 86369,18910908,    0,    0
 16237, 86369,18910909,    0,    0
 16237, 86369,18910910,    0,    0
 16237, 86369,18910911,    0,    0
 16237, 86369,18910912,    0,    0
 16237, 86369,18910913,    0,    0
 16237, 86369,18910914,   25,    0
 16237, 86369,18910915,   40,    0
 16237, 86369,18910916,    8,    0
 16237, 86369,18910917,    0,    0
 16237, 86369,18910918,    0,    0
 16237, 86369,18910919,    0,    0
 16237, 86369,18910920,   75,    0
 16237, 86369,18910921,   97,    0
 16237, 86369,18910922,   82,    0
 16237, 86369,18910923,   85,    0
 16237, 86369,18910924,    5,    0
 16237, 86369,18910925,    0,    0
 16237, 86369,18910926,    0,    0
 16237, 86369,18910927,   26,    0
 16237, 86369,18910928,    0,    0
 16237, 86369,18910929,    0,    0
 16237, 86369,18910930,    0,    0
 16237, 86369,18911001,    0,    0
 16237, 86369,18911002,   90,    0
 16237, 86369,18911003,   16,    0
 16237, 86369,18911004,    3,    0
 16237, 86369,18911005,    0,    0
 16237, 86369,18911006,   50,    0
 16237, 86369,18911007,    0,    0
 16237, 86369,18911008,    0,    0
 16237, 86369,18911009,    1,    0
 16237, 86369,18911010,    0,    0
 16237, 86369,18911011,    0,    0
 16237, 86369,18911012,    5,    0
 16237, 86369,18911013,    0,    0
 16237, 86369,18911014,    0,    0
 16237, 86369,18911015,    0,    0
 16237, 86369,18911016,    0,    0
 16237, 86369,18911017,  157,    0
 16237, 86369,18911018,   40,    0
 16237, 86369,18911019,    0,    0
 16237, 86369,18911020,    0,    0
 16237, 86369,18911021,   22,    0
 16237, 86369,18911022,    0,    0
 16237, 86369,18911023,    0,    0
 16237, 86369,18911024,    0,    0
 16237, 86369,18911025,    0,    0
 16237, 86369,18911026,    0,    0
 16237, 86369,18911027,    0,    0
 16237, 86369,18911028,    0,    0
 16237, 86369,18911029,    0,    0
 16237, 86369,18911030,    0,    0
 16237, 86369,18911031,   15,    0
 16237, 86369,18911101,    0,    0
 16237, 86369,18911102,    0,    0
 16237, 86369,18911103,    0,    0
 16237, 86369,18911104,    0,    0
 16237, 86369,18911105,    0,    0
 16237, 86369,18911106,    0,    0
 16237, 86369,18911107,    0,    0
 16237, 86369,18911108,    0,    0
 16237, 86369,18911109,    0,    0
 16237, 86369,18911110,   67,    0
 16237, 86369,18911111,   27,    0
 16237, 86369,18911112,   27,    0
 16237, 86369,18911113,   65,    0
 16237, 86369,18911114,    0,    0
 16237, 86369,18911115,    0,    0
 16237, 86369,18911116,   33,    0
 16237, 86369,18911117,   28,    0
 16237, 86369,18911118,   42,    0
 16237, 86369,18911119,    0,    0
 16237, 86369,18911120,    0,    0
 16237, 86369,18911121,   25,    0
 16237, 86369,18911122,    0,    0
 16237, 86369,18911123,    0,    0
 16237, 86369,18911124,    0,    0
 16237, 86369,18911125,    0,    0
 16237, 86369,18911126,   65,    0
 16237, 86369,18911127,   73,    0
 16237, 86369,18911128,    0,    0
 16237, 86369,18911129,    0,    0
 16237, 86369,18911130,    0,    0
 16237, 86369,18911201,    0,    0
 16237, 86369,18911202,    0,    0
 16237, 86369,18911203,    4,    0
 16237, 86369,18911204,    0,    0
 16237, 86369,18911205,    0,    0
 16237, 86369,18911206,    0,    0
 16237, 86369,18911207,    0,    0
 16237, 86369,18911208,    0,    0
 16237, 86369,18911209,    2,    0
 16237, 86369,18911210,    5,    0
 16237, 86369,18911211,  100,    0
 16237, 86369,18911212,    0,    0
 16237, 86369,18911213,   25,    0
 16237, 86369,18911214,   90,    0
 16237, 86369,18911215,   40,    0
 16237, 86369,18911216,   72,    0
 16237, 86369,18911217,   95,    0
 16237, 86369,18911218,   64,    0
 16237, 86369,18911219,    0,    0
 16237, 86369,18911220,    0,    0
 16237, 86369,18911221,    0,    0
 16237, 86369,18911222,    0,    0
 16237, 86369,18911223,    0,    0
 16237, 86369,18911224,    0,    0
 16237, 86369,18911225,    0,    0
 16237, 86369,18911226,    0,    0
 16237, 86369,18911227,   30,    0
 16237, 86369,18911228,    0,    0
 16237, 86369,18911229,   82,    0
 16237, 86369,18911230,  159,    0
 16237, 86369,18911231,  107,    0
 16237, 86369,18920101,    7,    0
 16237, 86369,18920102,    6,    0
 16237, 86369,18920103,    0,    0
 16237, 86369,18920104,   25,    0
