EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LIPPETAL-BROCKHAUSEN, GERMANY (STAID: 16278)
Blended and updated with sources:85813 87845 88357 90405 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 16278, 88357,19310101,  160,    0
 16278, 88357,19310102,   10,    0
 16278, 88357,19310103,  110,    0
 16278, 88357,19310104,   10,    0
 16278, 88357,19310105,   60,    0
 16278, 88357,19310106,    0,    0
 16278, 88357,19310107,    0,    0
 16278, 88357,19310108,    0,    0
 16278, 88357,19310109,    0,    0
 16278, 88357,19310110,    0,    0
 16278, 88357,19310111,    2,    0
 16278, 88357,19310112,   38,    0
 16278, 88357,19310113,   60,    0
 16278, 88357,19310114,    0,    0
 16278, 88357,19310115,   35,    0
 16278, 88357,19310116,  128,    0
 16278, 88357,19310117,  103,    0
 16278, 88357,19310118,   76,    0
 16278, 88357,19310119,   40,    0
 16278, 88357,19310120,   18,    0
 16278, 88357,19310121,    0,    0
 16278, 88357,19310122,    0,    0
 16278, 88357,19310123,   35,    0
 16278, 88357,19310124,   66,    0
 16278, 88357,19310125,   40,    0
 16278, 88357,19310126,   47,    0
 16278, 88357,19310127,    0,    0
 16278, 88357,19310128,   50,    0
 16278, 88357,19310129,   35,    0
 16278, 88357,19310130,  140,    0
 16278, 88357,19310131,   38,    0
 16278, 88357,19310201,    0,    0
 16278, 88357,19310202,  152,    0
 16278, 88357,19310203,    0,    0
 16278, 88357,19310204,    0,    0
 16278, 88357,19310205,    0,    0
 16278, 88357,19310206,    0,    0
 16278, 88357,19310207,    0,    0
 16278, 88357,19310208,    0,    0
 16278, 88357,19310209,    0,    0
 16278, 88357,19310210,  142,    0
 16278, 88357,19310211,   35,    0
 16278, 88357,19310212,   60,    0
 16278, 88357,19310213,   25,    0
 16278, 88357,19310214,    0,    0
 16278, 88357,19310215,    0,    0
 16278, 88357,19310216,   25,    0
 16278, 88357,19310217,   32,    0
 16278, 88357,19310218,    0,    0
 16278, 88357,19310219,    0,    0
 16278, 88357,19310220,    0,    0
 16278, 88357,19310221,    0,    0
 16278, 88357,19310222,    0,    0
 16278, 88357,19310223,    0,    0
 16278, 88357,19310224,    0,    0
 16278, 88357,19310225,    3,    0
 16278, 88357,19310226,  102,    0
 16278, 88357,19310227,   32,    0
 16278, 88357,19310228,  124,    0
 16278, 88357,19310301,   26,    0
 16278, 88357,19310302,    0,    0
 16278, 88357,19310303,    0,    0
 16278, 88357,19310304,    0,    0
 16278, 88357,19310305,    0,    0
 16278, 88357,19310306,    0,    0
 16278, 88357,19310307,    0,    0
 16278, 88357,19310308,    0,    0
 16278, 88357,19310309,    0,    0
 16278, 88357,19310310,    0,    0
 16278, 88357,19310311,    9,    0
 16278, 88357,19310312,    0,    0
 16278, 88357,19310313,    0,    0
 16278, 88357,19310314,    0,    0
 16278, 88357,19310315,    0,    0
 16278, 88357,19310316,    0,    0
 16278, 88357,19310317,    0,    0
 16278, 88357,19310318,    0,    0
 16278, 88357,19310319,    0,    0
 16278, 88357,19310320,    0,    0
 16278, 88357,19310321,   95,    0
 16278, 88357,19310322,   16,    0
 16278, 88357,19310323,    1,    0
 16278, 88357,19310324,    0,    0
 16278, 88357,19310325,    0,    0
 16278, 88357,19310326,    0,    0
 16278, 88357,19310327,    0,    0
 16278, 88357,19310328,    0,    0
 16278, 88357,19310329,    0,    0
 16278, 88357,19310330,    0,    0
 16278, 88357,19310331,    0,    0
 16278, 88357,19310401,    0,    0
 16278, 88357,19310402,    0,    0
 16278, 88357,19310403,    0,    0
 16278, 88357,19310404,   46,    0
 16278, 88357,19310405,  130,    0
 16278, 88357,19310406,   10,    0
 16278, 88357,19310407,    0,    0
 16278, 88357,19310408,    0,    0
 16278, 88357,19310409,   25,    0
 16278, 88357,19310410,    0,    0
 16278, 88357,19310411,    0,    0
 16278, 88357,19310412,   14,    0
 16278, 88357,19310413,    0,    0
 16278, 88357,19310414,   78,    0
 16278, 88357,19310415,    0,    0
 16278, 88357,19310416,   24,    0
 16278, 88357,19310417,   71,    0
 16278, 88357,19310418,    0,    0
 16278, 88357,19310419,    0,    0
 16278, 88357,19310420,    0,    0
 16278, 88357,19310421,    0,    0
 16278, 88357,19310422,   35,    0
 16278, 88357,19310423,    2,    0
 16278, 88357,19310424,    0,    0
 16278, 88357,19310425,   51,    0
 16278, 88357,19310426,   39,    0
 16278, 88357,19310427,   59,    0
 16278, 88357,19310428,  125,    0
 16278, 88357,19310429,   64,    0
 16278, 88357,19310430,    0,    0
 16278, 88357,19310501,    0,    0
 16278, 88357,19310502,    6,    0
 16278, 88357,19310503,    3,    0
 16278, 88357,19310504,    0,    0
 16278, 88357,19310505,   33,    0
 16278, 88357,19310506,    0,    0
