EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SEGARIU, ITALY (STAID: 16471)
Blended and updated with sources:91112 91113 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 16471, 91113,19220101,    0,    0
 16471, 91113,19220102,    0,    0
 16471, 91113,19220103,    0,    0
 16471, 91113,19220104,    0,    0
 16471, 91113,19220105,    0,    0
 16471, 91113,19220106,  350,    0
 16471, 91113,19220107,    0,    0
 16471, 91113,19220108,    0,    0
 16471, 91113,19220109,  250,    0
 16471, 91113,19220110,    0,    0
 16471, 91113,19220111,    0,    0
 16471, 91113,19220112,    0,    0
 16471, 91113,19220113,    0,    0
 16471, 91113,19220114,   40,    0
 16471, 91113,19220115,    0,    0
 16471, 91113,19220116,    0,    0
 16471, 91113,19220117,    0,    0
 16471, 91113,19220118,    0,    0
 16471, 91113,19220119,    0,    0
 16471, 91113,19220120,    0,    0
 16471, 91113,19220121,    0,    0
 16471, 91113,19220122,    0,    0
 16471, 91113,19220123,   80,    0
 16471, 91113,19220124,    0,    0
 16471, 91113,19220125,    0,    0
 16471, 91113,19220126,    0,    0
 16471, 91113,19220127,    0,    0
 16471, 91113,19220128,    0,    0
 16471, 91113,19220129,    0,    0
 16471, 91113,19220130,    0,    0
 16471, 91113,19220131,    0,    0
 16471, 91113,19220201,    0,    0
 16471, 91113,19220202,    0,    0
 16471, 91113,19220203,  110,    0
 16471, 91113,19220204,    0,    0
 16471, 91113,19220205,    0,    0
 16471, 91113,19220206,    0,    0
 16471, 91113,19220207,    0,    0
 16471, 91113,19220208,  150,    0
 16471, 91113,19220209,    0,    0
 16471, 91113,19220210,    0,    0
 16471, 91113,19220211,    0,    0
 16471, 91113,19220212,   20,    0
 16471, 91113,19220213,    0,    0
 16471, 91113,19220214,    0,    0
 16471, 91113,19220215,    0,    0
 16471, 91113,19220216,    0,    0
 16471, 91113,19220217,    0,    0
 16471, 91113,19220218,    0,    0
 16471, 91113,19220219,   20,    0
 16471, 91113,19220220,   10,    0
 16471, 91113,19220221,    0,    0
 16471, 91113,19220222,    0,    0
 16471, 91113,19220223,    0,    0
 16471, 91113,19220224,  100,    0
 16471, 91113,19220225,  120,    0
 16471, 91113,19220226,    0,    0
 16471, 91113,19220227,    0,    0
 16471, 91113,19220228,    0,    0
 16471, 91113,19220301,    0,    0
 16471, 91113,19220302,    0,    0
 16471, 91113,19220303,    0,    0
 16471, 91113,19220304,    0,    0
 16471, 91113,19220305,    0,    0
 16471, 91113,19220306,    0,    0
 16471, 91113,19220307,    0,    0
 16471, 91113,19220308,    0,    0
 16471, 91113,19220309,    0,    0
 16471, 91113,19220310,    0,    0
 16471, 91113,19220311,    0,    0
 16471, 91113,19220312,    0,    0
 16471, 91113,19220313,    0,    0
 16471, 91113,19220314,  200,    0
 16471, 91113,19220315,  120,    0
 16471, 91113,19220316,    0,    0
 16471, 91113,19220317,    0,    0
 16471, 91113,19220318,    0,    0
 16471, 91113,19220319,    0,    0
 16471, 91113,19220320,    0,    0
 16471, 91113,19220321,    0,    0
 16471, 91113,19220322,    0,    0
 16471, 91113,19220323,  100,    0
 16471, 91113,19220324,  180,    0
 16471, 91113,19220325,  160,    0
 16471, 91113,19220326,  250,    0
 16471, 91113,19220327,  170,    0
 16471, 91113,19220328,  130,    0
 16471, 91113,19220329,  110,    0
 16471, 91113,19220330,    0,    0
 16471, 91113,19220331,    0,    0
 16471, 91113,19220401,    0,    0
 16471, 91113,19220402,    0,    0
 16471, 91113,19220403,    0,    0
 16471, 91113,19220404,    0,    0
 16471, 91113,19220405,    0,    0
 16471, 91113,19220406,    0,    0
 16471, 91113,19220407,    0,    0
 16471, 91113,19220408,    0,    0
 16471, 91113,19220409,    0,    0
 16471, 91113,19220410,    0,    0
 16471, 91113,19220411,    0,    0
 16471, 91113,19220412,    0,    0
 16471, 91113,19220413,    0,    0
 16471, 91113,19220414,    0,    0
 16471, 91113,19220415,    0,    0
 16471, 91113,19220416,  200,    0
 16471, 91113,19220417,  300,    0
 16471, 91113,19220418,  160,    0
 16471, 91113,19220419,  120,    0
 16471, 91113,19220420,  260,    0
 16471, 91113,19220421,    0,    0
 16471, 91113,19220422,    0,    0
 16471, 91113,19220423,    0,    0
 16471, 91113,19220424,    0,    0
 16471, 91113,19220425,    0,    0
 16471, 91113,19220426,    0,    0
 16471, 91113,19220427,    0,    0
 16471, 91113,19220428,    0,    0
 16471, 91113,19220429,    0,    0
 16471, 91113,19220430,    0,    0
 16471, 91113,19220501,    0,    0
 16471, 91113,19220502,    0,    0
 16471, 91113,19220503,    0,    0
 16471, 91113,19220504,    0,    0
 16471, 91113,19220505,    0,    0
 16471, 91113,19220506,    0,    0
 16471, 91113,19220507,    0,    0
 16471, 91113,19220508,    0,    0
 16471, 91113,19220509,    0,    0
 16471, 91113,19220510,    0,    0
 16471, 91113,19220511,    0,    0
 16471, 91113,19220512,    0,    0
 16471, 91113,19220513,    0,    0
 16471, 91113,19220514,    0,    0
 16471, 91113,19220515,    0,    0
 16471, 91113,19220516,    0,    0
 16471, 91113,19220517,    0,    0
 16471, 91113,19220518,    0,    0
 16471, 91113,19220519,    0,    0
 16471, 91113,19220520,    0,    0
 16471, 91113,19220521,    0,    0
 16471, 91113,19220522,    0,    0
 16471, 91113,19220523,    0,    0
 16471, 91113,19220524,    0,    0
 16471, 91113,19220525,    0,    0
 16471, 91113,19220526,    0,    0
 16471, 91113,19220527,    0,    0
 16471, 91113,19220528,    0,    0
 16471, 91113,19220529,    0,    0
 16471, 91113,19220530,    0,    0
 16471, 91113,19220531,    0,    0
 16471, 91113,19220601,    0,    0
 16471, 91113,19220602,    0,    0
 16471, 91113,19220603,    0,    0
 16471, 91113,19220604,    0,    0
 16471, 91113,19220605,    0,    0
 16471, 91113,19220606,    0,    0
 16471, 91113,19220607,    0,    0
 16471, 91113,19220608,    0,    0
 16471, 91113,19220609,    0,    0
 16471, 91113,19220610,    0,    0
 16471, 91113,19220611,    0,    0
 16471, 91113,19220612,    0,    0
 16471, 91113,19220613,    0,    0
 16471, 91113,19220614,   40,    0
 16471, 91113,19220615,   60,    0
 16471, 91113,19220616,    0,    0
 16471, 91113,19220617,    0,    0
 16471, 91113,19220618,    0,    0
 16471, 91113,19220619,    0,    0
 16471, 91113,19220620,    0,    0
 16471, 91113,19220621,    0,    0
 16471, 91113,19220622,    0,    0
 16471, 91113,19220623,    0,    0
 16471, 91113,19220624,    0,    0
 16471, 91113,19220625,    0,    0
 16471, 91113,19220626,    0,    0
 16471, 91113,19220627,    0,    0
 16471, 91113,19220628,    0,    0
 16471, 91113,19220629,    0,    0
 16471, 91113,19220630,    0,    0
 16471, 91113,19220701,    0,    0
 16471, 91113,19220702,    0,    0
 16471, 91113,19220703,    0,    0
 16471, 91113,19220704,    0,    0
 16471, 91113,19220705,    0,    0
 16471, 91113,19220706,    0,    0
