EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SIG.A MARTA, ITALY (STAID: 16516)
Blended and updated with sources:91158 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 16516, 91158,19220101,    0,    0
 16516, 91158,19220102,    0,    0
 16516, 91158,19220103,    0,    0
 16516, 91158,19220104,    0,    0
 16516, 91158,19220105,  100,    0
 16516, 91158,19220106,    0,    0
 16516, 91158,19220107,  150,    0
 16516, 91158,19220108,    0,    0
 16516, 91158,19220109,    0,    0
 16516, 91158,19220110,    0,    0
 16516, 91158,19220111,    0,    0
 16516, 91158,19220112,    0,    0
 16516, 91158,19220113,    0,    0
 16516, 91158,19220114,    0,    0
 16516, 91158,19220115,   50,    0
 16516, 91158,19220116,    0,    0
 16516, 91158,19220117,    0,    0
 16516, 91158,19220118,    0,    0
 16516, 91158,19220119,    0,    0
 16516, 91158,19220120,   50,    0
 16516, 91158,19220121,    0,    0
 16516, 91158,19220122,    0,    0
 16516, 91158,19220123,    0,    0
 16516, 91158,19220124,    0,    0
 16516, 91158,19220125,  100,    0
 16516, 91158,19220126,   20,    0
 16516, 91158,19220127,  200,    0
 16516, 91158,19220128,    0,    0
 16516, 91158,19220129,  150,    0
 16516, 91158,19220130,    0,    0
 16516, 91158,19220131,  100,    0
 16516, 91158,19220201,   50,    0
 16516, 91158,19220202,   50,    0
 16516, 91158,19220203,    0,    0
 16516, 91158,19220204,    0,    0
 16516, 91158,19220205,    0,    0
 16516, 91158,19220206,    0,    0
 16516, 91158,19220207,  330,    0
 16516, 91158,19220208,    0,    0
 16516, 91158,19220209,    0,    0
 16516, 91158,19220210,    0,    0
 16516, 91158,19220211,    0,    0
 16516, 91158,19220212,    0,    0
 16516, 91158,19220213,    0,    0
 16516, 91158,19220214,    0,    0
 16516, 91158,19220215,    0,    0
 16516, 91158,19220216,    0,    0
 16516, 91158,19220217,    0,    0
 16516, 91158,19220218,    0,    0
 16516, 91158,19220219,    0,    0
 16516, 91158,19220220,   80,    0
 16516, 91158,19220221,    0,    0
 16516, 91158,19220222,    0,    0
 16516, 91158,19220223,    0,    0
 16516, 91158,19220224,    0,    0
 16516, 91158,19220225,    0,    0
 16516, 91158,19220226,    0,    0
 16516, 91158,19220227,    0,    0
 16516, 91158,19220228,    0,    0
 16516, 91158,19220301,    0,    0
 16516, 91158,19220302,    0,    0
 16516, 91158,19220303,    0,    0
 16516, 91158,19220304,    0,    0
 16516, 91158,19220305,    0,    0
 16516, 91158,19220306,    0,    0
 16516, 91158,19220307,    0,    0
 16516, 91158,19220308,    0,    0
 16516, 91158,19220309,    0,    0
 16516, 91158,19220310,    0,    0
 16516, 91158,19220311,    0,    0
 16516, 91158,19220312,    0,    0
 16516, 91158,19220313,    0,    0
 16516, 91158,19220314,  250,    0
 16516, 91158,19220315,    0,    0
 16516, 91158,19220316,    0,    0
 16516, 91158,19220317,    0,    0
 16516, 91158,19220318,    0,    0
 16516, 91158,19220319,    0,    0
 16516, 91158,19220320,    0,    0
 16516, 91158,19220321,    0,    0
 16516, 91158,19220322,   50,    0
 16516, 91158,19220323,  150,    0
 16516, 91158,19220324,  300,    0
 16516, 91158,19220325,  100,    0
 16516, 91158,19220326,  200,    0
 16516, 91158,19220327,  100,    0
 16516, 91158,19220328,   50,    0
 16516, 91158,19220329,    0,    0
 16516, 91158,19220330,    0,    0
 16516, 91158,19220331,    0,    0
 16516, 91158,19220401,    0,    0
 16516, 91158,19220402,    0,    0
 16516, 91158,19220403,    0,    0
 16516, 91158,19220404,    0,    0
 16516, 91158,19220405,    0,    0
 16516, 91158,19220406,  400,    0
 16516, 91158,19220407,    0,    0
 16516, 91158,19220408,    0,    0
 16516, 91158,19220409,    0,    0
 16516, 91158,19220410,    0,    0
 16516, 91158,19220411,    0,    0
 16516, 91158,19220412,    0,    0
 16516, 91158,19220413,    0,    0
 16516, 91158,19220414,    0,    0
 16516, 91158,19220415,    0,    0
 16516, 91158,19220416,    0,    0
 16516, 91158,19220417,   50,    0
 16516, 91158,19220418,  100,    0
 16516, 91158,19220419,   50,    0
 16516, 91158,19220420,    0,    0
 16516, 91158,19220421,    0,    0
 16516, 91158,19220422,    0,    0
 16516, 91158,19220423,    0,    0
 16516, 91158,19220424,    2,    0
 16516, 91158,19220425,  100,    0
 16516, 91158,19220426,    0,    0
 16516, 91158,19220427,    0,    0
 16516, 91158,19220428,    0,    0
 16516, 91158,19220429,    0,    0
 16516, 91158,19220430,    0,    0
 16516, 91158,19220501,    0,    0
 16516, 91158,19220502,    0,    0
 16516, 91158,19220503,  150,    0
 16516, 91158,19220504,    0,    0
 16516, 91158,19220505,    0,    0
 16516, 91158,19220506,    0,    0
 16516, 91158,19220507,    0,    0
 16516, 91158,19220508,    0,    0
 16516, 91158,19220509,    0,    0
 16516, 91158,19220510,    0,    0
 16516, 91158,19220511,    0,    0
 16516, 91158,19220512,    0,    0
 16516, 91158,19220513,    0,    0
 16516, 91158,19220514,    0,    0
 16516, 91158,19220515,    0,    0
 16516, 91158,19220516,    0,    0
 16516, 91158,19220517,    0,    0
 16516, 91158,19220518,    0,    0
 16516, 91158,19220519,    0,    0
 16516, 91158,19220520,    0,    0
 16516, 91158,19220521,    0,    0
 16516, 91158,19220522,    0,    0
 16516, 91158,19220523,    0,    0
 16516, 91158,19220524,    0,    0
 16516, 91158,19220525,    0,    0
 16516, 91158,19220526,    0,    0
 16516, 91158,19220527,    0,    0
 16516, 91158,19220528,    0,    0
 16516, 91158,19220529,    0,    0
 16516, 91158,19220530,  145,    0
 16516, 91158,19220531,    0,    0
 16516, 91158,19220601,    0,    0
 16516, 91158,19220602,    0,    0
 16516, 91158,19220603,    0,    0
 16516, 91158,19220604,    0,    0
 16516, 91158,19220605,    0,    0
 16516, 91158,19220606,    0,    0
 16516, 91158,19220607,    0,    0
 16516, 91158,19220608,    0,    0
 16516, 91158,19220609,    0,    0
 16516, 91158,19220610,    0,    0
 16516, 91158,19220611,    0,    0
 16516, 91158,19220612,    0,    0
 16516, 91158,19220613,    0,    0
 16516, 91158,19220614,    0,    0
 16516, 91158,19220615,    0,    0
