EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SENNORI, ITALY (STAID: 16548)
Blended and updated with sources:91188 91190 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 16548, 91190,19220101,    0,    0
 16548, 91190,19220102,    0,    0
 16548, 91190,19220103,   10,    0
 16548, 91190,19220104,    0,    0
 16548, 91190,19220105,  180,    0
 16548, 91190,19220106,   70,    0
 16548, 91190,19220107,  405,    0
 16548, 91190,19220108,    5,    0
 16548, 91190,19220109,    0,    0
 16548, 91190,19220110,    0,    0
 16548, 91190,19220111,    0,    0
 16548, 91190,19220112,    0,    0
 16548, 91190,19220113,    0,    0
 16548, 91190,19220114,    0,    0
 16548, 91190,19220115,    0,    0
 16548, 91190,19220116,    0,    0
 16548, 91190,19220117,   15,    0
 16548, 91190,19220118,   40,    0
 16548, 91190,19220119,   50,    0
 16548, 91190,19220120,    0,    0
 16548, 91190,19220121,   15,    0
 16548, 91190,19220122,    0,    0
 16548, 91190,19220123,    0,    0
 16548, 91190,19220124,    0,    0
 16548, 91190,19220125,    0,    0
 16548, 91190,19220126,   55,    0
 16548, 91190,19220127,   24,    0
 16548, 91190,19220128,  250,    0
 16548, 91190,19220129,    0,    0
 16548, 91190,19220130,    0,    0
 16548, 91190,19220131,   44,    0
 16548, 91190,19220201,   40,    0
 16548, 91190,19220202,    0,    0
 16548, 91190,19220203,   64,    0
 16548, 91190,19220204,    0,    0
 16548, 91190,19220205,    0,    0
 16548, 91190,19220206,    0,    0
 16548, 91190,19220207,    0,    0
 16548, 91190,19220208,    0,    0
 16548, 91190,19220209,    0,    0
 16548, 91190,19220210,    0,    0
 16548, 91190,19220211,    0,    0
 16548, 91190,19220212,    0,    0
 16548, 91190,19220213,    0,    0
 16548, 91190,19220214,    0,    0
 16548, 91190,19220215,    0,    0
 16548, 91190,19220216,    0,    0
 16548, 91190,19220217,    0,    0
 16548, 91190,19220218,    0,    0
 16548, 91190,19220219,    0,    0
 16548, 91190,19220220,   34,    0
 16548, 91190,19220221,    0,    0
 16548, 91190,19220222,    0,    0
 16548, 91190,19220223,  344,    0
 16548, 91190,19220224,   15,    0
 16548, 91190,19220225,    0,    0
 16548, 91190,19220226,    0,    0
 16548, 91190,19220227,    0,    0
 16548, 91190,19220228,    0,    0
 16548, 91190,19220301,    0,    0
 16548, 91190,19220302,    0,    0
 16548, 91190,19220303,    0,    0
 16548, 91190,19220304,    0,    0
 16548, 91190,19220305,    0,    0
 16548, 91190,19220306,    0,    0
 16548, 91190,19220307,    0,    0
 16548, 91190,19220308,    0,    0
 16548, 91190,19220309,    0,    0
 16548, 91190,19220310,    0,    0
 16548, 91190,19220311,    0,    0
 16548, 91190,19220312,    0,    0
 16548, 91190,19220313,    0,    0
 16548, 91190,19220314,    0,    0
 16548, 91190,19220315,   45,    0
 16548, 91190,19220316,   40,    0
 16548, 91190,19220317,   10,    0
 16548, 91190,19220318,    0,    0
 16548, 91190,19220319,    0,    0
 16548, 91190,19220320,    0,    0
 16548, 91190,19220321,    0,    0
 16548, 91190,19220322,    0,    0
 16548, 91190,19220323,   20,    0
 16548, 91190,19220324,  260,    0
 16548, 91190,19220325,  205,    0
 16548, 91190,19220326,  130,    0
 16548, 91190,19220327,   50,    0
 16548, 91190,19220328,   50,    0
 16548, 91190,19220329,   75,    0
 16548, 91190,19220330,    2,    0
 16548, 91190,19220331,    0,    0
 16548, 91190,19220401,    0,    0
 16548, 91190,19220402,    0,    0
 16548, 91190,19220403,    0,    0
 16548, 91190,19220404,    0,    0
 16548, 91190,19220405,    0,    0
 16548, 91190,19220406,  204,    0
 16548, 91190,19220407,  204,    0
 16548, 91190,19220408,   10,    0
 16548, 91190,19220409,    0,    0
 16548, 91190,19220410,    0,    0
 16548, 91190,19220411,    0,    0
 16548, 91188,19220412,    0,    0
 16548, 91188,19220413,    0,    0
 16548, 91188,19220414,    0,    0
 16548, 91188,19220415,    0,    0
 16548, 91188,19220416,    0,    0
 16548, 91188,19220417,   48,    0
 16548, 91188,19220418,   21,    0
 16548, 91188,19220419,  120,    0
 16548, 91188,19220420,    0,    0
 16548, 91188,19220421,    0,    0
 16548, 91188,19220422,   62,    0
 16548, 91188,19220423,    0,    0
 16548, 91188,19220424,    0,    0
 16548, 91188,19220425,   92,    0
 16548, 91188,19220426,    0,    0
 16548, 91188,19220427,    0,    0
 16548, 91188,19220428,    0,    0
 16548, 91188,19220429,    0,    0
 16548, 91188,19220430,    0,    0
 16548, 91188,19220501,   97,    0
 16548, 91188,19220502,    0,    0
 16548, 91188,19220503,   22,    0
 16548, 91188,19220504,    0,    0
 16548, 91188,19220505,    0,    0
 16548, 91188,19220506,    0,    0
 16548, 91188,19220507,    0,    0
 16548, 91188,19220508,    0,    0
 16548, 91188,19220509,    0,    0
 16548, 91188,19220510,    0,    0
 16548, 91188,19220511,    0,    0
 16548, 91188,19220512,    0,    0
 16548, 91188,19220513,    0,    0
 16548, 91188,19220514,    0,    0
 16548, 91188,19220515,    0,    0
 16548, 91188,19220516,    0,    0
 16548, 91188,19220517,    0,    0
 16548, 91188,19220518,    0,    0
 16548, 91190,19220519,    0,    0
 16548, 91190,19220520,    0,    0
 16548, 91190,19220521,    0,    0
 16548, 91190,19220522,    0,    0
 16548, 91190,19220523,    0,    0
 16548, 91190,19220524,    0,    0
 16548, 91190,19220525,    0,    0
 16548, 91190,19220526,    0,    0
 16548, 91190,19220527,    0,    0
 16548, 91190,19220528,    0,    0
 16548, 91190,19220529,    0,    0
 16548, 91190,19220530,    0,    0
 16548, 91190,19220531,    0,    0
 16548, 91190,19220601,   50,    0
 16548, 91190,19220602,    0,    0
 16548, 91190,19220603,    0,    0
 16548, 91190,19220604,    0,    0
 16548, 91190,19220605,    0,    0
 16548, 91190,19220606,    0,    0
 16548, 91190,19220607,    0,    0
 16548, 91190,19220608,    0,    0
 16548, 91190,19220609,    0,    0
 16548, 91190,19220610,    0,    0
 16548, 91190,19220611,    0,    0
 16548, 91190,19220612,    0,    0
 16548, 91190,19220613,    0,    0
 16548, 91190,19220614,    0,    0
 16548, 91190,19220615,    0,    0
 16548, 91190,19220616,    0,    0
 16548, 91190,19220617,    0,    0
 16548, 91190,19220618,    0,    0
 16548, 91190,19220619,    0,    0
 16548, 91190,19220620,    0,    0
 16548, 91190,19220621,    0,    0
 16548, 91190,19220622,    0,    0
 16548, 91190,19220623,    0,    0
 16548, 91190,19220624,    0,    0
 16548, 91190,19220625,    0,    0
 16548, 91190,19220626,    0,    0
 16548, 91190,19220627,    0,    0
 16548, 91190,19220628,    0,    0
 16548, 91190,19220629,    0,    0
 16548, 91190,19220630,    0,    0
 16548, 91190,19220701,    0,    0
 16548, 91190,19220702,    0,    0
 16548, 91190,19220703,    0,    0
 16548, 91190,19220704,    0,    0
 16548, 91190,19220705,    0,    0
 16548, 91190,19220706,    0,    0
 16548, 91190,19220707,    0,    0
 16548, 91190,19220708,    0,    0
 16548, 91190,19220709,    0,    0
 16548, 91190,19220710,    0,    0
 16548, 91190,19220711,    0,    0
 16548, 91190,19220712,    0,    0
 16548, 91190,19220713,    0,    0
 16548, 91190,19220714,    0,    0
 16548, 91190,19220715,    0,    0
 16548, 91190,19220716,    0,    0
 16548, 91190,19220717,    0,    0
 16548, 91190,19220718,    0,    0
 16548, 91190,19220719,    0,    0
 16548, 91190,19220720,    0,    0
 16548, 91190,19220721,    0,    0
 16548, 91190,19220722,    0,    0
 16548, 91190,19220723,    0,    0
 16548, 91190,19220724,    0,    0
 16548, 91190,19220725,    0,    0
 16548, 91190,19220726,    0,    0
 16548, 91190,19220727,    0,    0
 16548, 91190,19220728,    0,    0
 16548, 91190,19220729,    0,    0
 16548, 91190,19220730,    0,    0
 16548, 91190,19220731,    0,    0
 16548, 91190,19220801,    0,    0
 16548, 91190,19220802,    0,    0
 16548, 91190,19220803,    0,    0
 16548, 91190,19220804,    0,    0
 16548, 91190,19220805,    0,    0
 16548, 91190,19220806,    0,    0
 16548, 91190,19220807,    0,    0
 16548, 91190,19220808,    0,    0
 16548, 91190,19220809,    0,    0
 16548, 91190,19220810,    0,    0
 16548, 91190,19220811,    0,    0
 16548, 91190,19220812,    0,    0
 16548, 91190,19220813,    0,    0
 16548, 91190,19220814,    0,    0
 16548, 91190,19220815,    0,    0
 16548, 91190,19220816,    0,    0
 16548, 91190,19220817,    0,    0
 16548, 91190,19220818,    0,    0
 16548, 91190,19220819,    0,    0
 16548, 91190,19220820,    0,    0
 16548, 91190,19220821,    0,    0
 16548, 91190,19220822,    0,    0
 16548, 91190,19220823,    0,    0
 16548, 91190,19220824,    0,    0
 16548, 91190,19220825,    0,    0
 16548, 91190,19220826,    0,    0
 16548, 91190,19220827,    0,    0
 16548, 91190,19220828,    0,    0
 16548, 91190,19220829,    0,    0
 16548, 91190,19220830,    0,    0
 16548, 91190,19220831,    0,    0
 16548, 91190,19220901,   40,    0
 16548, 91190,19220902,    0,    0
 16548, 91190,19220903,    0,    0
 16548, 91190,19220904,    0,    0
 16548, 91190,19220905,    0,    0
 16548, 91190,19220906,    0,    0
 16548, 91190,19220907,   30,    0
 16548, 91190,19220908,    0,    0
 16548, 91190,19220909,    0,    0
 16548, 91190,19220910,    0,    0
 16548, 91190,19220911,   20,    0
 16548, 91190,19220912,    0,    0
 16548, 91190,19220913,    0,    0
 16548, 91190,19220914,    0,    0
 16548, 91190,19220915,    0,    0
 16548, 91190,19220916,    0,    0
 16548, 91190,19220917,    0,    0
 16548, 91190,19220918,    0,    0
 16548, 91190,19220919,    0,    0
 16548, 91190,19220920,    0,    0
 16548, 91190,19220921,    0,    0
 16548, 91190,19220922,    0,    0
 16548, 91190,19220923,    0,    0
 16548, 91190,19220924,    0,    0
 16548, 91190,19220925,    0,    0
 16548, 91190,19220926,    0,    0
 16548, 91190,19220927,    0,    0
 16548, 91190,19220928,    0,    0
 16548, 91190,19220929,    0,    0
 16548, 91190,19220930,   20,    0
 16548, 91190,19221001,    0,    0
 16548, 91190,19221002,    0,    0
 16548, 91190,19221003,    0,    0
 16548, 91190,19221004,    0,    0
 16548, 91190,19221005,    0,    0
 16548, 91190,19221006,    0,    0
 16548, 91190,19221007,    0,    0
 16548, 91190,19221008,    0,    0
 16548, 91190,19221009,    0,    0
 16548, 91190,19221010,    0,    0
 16548, 91190,19221011,    0,    0
 16548, 91190,19221012,    0,    0
 16548, 91190,19221013,    0,    0
 16548, 91190,19221014,    0,    0
 16548, 91190,19221015,    0,    0
 16548, 91190,19221016,    0,    0
 16548, 91190,19221017,    0,    0
 16548, 91190,19221018,    0,    0
 16548, 91190,19221019,    0,    0
 16548, 91190,19221020,    0,    0
 16548, 91190,19221021,    0,    0
 16548, 91190,19221022,    0,    0
 16548, 91190,19221023,    0,    0
 16548, 91190,19221024,   90,    0
 16548, 91190,19221025,  130,    0
 16548, 91190,19221026,   80,    0
 16548, 91190,19221027,  170,    0
 16548, 91190,19221028,   10,    0
 16548, 91190,19221029,   10,    0
 16548, 91190,19221030,  254,    0
 16548, 91190,19221031,    0,    0
 16548, 91190,19221101,    0,    0
 16548, 91190,19221102,    0,    0
 16548, 91190,19221103,    0,    0
 16548, 91190,19221104,    0,    0
 16548, 91190,19221105,    0,    0
 16548, 91190,19221106,  110,    0
 16548, 91190,19221107,    0,    0
 16548, 91190,19221108,   30,    0
 16548, 91190,19221109,   40,    0
 16548, 91190,19221110,    0,    0
 16548, 91190,19221111,    0,    0
 16548, 91190,19221112,    0,    0
 16548, 91190,19221113,    0,    0
 16548, 91190,19221114,    0,    0
 16548, 91190,19221115,    0,    0
 16548, 91190,19221116,    0,    0
 16548, 91190,19221117,    0,    0
 16548, 91190,19221118,    0,    0
 16548, 91190,19221119,    0,    0
 16548, 91190,19221120,    0,    0
 16548, 91190,19221121,    0,    0
 16548, 91190,19221122,    0,    0
 16548, 91190,19221123,    0,    0
 16548, 91190,19221124,    0,    0
 16548, 91190,19221125,    0,    0
 16548, 91190,19221126,    0,    0
 16548, 91190,19221127,    0,    0
 16548, 91190,19221128,   10,    0
 16548, 91190,19221129,    0,    0
 16548, 91190,19221130,    0,    0
 16548, 91190,19221201,    0,    0
 16548, 91190,19221202,    0,    0
 16548, 91190,19221203,    0,    0
 16548, 91190,19221204,    0,    0
 16548, 91190,19221205,    0,    0
 16548, 91190,19221206,    0,    0
 16548, 91190,19221207,   30,    0
 16548, 91190,19221208,    0,    0
 16548, 91190,19221209,    0,    0
 16548, 91190,19221210,    0,    0
 16548, 91190,19221211,    0,    0
 16548, 91190,19221212,    0,    0
 16548, 91190,19221213,    0,    0
 16548, 91190,19221214,    0,    0
 16548, 91190,19221215,    0,    0
 16548, 91190,19221216,    0,    0
