EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LAGO_PRATIGNANO, ITALY (STAID: 17648)
Blended and updated with sources:95611 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 17648, 95611,20051201,-9999,    9
 17648, 95611,20051202,-9999,    9
 17648, 95611,20051203,-9999,    9
 17648, 95611,20051204,-9999,    9
 17648, 95611,20051205,-9999,    9
 17648, 95611,20051206,-9999,    9
 17648, 95611,20051207,-9999,    9
 17648, 95611,20051208,-9999,    9
 17648, 95611,20051209,-9999,    9
 17648, 95611,20051210,-9999,    9
 17648, 95611,20051211,-9999,    9
 17648, 95611,20051212,-9999,    9
 17648, 95611,20051213,-9999,    9
 17648, 95611,20051214,-9999,    9
 17648, 95611,20051215,-9999,    9
 17648, 95611,20051216,-9999,    9
 17648, 95611,20051217,-9999,    9
 17648, 95611,20051218,-9999,    9
 17648, 95611,20051219,-9999,    9
 17648, 95611,20051220,-9999,    9
 17648, 95611,20051221,-9999,    9
 17648, 95611,20051222,-9999,    9
 17648, 95611,20051223,-9999,    9
 17648, 95611,20051224,-9999,    9
 17648, 95611,20051225,-9999,    9
 17648, 95611,20051226,-9999,    9
 17648, 95611,20051227,-9999,    9
 17648, 95611,20051228,-9999,    9
 17648, 95611,20051229,-9999,    9
 17648, 95611,20051230,-9999,    9
 17648, 95611,20051231,  170,    0
 17648, 95611,20060101,   64,    0
 17648, 95611,20060102,    4,    0
 17648, 95611,20060103,   34,    0
 17648, 95611,20060104,    0,    0
 17648, 95611,20060105,    0,    0
 17648, 95611,20060106,   18,    0
 17648, 95611,20060107,    2,    0
 17648, 95611,20060108,    0,    0
 17648, 95611,20060109,    0,    0
 17648, 95611,20060110,    8,    0
 17648, 95611,20060111,    0,    0
 17648, 95611,20060112,    2,    0
 17648, 95611,20060113,    0,    0
 17648, 95611,20060114,    0,    0
 17648, 95611,20060115,    0,    0
 17648, 95611,20060116,    0,    0
 17648, 95611,20060117,   22,    0
 17648, 95611,20060118,  128,    0
 17648, 95611,20060119,    0,    0
 17648, 95611,20060120,    0,    0
 17648, 95611,20060121,    0,    0
 17648, 95611,20060122,    0,    0
 17648, 95611,20060123,    0,    0
 17648, 95611,20060124,    0,    0
 17648, 95611,20060125,    0,    0
 17648, 95611,20060126,    0,    0
 17648, 95611,20060127,    0,    0
 17648, 95611,20060128,   38,    0
 17648, 95611,20060129,  296,    0
 17648, 95611,20060130,   96,    0
 17648, 95611,20060131,    2,    0
 17648, 95611,20060201,    0,    0
 17648, 95611,20060202,    0,    0
 17648, 95611,20060203,    0,    0
 17648, 95611,20060204,    0,    0
 17648, 95611,20060205,    0,    0
 17648, 95611,20060206,    0,    0
 17648, 95611,20060207,    0,    0
 17648, 95611,20060208,    0,    0
 17648, 95611,20060209,    2,    0
 17648, 95611,20060210,    0,    0
 17648, 95611,20060211,    0,    0
 17648, 95611,20060212,    0,    0
 17648, 95611,20060213,    0,    0
 17648, 95611,20060214,    0,    0
 17648, 95611,20060215,   38,    0
 17648, 95611,20060216,   70,    0
 17648, 95611,20060217,   14,    0
 17648, 95611,20060218,   92,    0
 17648, 95611,20060219,   96,    0
 17648, 95611,20060220,   72,    0
 17648, 95611,20060221,    8,    0
 17648, 95611,20060222,   64,    0
 17648, 95611,20060223,    0,    0
 17648, 95611,20060224,    0,    0
 17648, 95611,20060225,   26,    0
 17648, 95611,20060226,  148,    0
 17648, 95611,20060227,   10,    0
 17648, 95611,20060228,   46,    0
 17648, 95611,20060301,   58,    0
 17648, 95611,20060302,   22,    0
 17648, 95611,20060303,  276,    0
 17648, 95611,20060304,  178,    0
 17648, 95611,20060305,  384,    0
 17648, 95611,20060306,   36,    0
 17648, 95611,20060307,  106,    0
 17648, 95611,20060308,   28,    0
 17648, 95611,20060309,    0,    0
 17648, 95611,20060310,  182,    0
 17648, 95611,20060311,    2,    0
 17648, 95611,20060312,   12,    0
 17648, 95611,20060313,  108,    0
 17648, 95611,20060314,   20,    0
 17648, 95611,20060315,    2,    0
 17648, 95611,20060316,   18,    0
 17648, 95611,20060317,   22,    0
 17648, 95611,20060318,    0,    0
 17648, 95611,20060319,    0,    0
 17648, 95611,20060320,    6,    0
 17648, 95611,20060321,  216,    0
 17648, 95611,20060322,   28,    0
 17648, 95611,20060323,    8,    0
 17648, 95611,20060324,   16,    0
 17648, 95611,20060325,    2,    0
 17648, 95611,20060326,    0,    0
 17648, 95611,20060327,    0,    0
 17648, 95611,20060328,    2,    0
 17648, 95611,20060329,    0,    0
 17648, 95611,20060330,    0,    0
 17648, 95611,20060331,    0,    0
 17648, 95611,20060401,   28,    0
 17648, 95611,20060402,    0,    0
 17648, 95611,20060403,    0,    0
 17648, 95611,20060404,    0,    0
 17648, 95611,20060405,   34,    0
 17648, 95611,20060406,   98,    0
 17648, 95611,20060407,    6,    0
 17648, 95611,20060408,    4,    0
 17648, 95611,20060409,    0,    0
 17648, 95611,20060410,   24,    0
 17648, 95611,20060411,   14,    0
 17648, 95611,20060412,    6,    0
 17648, 95611,20060413,    0,    0
 17648, 95611,20060414,    0,    0
 17648, 95611,20060415,    6,    0
 17648, 95611,20060416,    0,    0
 17648, 95611,20060417,    2,    0
 17648, 95611,20060418,  144,    0
 17648, 95611,20060419,    4,    0
 17648, 95611,20060420,    6,    0
 17648, 95611,20060421,    8,    0
 17648, 95611,20060422,    2,    0
 17648, 95611,20060423,    0,    0
 17648, 95611,20060424,    0,    0
 17648, 95611,20060425,   24,    0
 17648, 95611,20060426,  142,    0
 17648, 95611,20060427,  104,    0
 17648, 95611,20060428,  202,    0
 17648, 95611,20060429,   52,    0
 17648, 95611,20060430,   72,    0
 17648, 95611,20060501,    0,    0
 17648, 95611,20060502,   20,    0
 17648, 95611,20060503,    2,    0
 17648, 95611,20060504,    2,    0
