EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MONTEVEGLIO_ABBAZIA, ITALY (STAID: 17693)
Blended and updated with sources:96147 96171 97363 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 17693, 96171,20051201,-9999,    9
 17693, 96171,20051202,-9999,    9
 17693, 96171,20051203,-9999,    9
 17693, 96171,20051204,-9999,    9
 17693, 96171,20051205,-9999,    9
 17693, 96171,20051206,-9999,    9
 17693, 96171,20051207,-9999,    9
 17693, 96171,20051208,-9999,    9
 17693, 96171,20051209,-9999,    9
 17693, 96171,20051210,-9999,    9
 17693, 96171,20051211,-9999,    9
 17693, 96171,20051212,-9999,    9
 17693, 96171,20051213,-9999,    9
 17693, 96171,20051214,-9999,    9
 17693, 96171,20051215,-9999,    9
 17693, 96171,20051216,-9999,    9
 17693, 96171,20051217,-9999,    9
 17693, 96171,20051218,-9999,    9
 17693, 96171,20051219,-9999,    9
 17693, 96171,20051220,-9999,    9
 17693, 96171,20051221,-9999,    9
 17693, 96171,20051222,-9999,    9
 17693, 96171,20051223,-9999,    9
 17693, 96171,20051224,-9999,    9
 17693, 96171,20051225,-9999,    9
 17693, 96171,20051226,-9999,    9
 17693, 96171,20051227,-9999,    9
 17693, 96171,20051228,-9999,    9
 17693, 96171,20051229,-9999,    9
 17693, 96171,20051230,-9999,    9
 17693, 96171,20051231,    0,    0
 17693, 96171,20060101,   90,    0
 17693, 96147,20060102,   58,    0
 17693, 96147,20060103,    0,    0
 17693, 96147,20060104,    0,    0
 17693, 96147,20060105,    4,    0
 17693, 96147,20060106,    0,    0
 17693, 96147,20060107,    0,    0
 17693, 96147,20060108,    0,    0
 17693, 96147,20060109,    0,    0
 17693, 96147,20060110,    2,    0
 17693, 96147,20060111,    0,    0
 17693, 96147,20060112,    0,    0
 17693, 96147,20060113,    0,    0
 17693, 96147,20060114,    0,    0
 17693, 96147,20060115,    0,    0
 17693, 96147,20060116,    0,    0
 17693, 96147,20060117,    2,    0
 17693, 96147,20060118,    0,    0
 17693, 96147,20060119,    2,    0
 17693, 96147,20060120,    0,    0
 17693, 96147,20060121,    0,    0
 17693, 96147,20060122,    0,    0
 17693, 96147,20060123,    0,    0
 17693, 96147,20060124,    0,    0
 17693, 96147,20060125,    0,    0
 17693, 96171,20060126,  104,    0
 17693, 96147,20060127,   14,    0
 17693, 96147,20060128,   58,    0
 17693, 96171,20060129,   24,    0
 17693, 96147,20060130,   88,    0
 17693, 96147,20060131,    2,    0
 17693, 96147,20060201,    0,    0
 17693, 96147,20060202,    0,    0
 17693, 96147,20060203,    0,    0
 17693, 96147,20060204,    0,    0
 17693, 96147,20060205,    0,    0
 17693, 96147,20060206,    0,    0
 17693, 96147,20060207,    0,    0
 17693, 96147,20060208,    0,    0
 17693, 96147,20060209,    0,    0
 17693, 96147,20060210,    0,    0
 17693, 96147,20060211,    0,    0
 17693, 96147,20060212,    0,    0
 17693, 96147,20060213,    0,    0
 17693, 96147,20060214,    0,    0
 17693, 96147,20060215,    0,    0
 17693, 96147,20060216,    0,    0
 17693, 96147,20060217,    0,    0
 17693, 96147,20060218,    0,    0
 17693, 96171,20060219,   78,    0
 17693, 96171,20060220,    8,    0
 17693, 96171,20060221,  104,    0
 17693, 96171,20060222,    4,    0
 17693, 96171,20060223,   50,    0
 17693, 96171,20060224,  366,    0
 17693, 96147,20060225,   42,    0
 17693, 96147,20060226,    0,    0
 17693, 96147,20060227,   22,    0
 17693, 96147,20060228,    2,    0
 17693, 96147,20060301,    0,    0
 17693, 96147,20060302,    0,    0
 17693, 96147,20060303,    0,    0
 17693, 96147,20060304,    0,    0
 17693, 96171,20060305,  182,    0
 17693, 96147,20060306,   18,    0
 17693, 96147,20060307,    0,    0
 17693, 96147,20060308,    0,    0
 17693, 96147,20060309,    0,    0
 17693, 96171,20060310,  116,    0
 17693, 96171,20060311,    4,    0
 17693, 96147,20060312,    0,    0
 17693, 96147,20060313,  118,    0
 17693, 96147,20060314,    0,    0
 17693, 96147,20060315,    0,    0
 17693, 96147,20060316,   40,    0
 17693, 96147,20060317,    0,    0
 17693, 96147,20060318,    0,    0
 17693, 96147,20060319,    0,    0
 17693, 96147,20060320,    0,    0
 17693, 96171,20060321,   36,    0
 17693, 96171,20060322,   26,    0
 17693, 96171,20060323,   22,    0
 17693, 96147,20060324,    8,    0
 17693, 96147,20060325,    0,    0
 17693, 96147,20060326,    0,    0
 17693, 96147,20060327,    0,    0
 17693, 96147,20060328,    0,    0
 17693, 96147,20060329,    0,    0
 17693, 96147,20060330,    0,    0
 17693, 96147,20060331,    0,    0
 17693, 96147,20060401,   40,    0
 17693, 96147,20060402,    2,    0
 17693, 96147,20060403,    0,    0
 17693, 96147,20060404,    0,    0
 17693, 96147,20060405,    0,    0
 17693, 96171,20060406,   88,    0
 17693, 96147,20060407,    2,    0
 17693, 96147,20060408,    0,    0
 17693, 96147,20060409,    0,    0
 17693, 96147,20060410,    0,    0
