EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PONTE_VICO, ITALY (STAID: 17740)
Blended and updated with sources:94979 96683 97203 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 17740, 96683,20051201,-9999,    9
 17740, 96683,20051202,-9999,    9
 17740, 96683,20051203,-9999,    9
 17740, 96683,20051204,-9999,    9
 17740, 96683,20051205,-9999,    9
 17740, 96683,20051206,-9999,    9
 17740, 96683,20051207,-9999,    9
 17740, 96683,20051208,-9999,    9
 17740, 96683,20051209,-9999,    9
 17740, 96683,20051210,-9999,    9
 17740, 96683,20051211,-9999,    9
 17740, 96683,20051212,-9999,    9
 17740, 96683,20051213,-9999,    9
 17740, 96683,20051214,-9999,    9
 17740, 96683,20051215,-9999,    9
 17740, 96683,20051216,-9999,    9
 17740, 96683,20051217,-9999,    9
 17740, 96683,20051218,-9999,    9
 17740, 96683,20051219,-9999,    9
 17740, 96683,20051220,-9999,    9
 17740, 96683,20051221,-9999,    9
 17740, 96683,20051222,-9999,    9
 17740, 96683,20051223,-9999,    9
 17740, 96683,20051224,-9999,    9
 17740, 96683,20051225,-9999,    9
 17740, 96683,20051226,-9999,    9
 17740, 96683,20051227,-9999,    9
 17740, 96683,20051228,-9999,    9
 17740, 96683,20051229,-9999,    9
 17740, 96683,20051230,-9999,    9
 17740, 96683,20051231,    0,    0
 17740, 96683,20060101,   68,    0
 17740, 96683,20060102,    0,    0
 17740, 96683,20060103,    0,    0
 17740, 96683,20060104,    0,    0
 17740, 96683,20060105,    0,    0
 17740, 96683,20060106,    0,    0
 17740, 97203,20060107,    0,    0
 17740, 96683,20060108,    0,    0
 17740, 96683,20060109,    0,    0
 17740, 96683,20060110,    0,    0
 17740, 96683,20060111,    0,    0
 17740, 96683,20060112,    0,    0
 17740, 96683,20060113,    0,    0
 17740, 96683,20060114,    0,    0
 17740, 96683,20060115,    0,    0
 17740, 96683,20060116,    0,    0
 17740, 96683,20060117,    4,    0
 17740, 96683,20060118,    0,    0
 17740, 97203,20060119,    2,    0
 17740, 96683,20060120,    0,    0
 17740, 96683,20060121,    0,    0
 17740, 96683,20060122,    0,    0
 17740, 96683,20060123,    0,    0
 17740, 96683,20060124,    0,    0
 17740, 96683,20060125,    0,    0
 17740, 96683,20060126,    0,    0
 17740, 96683,20060127,    4,    0
 17740, 96683,20060128,    2,    0
 17740, 96683,20060129,   18,    0
 17740, 96683,20060130,   60,    0
 17740, 96683,20060131,    0,    0
 17740, 96683,20060201,    0,    0
 17740, 96683,20060202,    0,    0
 17740, 96683,20060203,    0,    0
 17740, 96683,20060204,    0,    0
 17740, 96683,20060205,    0,    0
 17740, 96683,20060206,    0,    0
 17740, 96683,20060207,    0,    0
 17740, 96683,20060208,    0,    0
 17740, 96683,20060209,    0,    0
 17740, 96683,20060210,    0,    0
 17740, 96683,20060211,    0,    0
 17740, 96683,20060212,    0,    0
 17740, 96683,20060213,    0,    0
 17740, 96683,20060214,    0,    0
 17740, 96683,20060215,    0,    0
 17740, 96683,20060216,    0,    0
 17740, 96683,20060217,    0,    0
 17740, 96683,20060218,    0,    0
 17740, 96683,20060219,    0,    0
 17740, 96683,20060220,   30,    0
 17740, 96683,20060221,   36,    0
 17740, 96683,20060222,   70,    0
 17740, 96683,20060223,   34,    0
 17740, 96683,20060224,  172,    0
 17740, 96683,20060225,   42,    0
 17740, 96683,20060226,    0,    0
 17740, 96683,20060227,    0,    0
 17740, 96683,20060228,    0,    0
 17740, 96683,20060301,    0,    0
 17740, 96683,20060302,    8,    0
 17740, 96683,20060303,    0,    0
 17740, 96683,20060304,    0,    0
 17740, 96683,20060305,   62,    0
 17740, 96683,20060306,   12,    0
 17740, 96683,20060307,    0,    0
 17740, 96683,20060308,    0,    0
 17740, 96683,20060309,    0,    0
 17740, 96683,20060310,  110,    0
 17740, 96683,20060311,    0,    0
 17740, 96683,20060312,    8,    0
 17740, 96683,20060313,    0,    0
 17740, 96683,20060314,    0,    0
 17740, 96683,20060315,    0,    0
 17740, 96683,20060316,   28,    0
 17740, 96683,20060317,    0,    0
 17740, 96683,20060318,    0,    0
 17740, 96683,20060319,    0,    0
 17740, 96683,20060320,    0,    0
 17740, 96683,20060321,    2,    0
 17740, 96683,20060322,  244,    0
 17740, 96683,20060323,   78,    0
 17740, 96683,20060324,    0,    0
 17740, 96683,20060325,    0,    0
 17740, 96683,20060326,    0,    0
 17740, 96683,20060327,    0,    0
 17740, 96683,20060328,    0,    0
 17740, 96683,20060329,    0,    0
 17740, 96683,20060330,    0,    0
 17740, 96683,20060331,    0,    0
 17740, 96683,20060401,   82,    0
 17740, 96683,20060402,    0,    0
 17740, 96683,20060403,  108,    0
 17740, 96683,20060404,    0,    0
 17740, 96683,20060405,    4,    0
 17740, 96683,20060406,   68,    0
 17740, 96683,20060407,    0,    0
 17740, 96683,20060408,    0,    0
 17740, 96683,20060409,    0,    0
 17740, 96683,20060410,    0,    0
 17740, 96683,20060411,   20,    0
 17740, 96683,20060412,    0,    0
 17740, 96683,20060413,    0,    0
 17740, 96683,20060414,    0,    0
 17740, 96683,20060415,   24,    0
 17740, 96683,20060416,    0,    0
 17740, 96683,20060417,    0,    0
 17740, 96683,20060418,   90,    0
 17740, 96683,20060419,    0,    0
 17740, 96683,20060420,    0,    0
 17740, 96683,20060421,    0,    0
 17740, 96683,20060422,    0,    0
 17740, 96683,20060423,    0,    0
 17740, 96683,20060424,    0,    0
 17740, 96683,20060425,    0,    0
 17740, 96683,20060426,    0,    0
 17740, 96683,20060427,  260,    0
 17740, 96683,20060428,  148,    0
 17740, 96683,20060429,    6,    0
 17740, 96683,20060430,   58,    0
 17740, 96683,20060501,    0,    0
 17740, 96683,20060502,    0,    0
 17740, 96683,20060503,    0,    0
 17740, 96683,20060504,    0,    0
 17740, 96683,20060505,    0,    0
 17740, 96683,20060506,    0,    0
 17740, 96683,20060507,    0,    0
 17740, 96683,20060508,   12,    0
 17740, 96683,20060509,  386,    0
 17740, 96683,20060510,    0,    0
 17740, 96683,20060511,    0,    0
 17740, 96683,20060512,    0,    0
 17740, 96683,20060513,    0,    0
 17740, 96683,20060514,   76,    0
 17740, 96683,20060515,    0,    0
 17740, 96683,20060516,    0,    0
 17740, 96683,20060517,    0,    0
 17740, 96683,20060518,    0,    0
 17740, 96683,20060519,    0,    0
 17740, 96683,20060520,    0,    0
 17740, 96683,20060521,    0,    0
 17740, 96683,20060522,    0,    0
 17740, 96683,20060523,   14,    0
 17740, 96683,20060524,  188,    0
 17740, 96683,20060525,    0,    0
 17740, 96683,20060526,    0,    0
 17740, 96683,20060527,    0,    0
 17740, 96683,20060528,    0,    0
 17740, 96683,20060529,    0,    0
 17740, 96683,20060530,  214,    0
 17740, 96683,20060531,    0,    0
 17740, 96683,20060601,  262,    0
 17740, 96683,20060602,    0,    0
 17740, 96683,20060603,    0,    0
 17740, 97203,20060604,    0,    0
 17740, 96683,20060605,   74,    0
 17740, 96683,20060606,   96,    0
 17740, 96683,20060607,   14,    0
 17740, 96683,20060608,    0,    0
 17740, 96683,20060609,    0,    0
 17740, 96683,20060610,    0,    0
 17740, 96683,20060611,    0,    0
 17740, 96683,20060612,    0,    0
 17740, 96683,20060613,    0,    0
 17740, 96683,20060614,    0,    0
 17740, 96683,20060615,    0,    0
 17740, 96683,20060616,    0,    0
 17740, 96683,20060617,    0,    0
 17740, 96683,20060618,    0,    0
 17740, 96683,20060619,    0,    0
 17740, 96683,20060620,    0,    0
 17740, 96683,20060621,    0,    0
 17740, 96683,20060622,    0,    0
 17740, 96683,20060623,    0,    0
 17740, 96683,20060624,    0,    0
 17740, 96683,20060625,    0,    0
 17740, 96683,20060626,    0,    0
 17740, 96683,20060627,    0,    0
 17740, 96683,20060628,    0,    0
 17740, 96683,20060629,    0,    0
 17740, 96683,20060630,    0,    0
 17740, 96683,20060701,    0,    0
 17740, 96683,20060702,    0,    0
 17740, 96683,20060703,    0,    0
 17740, 96683,20060704,    0,    0
 17740, 96683,20060705,    0,    0
 17740, 96683,20060706,    2,    0
