EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VALSENIO, ITALY (STAID: 17837)
Blended and updated with sources:97731 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 17837, 97731,20110501,    2,    0
 17837, 97731,20110502,    2,    0
 17837, 97731,20110503,    0,    0
 17837, 97731,20110504,   88,    0
 17837, 97731,20110505,    2,    0
 17837, 97731,20110506,    0,    0
 17837, 97731,20110507,    0,    0
 17837, 97731,20110508,    4,    0
 17837, 97731,20110509,    0,    0
 17837, 97731,20110510,    0,    0
 17837, 97731,20110511,    0,    0
 17837, 97731,20110512,    0,    0
 17837, 97731,20110513,    0,    0
 17837, 97731,20110514,    0,    0
 17837, 97731,20110515,  366,    0
 17837, 97731,20110516,    2,    0
 17837, 97731,20110517,    0,    0
 17837, 97731,20110518,    0,    0
 17837, 97731,20110519,    0,    0
 17837, 97731,20110520,    0,    0
 17837, 97731,20110521,    0,    0
 17837, 97731,20110522,    0,    0
 17837, 97731,20110523,    0,    0
 17837, 97731,20110524,    0,    0
 17837, 97731,20110525,    0,    0
 17837, 97731,20110526,    0,    0
 17837, 97731,20110527,    0,    0
 17837, 97731,20110528,    0,    0
 17837, 97731,20110529,    0,    0
 17837, 97731,20110530,    0,    0
 17837, 97731,20110531,    0,    0
 17837, 97731,20110601,   14,    0
 17837, 97731,20110602,    2,    0
 17837, 97731,20110603,    0,    0
 17837, 97731,20110604,    2,    0
 17837, 97731,20110605,  116,    0
 17837, 97731,20110606,   44,    0
 17837, 97731,20110607,  466,    0
 17837, 97731,20110608,    8,    0
 17837, 97731,20110609,    4,    0
 17837, 97731,20110610,    0,    0
 17837, 97731,20110611,   16,    0
 17837, 97731,20110612,    0,    0
 17837, 97731,20110613,  126,    0
 17837, 97731,20110614,    0,    0
 17837, 97731,20110615,    0,    0
 17837, 97731,20110616,    0,    0
 17837, 97731,20110617,    0,    0
 17837, 97731,20110618,    0,    0
 17837, 97731,20110619,    0,    0
 17837, 97731,20110620,    0,    0
 17837, 97731,20110621,    0,    0
 17837, 97731,20110622,    0,    0
 17837, 97731,20110623,    0,    0
 17837, 97731,20110624,   10,    0
 17837, 97731,20110625,    0,    0
 17837, 97731,20110626,    0,    0
 17837, 97731,20110627,    0,    0
 17837, 97731,20110628,    0,    0
 17837, 97731,20110629,    4,    0
 17837, 97731,20110630,    6,    0
 17837, 97731,20110701,   16,    0
 17837, 97731,20110702,    6,    0
 17837, 97731,20110703,    0,    0
 17837, 97731,20110704,    0,    0
 17837, 97731,20110705,    0,    0
 17837, 97731,20110706,    0,    0
 17837, 97731,20110707,    0,    0
 17837, 97731,20110708,    0,    0
 17837, 97731,20110709,    0,    0
 17837, 97731,20110710,    0,    0
 17837, 97731,20110711,    0,    0
 17837, 97731,20110712,    0,    0
 17837, 97731,20110713,    0,    0
 17837, 97731,20110714,    0,    0
 17837, 97731,20110715,    0,    0
 17837, 97731,20110716,    0,    0
 17837, 97731,20110717,    0,    0
 17837, 97731,20110718,    4,    0
 17837, 97731,20110719,  190,    0
 17837, 97731,20110720,   24,    0
 17837, 97731,20110721,    0,    0
 17837, 97731,20110722,    0,    0
 17837, 97731,20110723,   76,    0
 17837, 97731,20110724,  116,    0
 17837, 97731,20110725,    0,    0
 17837, 97731,20110726,   22,    0
 17837, 97731,20110727,  126,    0
 17837, 97731,20110728,   34,    0
 17837, 97731,20110729,   12,    0
 17837, 97731,20110730,    0,    0
 17837, 97731,20110731,    0,    0
 17837, 97731,20110801,    0,    0
 17837, 97731,20110802,    0,    0
 17837, 97731,20110803,    0,    0
 17837, 97731,20110804,    0,    0
 17837, 97731,20110805,    0,    0
 17837, 97731,20110806,    0,    0
 17837, 97731,20110807,    0,    0
 17837, 97731,20110808,    0,    0
 17837, 97731,20110809,    0,    0
 17837, 97731,20110810,    0,    0
 17837, 97731,20110811,    0,    0
 17837, 97731,20110812,    0,    0
 17837, 97731,20110813,    0,    0
 17837, 97731,20110814,    0,    0
 17837, 97731,20110815,    0,    0
