EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station INNERDALEN, NORWAY (STAID: 18178)
Blended and updated with sources:101685 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 18178,101685,18991231,    0,    0
 18178,101685,19000101,    0,    0
 18178,101685,19000102,   42,    0
 18178,101685,19000103,    0,    0
 18178,101685,19000104,    0,    0
 18178,101685,19000105,    0,    0
 18178,101685,19000106,    0,    0
 18178,101685,19000107,    0,    0
 18178,101685,19000108,    0,    0
 18178,101685,19000109,    8,    0
 18178,101685,19000110,   96,    0
 18178,101685,19000111,    9,    0
 18178,101685,19000112,    0,    0
 18178,101685,19000113,    0,    0
 18178,101685,19000114,    0,    0
 18178,101685,19000115,    0,    0
 18178,101685,19000116,    0,    0
 18178,101685,19000117,    0,    0
 18178,101685,19000118,    0,    0
 18178,101685,19000119,    0,    0
 18178,101685,19000120,    9,    0
 18178,101685,19000121,    0,    0
 18178,101685,19000122,  164,    0
 18178,101685,19000123,  192,    0
 18178,101685,19000124,   18,    0
 18178,101685,19000125,   56,    0
 18178,101685,19000126,    7,    0
 18178,101685,19000127,   75,    0
 18178,101685,19000128,    0,    0
 18178,101685,19000129,    0,    0
 18178,101685,19000130,    0,    0
 18178,101685,19000131,    0,    0
 18178,101685,19000201,    0,    0
 18178,101685,19000202,    0,    0
 18178,101685,19000203,    0,    0
 18178,101685,19000204,    0,    0
 18178,101685,19000205,    0,    0
 18178,101685,19000206,   29,    0
 18178,101685,19000207,    0,    0
 18178,101685,19000208,    0,    0
 18178,101685,19000209,    0,    0
 18178,101685,19000210,    0,    0
 18178,101685,19000211,    0,    0
 18178,101685,19000212,    0,    0
 18178,101685,19000213,    0,    0
 18178,101685,19000214,    0,    0
 18178,101685,19000215,    0,    0
 18178,101685,19000216,    0,    0
 18178,101685,19000217,    0,    0
 18178,101685,19000218,    0,    0
 18178,101685,19000219,    0,    0
 18178,101685,19000220,    0,    0
 18178,101685,19000221,   26,    0
 18178,101685,19000222,   38,    0
 18178,101685,19000223,   19,    0
 18178,101685,19000224,    0,    0
 18178,101685,19000225,    0,    0
 18178,101685,19000226,   12,    0
 18178,101685,19000227,   32,    0
 18178,101685,19000228,   45,    0
 18178,101685,19000301,   24,    0
 18178,101685,19000302,    0,    0
 18178,101685,19000303,    0,    0
 18178,101685,19000304,   13,    0
 18178,101685,19000305,   27,    0
 18178,101685,19000306,  156,    0
 18178,101685,19000307,   63,    0
 18178,101685,19000308,   14,    0
 18178,101685,19000309,   27,    0
 18178,101685,19000310,    6,    0
 18178,101685,19000311,   12,    0
 18178,101685,19000312,  178,    0
 18178,101685,19000313,  141,    0
 18178,101685,19000314,  151,    0
 18178,101685,19000315,    0,    0
 18178,101685,19000316,  153,    0
 18178,101685,19000317,    0,    0
 18178,101685,19000318,    0,    0
 18178,101685,19000319,    0,    0
 18178,101685,19000320,    0,    0
 18178,101685,19000321,    0,    0
 18178,101685,19000322,    0,    0
 18178,101685,19000323,    0,    0
 18178,101685,19000324,   40,    0
 18178,101685,19000325,   34,    0
 18178,101685,19000326,    0,    0
 18178,101685,19000327,    0,    0
 18178,101685,19000328,    0,    0
 18178,101685,19000329,   20,    0
 18178,101685,19000330,   48,    0
 18178,101685,19000331,   13,    0
 18178,101685,19000401,    0,    0
 18178,101685,19000402,    0,    0
 18178,101685,19000403,    0,    0
 18178,101685,19000404,    0,    0
 18178,101685,19000405,    0,    0
 18178,101685,19000406,    0,    0
 18178,101685,19000407,    0,    0
 18178,101685,19000408,    0,    0
 18178,101685,19000409,    0,    0
 18178,101685,19000410,    0,    0
 18178,101685,19000411,   20,    0
 18178,101685,19000412,    0,    0
 18178,101685,19000413,    0,    0
 18178,101685,19000414,   10,    0
 18178,101685,19000415,    0,    0
 18178,101685,19000416,   15,    0
 18178,101685,19000417,  226,    0
 18178,101685,19000418,   89,    0
 18178,101685,19000419,  176,    0
 18178,101685,19000420,  100,    0
 18178,101685,19000421,  138,    0
 18178,101685,19000422,   79,    0
 18178,101685,19000423,   64,    0
 18178,101685,19000424,  512,    0
 18178,101685,19000425,  106,    0
 18178,101685,19000426,   60,    0
 18178,101685,19000427,    0,    0
 18178,101685,19000428,  120,    0
 18178,101685,19000429,  122,    0
 18178,101685,19000430,    0,    0
