EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LAERDAL IV, NORWAY (STAID: 18217)
Blended and updated with sources:101351 101889 901355 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 18217,101351,19960501,-9999,    9
 18217,101351,19960502,-9999,    9
 18217,101351,19960503,-9999,    9
 18217,101351,19960504,-9999,    9
 18217,101351,19960505,-9999,    9
 18217,101351,19960506,-9999,    9
 18217,101351,19960507,-9999,    9
 18217,101351,19960508,-9999,    9
 18217,101351,19960509,-9999,    9
 18217,101351,19960510,-9999,    9
 18217,101351,19960511,-9999,    9
 18217,101351,19960512,-9999,    9
 18217,101351,19960513,-9999,    9
 18217,101351,19960514,-9999,    9
 18217,101351,19960515,-9999,    9
 18217,101351,19960516,-9999,    9
 18217,101351,19960517,-9999,    9
 18217,101351,19960518,-9999,    9
 18217,101351,19960519,-9999,    9
 18217,101351,19960520,-9999,    9
 18217,101351,19960521,-9999,    9
 18217,101351,19960522,-9999,    9
 18217,101351,19960523,-9999,    9
 18217,101351,19960524,-9999,    9
 18217,101351,19960525,-9999,    9
 18217,101351,19960526,-9999,    9
 18217,101351,19960527,-9999,    9
 18217,101351,19960528,-9999,    9
 18217,101351,19960529,-9999,    9
 18217,101351,19960530,-9999,    9
 18217,101351,19960531,    5,    0
 18217,101351,19960601,    0,    0
 18217,101351,19960602,    9,    0
 18217,101351,19960603,    0,    0
 18217,101351,19960604,   15,    0
 18217,101351,19960605,    2,    0
 18217,101351,19960606,    1,    0
 18217,101351,19960607,   15,    0
