EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SKJEGGEDAL, NORWAY (STAID: 18286)
Blended and updated with sources:102233 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 18286,102233,20170201,-9999,    9
 18286,102233,20170202,-9999,    9
 18286,102233,20170203,-9999,    9
 18286,102233,20170204,-9999,    9
 18286,102233,20170205,-9999,    9
 18286,102233,20170206,-9999,    9
 18286,102233,20170207,-9999,    9
 18286,102233,20170208,-9999,    9
 18286,102233,20170209,-9999,    9
 18286,102233,20170210,-9999,    9
 18286,102233,20170211,-9999,    9
 18286,102233,20170212,-9999,    9
 18286,102233,20170213,-9999,    9
 18286,102233,20170214,-9999,    9
 18286,102233,20170215,-9999,    9
 18286,102233,20170216,-9999,    9
 18286,102233,20170217,-9999,    9
 18286,102233,20170218,-9999,    9
 18286,102233,20170219,-9999,    9
 18286,102233,20170220,-9999,    9
 18286,102233,20170221,-9999,    9
 18286,102233,20170222,-9999,    9
 18286,102233,20170223,-9999,    9
 18286,102233,20170224,-9999,    9
 18286,102233,20170225,-9999,    9
 18286,102233,20170226,-9999,    9
 18286,102233,20170227,-9999,    9
 18286,102233,20170228,    0,    0
 18286,102233,20170301,   25,    0
 18286,102233,20170302,-9999,    9
 18286,102233,20170303,-9999,    9
 18286,102233,20170304,-9999,    9
 18286,102233,20170305,-9999,    9
 18286,102233,20170306,-9999,    9
 18286,102233,20170307,-9999,    9
 18286,102233,20170308,-9999,    9
 18286,102233,20170309,-9999,    9
 18286,102233,20170310,-9999,    9
 18286,102233,20170311,-9999,    9
 18286,102233,20170312,-9999,    9
 18286,102233,20170313,-9999,    9
 18286,102233,20170314,-9999,    9
 18286,102233,20170315,-9999,    9
 18286,102233,20170316,-9999,    9
 18286,102233,20170317,-9999,    9
 18286,102233,20170318,-9999,    9
 18286,102233,20170319,-9999,    9
 18286,102233,20170320,-9999,    9
 18286,102233,20170321,-9999,    9
 18286,102233,20170322,-9999,    9
 18286,102233,20170323,-9999,    9
 18286,102233,20170324,-9999,    9
 18286,102233,20170325,-9999,    9
 18286,102233,20170326,-9999,    9
 18286,102233,20170327,-9999,    9
 18286,102233,20170328,-9999,    9
 18286,102233,20170329,-9999,    9
 18286,102233,20170330,-9999,    9
 18286,102233,20170331,  113,    0
