EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOELAND - LOEKEN, NORWAY (STAID: 18782)
Blended and updated with sources:32870 32882 101265 101449 101915 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 18782, 32870,19561101,-9999,    9
 18782, 32870,19561102,-9999,    9
 18782, 32870,19561103,-9999,    9
 18782, 32870,19561104,-9999,    9
 18782, 32870,19561105,-9999,    9
 18782, 32870,19561106,-9999,    9
 18782, 32870,19561107,-9999,    9
 18782, 32870,19561108,-9999,    9
 18782, 32870,19561109,-9999,    9
 18782, 32870,19561110,-9999,    9
 18782, 32870,19561111,-9999,    9
 18782, 32870,19561112,-9999,    9
 18782, 32870,19561113,-9999,    9
 18782, 32870,19561114,-9999,    9
 18782, 32870,19561115,-9999,    9
 18782, 32870,19561116,-9999,    9
 18782, 32870,19561117,-9999,    9
 18782, 32870,19561118,-9999,    9
 18782, 32870,19561119,-9999,    9
 18782, 32870,19561120,-9999,    9
 18782, 32870,19561121,-9999,    9
 18782, 32870,19561122,-9999,    9
 18782, 32870,19561123,-9999,    9
 18782, 32870,19561124,-9999,    9
 18782, 32870,19561125,-9999,    9
 18782, 32870,19561126,-9999,    9
 18782, 32870,19561127,-9999,    9
 18782, 32870,19561128,-9999,    9
 18782, 32870,19561129,-9999,    9
 18782, 32870,19561130,-9999,    9
 18782, 32870,19561201,-9999,    9
 18782, 32870,19561202,-9999,    9
 18782, 32870,19561203,-9999,    9
 18782, 32870,19561204,-9999,    9
 18782, 32870,19561205,-9999,    9
 18782, 32870,19561206,-9999,    9
 18782, 32870,19561207,-9999,    9
 18782, 32870,19561208,-9999,    9
 18782, 32870,19561209,-9999,    9
 18782, 32870,19561210,-9999,    9
 18782, 32870,19561211,-9999,    9
 18782, 32870,19561212,-9999,    9
 18782, 32870,19561213,-9999,    9
 18782, 32870,19561214,-9999,    9
 18782, 32870,19561215,-9999,    9
 18782, 32870,19561216,-9999,    9
 18782, 32870,19561217,-9999,    9
 18782, 32870,19561218,-9999,    9
 18782, 32870,19561219,-9999,    9
 18782, 32870,19561220,-9999,    9
 18782, 32870,19561221,-9999,    9
 18782, 32870,19561222,-9999,    9
 18782, 32870,19561223,-9999,    9
 18782, 32870,19561224,-9999,    9
 18782, 32870,19561225,-9999,    9
 18782, 32870,19561226,-9999,    9
 18782, 32870,19561227,-9999,    9
 18782, 32870,19561228,-9999,    9
 18782, 32870,19561229,-9999,    9
 18782, 32870,19561230,    0,    0
 18782, 32870,19561231,    0,    0
 18782, 32870,19570101,    0,    0
 18782, 32870,19570102,    6,    0
 18782, 32870,19570103,    4,    0
 18782, 32870,19570104,   93,    0
 18782, 32870,19570105,   12,    0
 18782, 32870,19570106,   41,    0
 18782, 32870,19570107,    0,    0
 18782, 32870,19570108,    0,    0
 18782, 32870,19570109,    0,    0
 18782, 32870,19570110,    0,    0
 18782, 32870,19570111,   65,    0
 18782, 32870,19570112,   32,    0
 18782, 32870,19570113,    0,    0
 18782, 32870,19570114,    0,    0
 18782, 32870,19570115,    0,    0
 18782, 32870,19570116,    0,    0
 18782, 32870,19570117,    0,    0
 18782, 32870,19570118,    0,    0
 18782, 32870,19570119,    0,    0
 18782, 32870,19570120,    0,    0
 18782, 32870,19570121,    7,    0
 18782, 32870,19570122,   39,    0
 18782, 32870,19570123,    1,    0
 18782, 32870,19570124,    0,    0
 18782, 32870,19570125,   15,    0
 18782, 32870,19570126,   53,    0
 18782, 32870,19570127,    0,    0
 18782, 32870,19570128,   45,    0
 18782, 32870,19570129,    1,    0
 18782, 32870,19570130,    0,    0
 18782, 32870,19570131,   99,    0
 18782, 32870,19570201,   81,    0
 18782, 32870,19570202,    0,    0
 18782, 32870,19570203,    0,    0
 18782, 32870,19570204,   42,    0
 18782, 32870,19570205,    0,    0
 18782, 32870,19570206,   13,    0
 18782, 32870,19570207,    0,    0
 18782, 32870,19570208,   10,    0
 18782, 32870,19570209,   18,    0
 18782, 32870,19570210,   19,    0
 18782, 32870,19570211,    0,    0
 18782, 32870,19570212,   17,    0
 18782, 32870,19570213,   12,    0
 18782, 32870,19570214,   39,    0
 18782, 32870,19570215,   43,    0
 18782, 32870,19570216,   59,    0
 18782, 32870,19570217,    2,    0
 18782, 32870,19570218,    5,    0
 18782, 32870,19570219,    0,    0
 18782, 32870,19570220,    7,    0
 18782, 32870,19570221,    0,    0
 18782, 32870,19570222,    0,    0
 18782, 32870,19570223,    0,    0
 18782, 32870,19570224,    1,    0
 18782, 32870,19570225,   12,    0
 18782, 32870,19570226,   40,    0
 18782, 32870,19570227,    4,    0
 18782, 32870,19570228,    0,    0
 18782, 32870,19570301,    0,    0
 18782, 32870,19570302,    0,    0
 18782, 32870,19570303,    9,    0
 18782, 32870,19570304,    0,    0
 18782, 32870,19570305,    0,    0
 18782, 32870,19570306,    0,    0
 18782, 32870,19570307,    0,    0
 18782, 32870,19570308,    0,    0
 18782, 32870,19570309,    0,    0
 18782, 32870,19570310,    0,    0
 18782, 32870,19570311,    0,    0
 18782, 32870,19570312,    0,    0
 18782, 32870,19570313,   33,    0
 18782, 32870,19570314,    5,    0
 18782, 32870,19570315,    0,    0
 18782, 32870,19570316,    0,    0
 18782, 32870,19570317,   79,    0
