EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MOESSTRAND, NORWAY (STAID: 18823)
Blended and updated with sources:34862 101388 101652 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 18823,101388,19631101,-9999,    9
 18823,101388,19631102,-9999,    9
 18823,101388,19631103,-9999,    9
 18823,101388,19631104,-9999,    9
 18823,101388,19631105,-9999,    9
 18823,101388,19631106,-9999,    9
 18823,101388,19631107,-9999,    9
 18823,101388,19631108,-9999,    9
 18823,101388,19631109,-9999,    9
 18823,101388,19631110,-9999,    9
 18823,101388,19631111,-9999,    9
 18823,101388,19631112,-9999,    9
 18823,101388,19631113,-9999,    9
 18823,101388,19631114,-9999,    9
 18823,101388,19631115,-9999,    9
 18823,101388,19631116,-9999,    9
 18823,101388,19631117,-9999,    9
 18823,101388,19631118,-9999,    9
 18823,101388,19631119,-9999,    9
 18823,101388,19631120,-9999,    9
 18823,101388,19631121,-9999,    9
 18823,101388,19631122,-9999,    9
 18823,101388,19631123,-9999,    9
 18823,101388,19631124,-9999,    9
 18823,101388,19631125,-9999,    9
 18823,101388,19631126,-9999,    9
 18823,101388,19631127,-9999,    9
 18823,101388,19631128,-9999,    9
 18823,101388,19631129,-9999,    9
 18823,101388,19631130,-9999,    9
 18823,101388,19631201,    2,    0
 18823,101388,19631202,    0,    0
 18823,101388,19631203,    0,    0
 18823,101388,19631204,    0,    0
 18823,101388,19631205,    0,    0
 18823,101388,19631206,    0,    0
 18823,101388,19631207,    0,    0
 18823,101388,19631208,    0,    0
 18823,101388,19631209,    0,    0
 18823,101388,19631210,    0,    0
 18823,101388,19631211,    0,    0
 18823,101388,19631212,    0,    0
 18823,101388,19631213,    0,    0
 18823,101388,19631214,    0,    0
 18823,101388,19631215,    0,    0
 18823,101388,19631216,    0,    0
 18823,101388,19631217,    0,    0
 18823,101388,19631218,    1,    0
 18823,101388,19631219,    0,    0
 18823,101388,19631220,    0,    0
 18823,101388,19631221,    0,    0
 18823,101388,19631222,    0,    0
 18823,101388,19631223,    0,    0
 18823,101388,19631224,    0,    0
 18823,101388,19631225,   22,    0
 18823,101388,19631226,   85,    0
 18823,101388,19631227,    0,    0
 18823,101388,19631228,    0,    0
 18823,101388,19631229,   14,    0
 18823,101388,19631230,   55,    0
 18823,101388,19631231,    0,    0
 18823,101388,19640101,    4,    0
 18823,101388,19640102,    0,    0
 18823,101388,19640103,    0,    0
 18823,101388,19640104,    4,    0
 18823,101388,19640105,    0,    0
 18823,101388,19640106,    0,    0
 18823,101388,19640107,    0,    0
 18823,101388,19640108,    0,    0
 18823,101388,19640109,    0,    0
 18823,101388,19640110,    0,    0
 18823,101388,19640111,    0,    0
 18823,101388,19640112,    0,    0
 18823,101388,19640113,    0,    0
 18823,101388,19640114,    0,    0
 18823,101388,19640115,    0,    0
 18823,101388,19640116,    0,    0
 18823,101388,19640117,    0,    0
 18823,101388,19640118,    0,    0
 18823,101388,19640119,    0,    0
 18823,101388,19640120,    4,    0
 18823,101388,19640121,   46,    0
 18823,101388,19640122,    0,    0
 18823,101388,19640123,    0,    0
 18823,101388,19640124,    2,    0
 18823,101388,19640125,    0,    0
 18823,101388,19640126,    0,    0
 18823,101388,19640127,    5,    0
 18823,101388,19640128,    0,    0
 18823,101388,19640129,    4,    0
 18823,101388,19640130,   24,    0
 18823,101388,19640131,   95,    0
 18823,101388,19640201,   41,    0
 18823,101388,19640202,   15,    0
 18823,101388,19640203,   10,    0
 18823,101388,19640204,   56,    0
 18823,101388,19640205,   48,    0
 18823,101388,19640206,    0,    0
 18823,101388,19640207,    0,    0
 18823,101388,19640208,    0,    0
 18823,101388,19640209,    0,    0
 18823,101388,19640210,    0,    0
 18823,101388,19640211,    0,    0
 18823,101388,19640212,    0,    0
 18823,101388,19640213,    0,    0
 18823,101388,19640214,    0,    0
 18823,101388,19640215,   10,    0
 18823,101388,19640216,   37,    0
 18823,101388,19640217,    0,    0
 18823,101388,19640218,    0,    0
 18823,101388,19640219,    0,    0
 18823,101388,19640220,    0,    0
 18823,101388,19640221,    0,    0
 18823,101388,19640222,    2,    0
 18823,101388,19640223,    1,    0
 18823,101388,19640224,   16,    0
 18823,101388,19640225,   88,    0
 18823,101388,19640226,   71,    0
 18823,101388,19640227,   35,    0
 18823,101388,19640228,    4,    0
 18823,101388,19640229,   15,    0
 18823,101388,19640301,    0,    0
 18823,101388,19640302,   19,    0
 18823,101388,19640303,   12,    0
 18823,101388,19640304,    0,    0
 18823,101388,19640305,    0,    0
 18823,101388,19640306,    0,    0
 18823,101388,19640307,    0,    0
 18823,101388,19640308,    0,    0
 18823,101388,19640309,    0,    0
 18823,101388,19640310,    0,    0
 18823,101388,19640311,    0,    0
 18823,101388,19640312,    0,    0
 18823,101388,19640313,    0,    0
 18823,101388,19640314,    0,    0
 18823,101388,19640315,    0,    0
 18823,101388,19640316,    0,    0
 18823,101388,19640317,    0,    0
 18823,101388,19640318,    0,    0
 18823,101388,19640319,    1,    0
 18823,101388,19640320,    1,    0
 18823,101388,19640321,    5,    0
 18823,101388,19640322,   34,    0
 18823,101388,19640323,    4,    0
 18823,101388,19640324,    0,    0
 18823,101388,19640325,    0,    0
 18823,101388,19640326,    0,    0
 18823,101388,19640327,    0,    0
 18823,101388,19640328,    0,    0
 18823,101388,19640329,    0,    0
 18823,101388,19640330,    0,    0
 18823,101388,19640331,    0,    0
 18823,101388,19640401,    0,    0
 18823,101388,19640402,    0,    0
 18823,101388,19640403,    0,    0
 18823,101388,19640404,    0,    0
 18823,101388,19640405,    0,    0
 18823,101388,19640406,    1,    0
 18823,101388,19640407,    0,    0
 18823,101388,19640408,    8,    0
 18823,101388,19640409,    6,    0
 18823,101388,19640410,   60,    0
 18823,101388,19640411,    2,    0
 18823,101388,19640412,    4,    0
 18823,101388,19640413,    0,    0
 18823,101388,19640414,    4,    0
 18823,101388,19640415,   10,    0
 18823,101388,19640416,   68,    0
 18823,101388,19640417,  100,    0
 18823,101388,19640418,   10,    0
 18823,101388,19640419,    0,    0
 18823,101388,19640420,    9,    0
 18823,101388,19640421,    0,    0
 18823,101388,19640422,   44,    0
 18823,101388,19640423,   42,    0
 18823,101388,19640424,   14,    0
 18823,101388,19640425,    0,    0
 18823,101388,19640426,    0,    0
 18823,101388,19640427,   11,    0
 18823,101388,19640428,   48,    0
 18823,101388,19640429,   50,    0
 18823,101388,19640430,    0,    0
 18823,101388,19640501,    0,    0
 18823,101388,19640502,    0,    0
 18823,101388,19640503,   95,    0
 18823,101388,19640504,    6,    0
 18823,101388,19640505,   10,    0
 18823,101388,19640506,    3,    0
 18823,101388,19640507,  110,    0
 18823,101388,19640508,  101,    0
 18823,101388,19640509,    0,    0
 18823,101388,19640510,   36,    0
 18823,101388,19640511,   30,    0
 18823,101388,19640512,    7,    0
 18823,101388,19640513,    1,    0
 18823,101388,19640514,    0,    0
 18823,101388,19640515,    0,    0
 18823,101388,19640516,    4,    0
 18823,101388,19640517,   15,    0
 18823,101388,19640518,    0,    0
 18823,101388,19640519,    0,    0
 18823,101388,19640520,    0,    0
 18823,101388,19640521,    0,    0
 18823,101388,19640522,    0,    0
 18823,101388,19640523,    0,    0
 18823,101388,19640524,    0,    0
 18823,101388,19640525,    0,    0
 18823,101388,19640526,   90,    0
 18823,101388,19640527,    0,    0
 18823,101388,19640528,    0,    0
 18823,101388,19640529,    0,    0
 18823,101388,19640530,    0,    0
 18823,101388,19640531,    0,    0
 18823,101388,19640601,    0,    0
 18823,101388,19640602,   12,    0
 18823,101388,19640603,   34,    0
 18823,101388,19640604,    0,    0
 18823,101388,19640605,  116,    0
 18823,101388,19640606,    1,    0
 18823,101388,19640607,  271,    0
 18823,101388,19640608,   30,    0
 18823,101388,19640609,    0,    0
 18823,101388,19640610,   42,    0
 18823,101388,19640611,    1,    0
 18823,101388,19640612,    0,    0
 18823,101388,19640613,   27,    0
 18823,101388,19640614,    8,    0
 18823,101388,19640615,   63,    0
 18823,101388,19640616,   18,    0
 18823,101388,19640617,    0,    0
 18823,101388,19640618,    0,    0
 18823,101388,19640619,  140,    0
 18823,101388,19640620,    0,    0
 18823,101388,19640621,   16,    0
 18823,101388,19640622,   43,    0
 18823,101388,19640623,  111,    0
 18823,101388,19640624,   21,    0
 18823,101388,19640625,    0,    0
 18823,101388,19640626,    0,    0
 18823,101388,19640627,    9,    0
 18823,101388,19640628,    0,    0
 18823,101388,19640629,    0,    0
 18823,101388,19640630,    0,    0
 18823,101388,19640701,    0,    0
 18823,101388,19640702,    0,    0
 18823,101388,19640703,    0,    0
 18823,101388,19640704,    0,    0
 18823,101388,19640705,    0,    0
 18823,101388,19640706,    0,    0
 18823,101388,19640707,  265,    0
 18823,101388,19640708,   72,    0
 18823,101388,19640709,  126,    0
