EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROLVSOEY - ELVENESVEIEN, NORWAY (STAID: 18927)
Blended and updated with sources:9804 56775 101670 101754 101999 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 18927,101999,19250801,-9999,    9
 18927,101999,19250802,-9999,    9
 18927,101999,19250803,-9999,    9
 18927,101999,19250804,-9999,    9
 18927,101999,19250805,-9999,    9
 18927,101999,19250806,-9999,    9
 18927,101999,19250807,-9999,    9
 18927,101999,19250808,-9999,    9
 18927,101999,19250809,-9999,    9
 18927,101999,19250810,-9999,    9
 18927,101999,19250811,-9999,    9
 18927,101999,19250812,-9999,    9
 18927,101999,19250813,-9999,    9
 18927,101999,19250814,-9999,    9
 18927,101999,19250815,-9999,    9
 18927,101999,19250816,-9999,    9
 18927,101999,19250817,-9999,    9
 18927,101999,19250818,-9999,    9
 18927,101999,19250819,-9999,    9
 18927,101999,19250820,-9999,    9
 18927,101999,19250821,-9999,    9
 18927,101999,19250822,-9999,    9
 18927,101999,19250823,-9999,    9
 18927,101999,19250824,-9999,    9
 18927,101999,19250825,-9999,    9
 18927,101999,19250826,-9999,    9
 18927,101999,19250827,-9999,    9
 18927,101999,19250828,-9999,    9
 18927,101999,19250829,-9999,    9
 18927,101999,19250830,-9999,    9
 18927,101999,19250831,-9999,    9
 18927,101999,19250901,-9999,    9
 18927,101999,19250902,-9999,    9
 18927,101999,19250903,-9999,    9
 18927,101999,19250904,-9999,    9
 18927,101999,19250905,-9999,    9
 18927,101999,19250906,-9999,    9
 18927,101999,19250907,-9999,    9
 18927,101999,19250908,-9999,    9
 18927,101999,19250909,-9999,    9
 18927,101999,19250910,-9999,    9
 18927,101999,19250911,-9999,    9
 18927,101999,19250912,-9999,    9
 18927,101999,19250913,-9999,    9
 18927,101999,19250914,-9999,    9
 18927,101999,19250915,-9999,    9
 18927,101999,19250916,-9999,    9
 18927,101999,19250917,-9999,    9
 18927,101999,19250918,-9999,    9
 18927,101999,19250919,  792,    0
 18927,101999,19250920,-9999,    9
 18927,101999,19250921,-9999,    9
 18927,101999,19250922,-9999,    9
 18927,101999,19250923,-9999,    9
 18927,101999,19250924,-9999,    9
 18927,101999,19250925,-9999,    9
 18927,101999,19250926,-9999,    9
 18927,101999,19250927,-9999,    9
 18927,101999,19250928,-9999,    9
 18927,101999,19250929,-9999,    9
 18927,101999,19250930,-9999,    9
 18927,101999,19251001,-9999,    9
 18927,101999,19251002,-9999,    9
 18927,101999,19251003,-9999,    9
 18927,101999,19251004,-9999,    9
 18927,101999,19251005,-9999,    9
 18927,101999,19251006,-9999,    9
 18927,101999,19251007,-9999,    9
 18927,101999,19251008,-9999,    9
 18927,101999,19251009,-9999,    9
 18927,101999,19251010,-9999,    9
 18927,101999,19251011,-9999,    9
 18927,101999,19251012,-9999,    9
 18927,101999,19251013,-9999,    9
 18927,101999,19251014,-9999,    9
 18927,101999,19251015,-9999,    9
 18927,101999,19251016,-9999,    9
 18927,101999,19251017,-9999,    9
