EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HINDSETER, NORWAY (STAID: 18994)
Blended and updated with sources:101983 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 18994,101983,19691201,-9999,    9
 18994,101983,19691202,-9999,    9
 18994,101983,19691203,-9999,    9
 18994,101983,19691204,-9999,    9
 18994,101983,19691205,-9999,    9
 18994,101983,19691206,-9999,    9
 18994,101983,19691207,-9999,    9
 18994,101983,19691208,-9999,    9
 18994,101983,19691209,-9999,    9
 18994,101983,19691210,-9999,    9
 18994,101983,19691211,-9999,    9
 18994,101983,19691212,-9999,    9
 18994,101983,19691213,-9999,    9
 18994,101983,19691214,-9999,    9
 18994,101983,19691215,-9999,    9
 18994,101983,19691216,-9999,    9
 18994,101983,19691217,-9999,    9
 18994,101983,19691218,-9999,    9
 18994,101983,19691219,-9999,    9
 18994,101983,19691220,-9999,    9
 18994,101983,19691221,-9999,    9
 18994,101983,19691222,-9999,    9
 18994,101983,19691223,-9999,    9
 18994,101983,19691224,-9999,    9
 18994,101983,19691225,-9999,    9
 18994,101983,19691226,-9999,    9
 18994,101983,19691227,-9999,    9
 18994,101983,19691228,-9999,    9
 18994,101983,19691229,-9999,    9
 18994,101983,19691230,-9999,    9
 18994,101983,19691231,    0,    0
 18994,101983,19700101,   11,    0
 18994,101983,19700102,   50,    1
 18994,101983,19700103,    0,    1
 18994,101983,19700104,    0,    1
 18994,101983,19700105,    0,    1
 18994,101983,19700106,    0,    1
 18994,101983,19700107,    0,    1
 18994,101983,19700108,    0,    1
 18994,101983,19700109,    0,    1
 18994,101983,19700110,   27,    0
 18994,101983,19700111,   18,    0
 18994,101983,19700112,   54,    0
 18994,101983,19700113,   59,    0
 18994,101983,19700114,    2,    1
 18994,101983,19700115,    0,    1
 18994,101983,19700116,    0,    1
 18994,101983,19700117,    5,    1
 18994,101983,19700118,    0,    1
 18994,101983,19700119,    0,    1
 18994,101983,19700120,    0,    1
 18994,101983,19700121,    0,    1
 18994,101983,19700122,    0,    1
 18994,101983,19700123,   10,    1
 18994,101983,19700124,    0,    1
 18994,101983,19700125,    4,    1
 18994,101983,19700126,    0,    1
 18994,101983,19700127,    2,    1
 18994,101983,19700128,    0,    1
 18994,101983,19700129,    0,    1
 18994,101983,19700130,    0,    1
 18994,101983,19700131,    0,    1
 18994,101983,19700201,   15,    1
 18994,101983,19700202,    0,    1
 18994,101983,19700203,    0,    1
 18994,101983,19700204,    0,    1
 18994,101983,19700205,   15,    1
 18994,101983,19700206,    0,    1
 18994,101983,19700207,    0,    1
 18994,101983,19700208,    0,    1
 18994,101983,19700209,   35,    1
 18994,101983,19700210,    0,    1
 18994,101983,19700211,    0,    1
 18994,101983,19700212,    0,    1
 18994,101983,19700213,    0,    1
 18994,101983,19700214,    0,    1
 18994,101983,19700215,    0,    1
 18994,101983,19700216,    0,    1
 18994,101983,19700217,    5,    0
 18994,101983,19700218,   30,    1
 18994,101983,19700219,    0,    1
 18994,101983,19700220,    0,    1
 18994,101983,19700221,   10,    0
 18994,101983,19700222,   10,    0
 18994,101983,19700223,   10,    0
 18994,101983,19700224,    5,    1
 18994,101983,19700225,    0,    1
 18994,101983,19700226,    0,    1
 18994,101983,19700227,    0,    1
 18994,101983,19700228,    0,    1
 18994,101983,19700301,    0,    1
 18994,101983,19700302,    0,    1
 18994,101983,19700303,    0,    1
 18994,101983,19700304,    5,    0
 18994,101983,19700305,   40,    0
 18994,101983,19700306,   80,    0
 18994,101983,19700307,   20,    1
 18994,101983,19700308,    0,    1
 18994,101983,19700309,   10,    0
 18994,101983,19700310,   10,    1
 18994,101983,19700311,    0,    1
