EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SVENNINGDAL, NORWAY (STAID: 19027)
Blended and updated with sources:56904 102082 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 19027, 56904,18941101,-9999,    9
 19027, 56904,18941102,-9999,    9
 19027, 56904,18941103,-9999,    9
 19027, 56904,18941104,-9999,    9
 19027, 56904,18941105,-9999,    9
 19027, 56904,18941106,-9999,    9
 19027, 56904,18941107,-9999,    9
 19027, 56904,18941108,-9999,    9
 19027, 56904,18941109,-9999,    9
 19027, 56904,18941110,-9999,    9
 19027, 56904,18941111,-9999,    9
 19027, 56904,18941112,-9999,    9
 19027, 56904,18941113,-9999,    9
 19027, 56904,18941114,-9999,    9
 19027, 56904,18941115,-9999,    9
 19027, 56904,18941116,-9999,    9
 19027, 56904,18941117,-9999,    9
 19027, 56904,18941118,-9999,    9
 19027, 56904,18941119,-9999,    9
 19027, 56904,18941120,-9999,    9
 19027, 56904,18941121,-9999,    9
 19027, 56904,18941122,-9999,    9
 19027, 56904,18941123,-9999,    9
 19027, 56904,18941124,-9999,    9
 19027, 56904,18941125,-9999,    9
 19027, 56904,18941126,-9999,    9
 19027, 56904,18941127,-9999,    9
 19027, 56904,18941128,-9999,    9
 19027, 56904,18941129,-9999,    9
 19027, 56904,18941130,-9999,    9
 19027, 56904,18941201,-9999,    9
 19027, 56904,18941202,-9999,    9
 19027, 56904,18941203,-9999,    9
 19027, 56904,18941204,-9999,    9
 19027, 56904,18941205,-9999,    9
 19027, 56904,18941206,-9999,    9
 19027, 56904,18941207,-9999,    9
 19027, 56904,18941208,-9999,    9
 19027, 56904,18941209,-9999,    9
 19027, 56904,18941210,-9999,    9
 19027, 56904,18941211,-9999,    9
 19027, 56904,18941212,-9999,    9
 19027, 56904,18941213,-9999,    9
 19027, 56904,18941214,-9999,    9
 19027, 56904,18941215,-9999,    9
 19027, 56904,18941216,-9999,    9
 19027, 56904,18941217,-9999,    9
 19027, 56904,18941218,-9999,    9
 19027, 56904,18941219,-9999,    9
 19027, 56904,18941220,-9999,    9
 19027, 56904,18941221,-9999,    9
 19027, 56904,18941222,-9999,    9
 19027, 56904,18941223,-9999,    9
 19027, 56904,18941224,-9999,    9
 19027, 56904,18941225,-9999,    9
 19027, 56904,18941226,-9999,    9
 19027, 56904,18941227,-9999,    9
 19027, 56904,18941228,-9999,    9
 19027, 56904,18941229,-9999,    9
 19027, 56904,18941230,-9999,    9
 19027, 56904,18941231,-9999,    9
 19027, 56904,18950101,-9999,    9
 19027, 56904,18950102,-9999,    9
 19027, 56904,18950103,-9999,    9
 19027, 56904,18950104,-9999,    9
 19027, 56904,18950105,-9999,    9
 19027, 56904,18950106,-9999,    9
 19027, 56904,18950107,-9999,    9
 19027, 56904,18950108,-9999,    9
 19027, 56904,18950109,-9999,    9
 19027, 56904,18950110,-9999,    9
 19027, 56904,18950111,-9999,    9
 19027, 56904,18950112,-9999,    9
 19027, 56904,18950113,-9999,    9
 19027, 56904,18950114,-9999,    9
 19027, 56904,18950115,-9999,    9
 19027, 56904,18950116,-9999,    9
 19027, 56904,18950117,-9999,    9
 19027, 56904,18950118,-9999,    9
 19027, 56904,18950119,-9999,    9
 19027, 56904,18950120,-9999,    9
 19027, 56904,18950121,-9999,    9
 19027, 56904,18950122,-9999,    9
 19027, 56904,18950123,-9999,    9
 19027, 56904,18950124,-9999,    9
 19027, 56904,18950125,-9999,    9
 19027, 56904,18950126,-9999,    9
 19027, 56904,18950127,-9999,    9
 19027, 56904,18950128,-9999,    9
 19027, 56904,18950129,    0,    0
 19027, 56904,18950130,-9999,    9
 19027, 56904,18950131,-9999,    9
 19027, 56904,18950201,-9999,    9
 19027, 56904,18950202,-9999,    9
 19027, 56904,18950203,-9999,    9
 19027, 56904,18950204,-9999,    9
 19027, 56904,18950205,-9999,    9
 19027, 56904,18950206,-9999,    9
 19027, 56904,18950207,-9999,    9
 19027, 56904,18950208,-9999,    9
 19027, 56904,18950209,-9999,    9
 19027, 56904,18950210,-9999,    9
 19027, 56904,18950211,-9999,    9
 19027, 56904,18950212,-9999,    9
 19027, 56904,18950213,-9999,    9
 19027, 56904,18950214,-9999,    9
 19027, 56904,18950215,-9999,    9
 19027, 56904,18950216,-9999,    9
 19027, 56904,18950217,-9999,    9
 19027, 56904,18950218,-9999,    9
 19027, 56904,18950219,-9999,    9
 19027, 56904,18950220,-9999,    9
 19027, 56904,18950221,-9999,    9
 19027, 56904,18950222,-9999,    9
 19027, 56904,18950223,-9999,    9
 19027, 56904,18950224,-9999,    9
 19027, 56904,18950225,-9999,    9
 19027, 56904,18950226,-9999,    9
 19027, 56904,18950227,-9999,    9
 19027, 56904,18950228,-9999,    9
 19027, 56904,18950301,-9999,    9
 19027, 56904,18950302,-9999,    9
 19027, 56904,18950303,-9999,    9
 19027, 56904,18950304,-9999,    9
 19027, 56904,18950305,-9999,    9
 19027, 56904,18950306,-9999,    9
 19027, 56904,18950307,-9999,    9
 19027, 56904,18950308,-9999,    9
 19027, 56904,18950309,-9999,    9
 19027, 56904,18950310,-9999,    9
 19027, 56904,18950311,-9999,    9
 19027, 56904,18950312,-9999,    9
 19027, 56904,18950313,-9999,    9
 19027, 56904,18950314,-9999,    9
 19027, 56904,18950315,-9999,    9
 19027, 56904,18950316,-9999,    9
 19027, 56904,18950317,-9999,    9
 19027, 56904,18950318,-9999,    9
 19027, 56904,18950319,-9999,    9
 19027, 56904,18950320,-9999,    9
 19027, 56904,18950321,-9999,    9
 19027, 56904,18950322,-9999,    9
 19027, 56904,18950323,-9999,    9
 19027, 56904,18950324,-9999,    9
 19027, 56904,18950325,-9999,    9
 19027, 56904,18950326,-9999,    9
 19027, 56904,18950327,-9999,    9
 19027, 56904,18950328,-9999,    9
 19027, 56904,18950329,    0,    0
 19027, 56904,18950330,-9999,    9
 19027, 56904,18950331,-9999,    9
 19027, 56904,18950401,-9999,    9
 19027, 56904,18950402,-9999,    9
 19027, 56904,18950403,-9999,    9
 19027, 56904,18950404,-9999,    9
 19027, 56904,18950405,-9999,    9
 19027, 56904,18950406,-9999,    9
 19027, 56904,18950407,-9999,    9
 19027, 56904,18950408,-9999,    9
 19027, 56904,18950409,-9999,    9
 19027, 56904,18950410,-9999,    9
 19027, 56904,18950411,-9999,    9
 19027, 56904,18950412,-9999,    9
 19027, 56904,18950413,-9999,    9
 19027, 56904,18950414,-9999,    9
 19027, 56904,18950415,-9999,    9
 19027, 56904,18950416,-9999,    9
 19027, 56904,18950417,-9999,    9
 19027, 56904,18950418,-9999,    9
 19027, 56904,18950419,-9999,    9
 19027, 56904,18950420,-9999,    9
 19027, 56904,18950421,-9999,    9
 19027, 56904,18950422,-9999,    9
 19027, 56904,18950423,-9999,    9
 19027, 56904,18950424,-9999,    9
 19027, 56904,18950425,-9999,    9
 19027, 56904,18950426,-9999,    9
 19027, 56904,18950427,-9999,    9
 19027, 56904,18950428,-9999,    9
 19027, 56904,18950429,-9999,    9
 19027, 56904,18950430,-9999,    9
 19027, 56904,18950501,-9999,    9
 19027, 56904,18950502,-9999,    9
 19027, 56904,18950503,-9999,    9
 19027, 56904,18950504,-9999,    9
 19027, 56904,18950505,-9999,    9
 19027, 56904,18950506,-9999,    9
 19027, 56904,18950507,-9999,    9
 19027, 56904,18950508,-9999,    9
 19027, 56904,18950509,-9999,    9
 19027, 56904,18950510,-9999,    9
 19027, 56904,18950511,-9999,    9
 19027, 56904,18950512,-9999,    9
 19027, 56904,18950513,-9999,    9
 19027, 56904,18950514,-9999,    9
 19027, 56904,18950515,-9999,    9
 19027, 56904,18950516,-9999,    9
 19027, 56904,18950517,-9999,    9
 19027, 56904,18950518,-9999,    9
 19027, 56904,18950519,-9999,    9
 19027, 56904,18950520,-9999,    9
 19027, 56904,18950521,-9999,    9
 19027, 56904,18950522,-9999,    9
 19027, 56904,18950523,-9999,    9
 19027, 56904,18950524,-9999,    9
 19027, 56904,18950525,-9999,    9
 19027, 56904,18950526,-9999,    9
 19027, 56904,18950527,-9999,    9
 19027, 56904,18950528,-9999,    9
 19027, 56904,18950529,    0,    0
 19027, 56904,18950530,-9999,    9
 19027, 56904,18950531,-9999,    9
 19027, 56904,18950601,-9999,    9
 19027, 56904,18950602,-9999,    9
 19027, 56904,18950603,-9999,    9
 19027, 56904,18950604,-9999,    9
 19027, 56904,18950605,-9999,    9
 19027, 56904,18950606,-9999,    9
 19027, 56904,18950607,-9999,    9
 19027, 56904,18950608,-9999,    9
 19027, 56904,18950609,-9999,    9
 19027, 56904,18950610,-9999,    9
 19027, 56904,18950611,-9999,    9
 19027, 56904,18950612,-9999,    9
 19027, 56904,18950613,-9999,    9
 19027, 56904,18950614,-9999,    9
 19027, 56904,18950615,-9999,    9
 19027, 56904,18950616,-9999,    9
 19027, 56904,18950617,-9999,    9
 19027, 56904,18950618,-9999,    9
 19027, 56904,18950619,-9999,    9
 19027, 56904,18950620,-9999,    9
 19027, 56904,18950621,-9999,    9
 19027, 56904,18950622,-9999,    9
 19027, 56904,18950623,-9999,    9
 19027, 56904,18950624,-9999,    9
 19027, 56904,18950625,-9999,    9
 19027, 56904,18950626,-9999,    9
 19027, 56904,18950627,-9999,    9
 19027, 56904,18950628,-9999,    9
 19027, 56904,18950629,    3,    0
 19027, 56904,18950630,    3,    0
 19027, 56904,18950701,    0,    0
 19027, 56904,18950702,    0,    0
 19027, 56904,18950703,    0,    0
 19027, 56904,18950704,    5,    0
 19027, 56904,18950705,    0,    0
 19027, 56904,18950706,    0,    0
 19027, 56904,18950707,    0,    0
 19027, 56904,18950708,    0,    0
 19027, 56904,18950709,    0,    0
 19027, 56904,18950710,    0,    0
 19027, 56904,18950711,    0,    0
 19027, 56904,18950712,    0,    0
 19027, 56904,18950713,   21,    0
 19027, 56904,18950714,    1,    0
 19027, 56904,18950715,    0,    0
 19027, 56904,18950716,    0,    0
 19027, 56904,18950717,    0,    0
 19027, 56904,18950718,   15,    0
 19027, 56904,18950719,  195,    0
 19027, 56904,18950720,    1,    0
 19027, 56904,18950721,   36,    0
 19027, 56904,18950722,    2,    0
 19027, 56904,18950723,    0,    0
 19027, 56904,18950724,   29,    0
 19027, 56904,18950725,    2,    0
 19027, 56904,18950726,    0,    0
 19027, 56904,18950727,    0,    0
 19027, 56904,18950728,   18,    0
 19027, 56904,18950729,  105,    0
 19027, 56904,18950730,   20,    0
 19027, 56904,18950731,  174,    0
 19027, 56904,18950801,   12,    0
 19027, 56904,18950802,    0,    0
 19027, 56904,18950803,    0,    0
 19027, 56904,18950804,  140,    0
 19027, 56904,18950805,   17,    0
 19027, 56904,18950806,    1,    0
 19027, 56904,18950807,    0,    0
 19027, 56904,18950808,    0,    0
 19027, 56904,18950809,    0,    0
 19027, 56904,18950810,    0,    0
 19027, 56904,18950811,    0,    0
 19027, 56904,18950812,    0,    0
 19027, 56904,18950813,    0,    0
 19027, 56904,18950814,    0,    0
 19027, 56904,18950815,    0,    0
 19027, 56904,18950816,    2,    0
 19027, 56904,18950817,    0,    0
 19027, 56904,18950818,  172,    0
 19027, 56904,18950819,   99,    0
 19027, 56904,18950820,  148,    0
 19027, 56904,18950821,   43,    0
 19027, 56904,18950822,    7,    0
 19027, 56904,18950823,    0,    0
 19027, 56904,18950824,   20,    0
 19027, 56904,18950825,  101,    0
 19027, 56904,18950826,   33,    0
 19027, 56904,18950827,   90,    0
 19027, 56904,18950828,   59,    0
 19027, 56904,18950829,    0,    0
 19027, 56904,18950830,   40,    0
 19027, 56904,18950831,   45,    0
 19027, 56904,18950901,   22,    0
 19027, 56904,18950902,   54,    0
 19027, 56904,18950903,   97,    0
 19027, 56904,18950904,   13,    0
 19027, 56904,18950905,    0,    0
 19027, 56904,18950906,    0,    0
 19027, 56904,18950907,    5,    0
 19027, 56904,18950908,    1,    0
 19027, 56904,18950909,    4,    0
 19027, 56904,18950910,   18,    0
 19027, 56904,18950911,    0,    0
 19027, 56904,18950912,    1,    0
 19027, 56904,18950913,   19,    0
 19027, 56904,18950914,    0,    0
 19027, 56904,18950915,  212,    0
 19027, 56904,18950916,  253,    0
 19027, 56904,18950917,   12,    0
 19027, 56904,18950918,   38,    0
 19027, 56904,18950919,   10,    0
 19027, 56904,18950920,  210,    0
 19027, 56904,18950921,  380,    0
 19027, 56904,18950922,   98,    0
 19027, 56904,18950923,   11,    0
 19027, 56904,18950924,  400,    0
 19027, 56904,18950925,   59,    0
 19027, 56904,18950926,   18,    0
 19027, 56904,18950927,   58,    0
 19027, 56904,18950928,  282,    0
 19027, 56904,18950929,   89,    0
 19027, 56904,18950930,    5,    0
 19027, 56904,18951001,    0,    0
 19027, 56904,18951002,  165,    0
 19027, 56904,18951003,   20,    0
 19027, 56904,18951004,    0,    0
 19027, 56904,18951005,   10,    0
 19027, 56904,18951006,    0,    0
 19027, 56904,18951007,    0,    0
 19027, 56904,18951008,    0,    0
 19027, 56904,18951009,  189,    0
 19027, 56904,18951010,    5,    0
 19027, 56904,18951011,    1,    0
 19027, 56904,18951012,   98,    0
 19027, 56904,18951013,   99,    0
 19027, 56904,18951014,   33,    0
 19027, 56904,18951015,    4,    0
 19027, 56904,18951016,   99,    0
 19027, 56904,18951017,  353,    0
 19027, 56904,18951018,  161,    0
 19027, 56904,18951019,   40,    0
 19027, 56904,18951020,    0,    0
 19027, 56904,18951021,    0,    0
 19027, 56904,18951022,    0,    0
 19027, 56904,18951023,    0,    0
 19027, 56904,18951024,    0,    0
 19027, 56904,18951025,    5,    0
 19027, 56904,18951026,    0,    0
 19027, 56904,18951027,    0,    0
 19027, 56904,18951028,    0,    0
 19027, 56904,18951029,    0,    0
 19027, 56904,18951030,   19,    0
 19027, 56904,18951031,  602,    0
 19027, 56904,18951101,   95,    0
 19027, 56904,18951102,   21,    0
 19027, 56904,18951103,   25,    0
 19027, 56904,18951104,    0,    0
 19027, 56904,18951105,    0,    0
 19027, 56904,18951106,    0,    0
 19027, 56904,18951107,    5,    0
 19027, 56904,18951108,   10,    0
 19027, 56904,18951109,    0,    0
 19027, 56904,18951110,    5,    0
 19027, 56904,18951111,    0,    0
 19027, 56904,18951112,   64,    0
 19027, 56904,18951113,   12,    0
 19027, 56904,18951114,   78,    0
 19027, 56904,18951115,   31,    0
 19027, 56904,18951116,  275,    0
 19027, 56904,18951117,  120,    0
 19027, 56904,18951118,    0,    0
 19027, 56904,18951119,    0,    0
 19027, 56904,18951120,    0,    0
 19027, 56904,18951121,    1,    0
 19027, 56904,18951122,   32,    0
 19027, 56904,18951123,   78,    0
 19027, 56904,18951124,   37,    0
 19027, 56904,18951125,   80,    0
 19027, 56904,18951126,    0,    0
 19027, 56904,18951127,    0,    0
 19027, 56904,18951128,    9,    0
 19027, 56904,18951129,    0,    0
 19027, 56904,18951130,    0,    0
 19027, 56904,18951201,   12,    0
 19027, 56904,18951202,    5,    0
 19027, 56904,18951203,    4,    0
 19027, 56904,18951204,   27,    0
 19027, 56904,18951205,    2,    0
 19027, 56904,18951206,    0,    0
 19027, 56904,18951207,    0,    0
 19027, 56904,18951208,    0,    0
 19027, 56904,18951209,    0,    0
 19027, 56904,18951210,    0,    0
 19027, 56904,18951211,    0,    0
 19027, 56904,18951212,    0,    0
 19027, 56904,18951213,    0,    0
 19027, 56904,18951214,    0,    0
 19027, 56904,18951215,    0,    0
 19027, 56904,18951216,    0,    0
 19027, 56904,18951217,    0,    0
 19027, 56904,18951218,    0,    0
 19027, 56904,18951219,    0,    0
 19027, 56904,18951220,    0,    0
 19027, 56904,18951221,    0,    0
 19027, 56904,18951222,    5,    0
 19027, 56904,18951223,    0,    0
 19027, 56904,18951224,   19,    0
 19027, 56904,18951225,    0,    0
 19027, 56904,18951226,   44,    0
 19027, 56904,18951227,    0,    0
 19027, 56904,18951228,   40,    0
 19027, 56904,18951229,   11,    0
 19027, 56904,18951230,   12,    0
 19027, 56904,18951231,    4,    0
 19027, 56904,18960101,   15,    0
 19027, 56904,18960102,   32,    0
 19027, 56904,18960103,    4,    0
 19027, 56904,18960104,   13,    0
 19027, 56904,18960105,  100,    0
 19027, 56904,18960106,  109,    0
 19027, 56904,18960107,    3,    0
 19027, 56904,18960108,   23,    0
 19027, 56904,18960109,   32,    0
 19027, 56904,18960110,   95,    0
 19027, 56904,18960111,  292,    0
 19027, 56904,18960112,   46,    0
 19027, 56904,18960113,   48,    0
 19027, 56904,18960114,    0,    0
 19027, 56904,18960115,    0,    0
 19027, 56904,18960116,   38,    0
 19027, 56904,18960117,   95,    0
 19027, 56904,18960118,   55,    0
 19027, 56904,18960119,   91,    0
 19027, 56904,18960120,  143,    0
 19027, 56904,18960121,    8,    0
 19027, 56904,18960122,   88,    0
 19027, 56904,18960123,  114,    0
 19027, 56904,18960124,   19,    0
 19027, 56904,18960125,    0,    0
 19027, 56904,18960126,   33,    0
 19027, 56904,18960127,   74,    0
 19027, 56904,18960128,  350,    0
 19027, 56904,18960129,  190,    0
 19027, 56904,18960130,   14,    0
 19027, 56904,18960131,  131,    0
 19027, 56904,18960201,  178,    0
 19027, 56904,18960202,   14,    0
 19027, 56904,18960203,  320,    0
 19027, 56904,18960204,   79,    0
 19027, 56904,18960205,  118,    0
 19027, 56904,18960206,  260,    0
 19027, 56904,18960207,  135,    0
 19027, 56904,18960208,  238,    0
 19027, 56904,18960209,   57,    0
 19027, 56904,18960210,    7,    0
 19027, 56904,18960211,   29,    0
