EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HALSA I HELGELAND, NORWAY (STAID: 19386)
Blended and updated with sources:101350 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 19386,101350,19730801,-9999,    9
 19386,101350,19730802,-9999,    9
 19386,101350,19730803,-9999,    9
 19386,101350,19730804,-9999,    9
 19386,101350,19730805,-9999,    9
 19386,101350,19730806,-9999,    9
 19386,101350,19730807,-9999,    9
 19386,101350,19730808,-9999,    9
 19386,101350,19730809,-9999,    9
 19386,101350,19730810,-9999,    9
 19386,101350,19730811,-9999,    9
 19386,101350,19730812,-9999,    9
 19386,101350,19730813,-9999,    9
 19386,101350,19730814,-9999,    9
 19386,101350,19730815,-9999,    9
 19386,101350,19730816,-9999,    9
 19386,101350,19730817,-9999,    9
 19386,101350,19730818,-9999,    9
 19386,101350,19730819,-9999,    9
 19386,101350,19730820,-9999,    9
 19386,101350,19730821,-9999,    9
 19386,101350,19730822,-9999,    9
 19386,101350,19730823,-9999,    9
 19386,101350,19730824,-9999,    9
 19386,101350,19730825,-9999,    9
 19386,101350,19730826,-9999,    9
 19386,101350,19730827,-9999,    9
 19386,101350,19730828,-9999,    9
 19386,101350,19730829,-9999,    9
 19386,101350,19730830,-9999,    9
 19386,101350,19730831,    0,    0
 19386,101350,19730901,   14,    0
 19386,101350,19730902,   17,    0
 19386,101350,19730903,    3,    0
 19386,101350,19730904,   66,    0
 19386,101350,19730905,   50,    0
 19386,101350,19730906,    3,    0
 19386,101350,19730907,   63,    0
 19386,101350,19730908,   40,    0
 19386,101350,19730909,   41,    0
 19386,101350,19730910,  113,    0
 19386,101350,19730911,   69,    0
 19386,101350,19730912,  129,    0
 19386,101350,19730913,   11,    0
 19386,101350,19730914,  121,    0
 19386,101350,19730915,  119,    1
 19386,101350,19730916,    0,    1
 19386,101350,19730917,    0,    1
 19386,101350,19730918,    0,    1
 19386,101350,19730919,    0,    1
 19386,101350,19730920,    0,    1
 19386,101350,19730921,    0,    1
 19386,101350,19730922,    0,    1
 19386,101350,19730923,    0,    1
 19386,101350,19730924,    0,    1
 19386,101350,19730925,    0,    1
 19386,101350,19730926,    0,    1
 19386,101350,19730927,    0,    1
 19386,101350,19730928,    0,    1
 19386,101350,19730929,   14,    0
 19386,101350,19730930,  110,    0
 19386,101350,19731001,  135,    0
 19386,101350,19731002,  164,    0
 19386,101350,19731003,  298,    0
 19386,101350,19731004,  110,    0
 19386,101350,19731005,   27,    0
 19386,101350,19731006,    2,    0
 19386,101350,19731007,   18,    0
 19386,101350,19731008,    0,    0
 19386,101350,19731009,    0,    0
 19386,101350,19731010,   26,    0
 19386,101350,19731011,  139,    0
 19386,101350,19731012,  100,    0
 19386,101350,19731013,   59,    0
 19386,101350,19731014,   20,    0
 19386,101350,19731015,    0,    0
 19386,101350,19731016,   39,    0
 19386,101350,19731017,   31,    0
 19386,101350,19731018,    6,    0
 19386,101350,19731019,  219,    0
 19386,101350,19731020,   15,    0
 19386,101350,19731021,    0,    0
 19386,101350,19731022,    0,    0
 19386,101350,19731023,   29,    0
 19386,101350,19731024,  213,    0
 19386,101350,19731025,  202,    0
 19386,101350,19731026,   40,    0
 19386,101350,19731027,  294,    0
 19386,101350,19731028,   94,    0
 19386,101350,19731029,   37,    0
 19386,101350,19731030,    0,    0
 19386,101350,19731031,   52,    0
 19386,101350,19731101,  324,    0
 19386,101350,19731102,   23,    0
 19386,101350,19731103,  102,    0
 19386,101350,19731104,  183,    0
 19386,101350,19731105,   99,    0
 19386,101350,19731106,  345,    0
 19386,101350,19731107,   86,    0
 19386,101350,19731108,  409,    0
 19386,101350,19731109,   61,    0
 19386,101350,19731110,   65,    0
 19386,101350,19731111,  135,    0
 19386,101350,19731112,   25,    0
 19386,101350,19731113,   16,    0
 19386,101350,19731114,  125,    0
 19386,101350,19731115,    5,    0
 19386,101350,19731116,  225,    0
 19386,101350,19731117,   30,    0
 19386,101350,19731118,   11,    0
 19386,101350,19731119,    0,    0
 19386,101350,19731120,    0,    0
 19386,101350,19731121,  149,    0
 19386,101350,19731122,  195,    0
 19386,101350,19731123,  165,    0
 19386,101350,19731124,  111,    0
 19386,101350,19731125,   20,    0
 19386,101350,19731126,   52,    0
 19386,101350,19731127,  114,    1
 19386,101350,19731128,    0,    1
 19386,101350,19731129,    0,    1
 19386,101350,19731130,    0,    1
 19386,101350,19731201,    8,    0
 19386,101350,19731202,   53,    0
 19386,101350,19731203,  101,    0
 19386,101350,19731204,  107,    0
 19386,101350,19731205,   56,    0
 19386,101350,19731206,    0,    0
 19386,101350,19731207,   20,    0
 19386,101350,19731208,    0,    0
 19386,101350,19731209,   16,    0
 19386,101350,19731210,  120,    0
 19386,101350,19731211,   61,    0
 19386,101350,19731212,   29,    0
 19386,101350,19731213,    0,    0
 19386,101350,19731214,   47,    0
 19386,101350,19731215,   43,    0
 19386,101350,19731216,    0,    0
