EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DALE I SUNNFJORD II, NORWAY (STAID: 19394)
Blended and updated with sources:101363 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 19394,101363,19490601,-9999,    9
 19394,101363,19490602,-9999,    9
 19394,101363,19490603,-9999,    9
 19394,101363,19490604,-9999,    9
 19394,101363,19490605,-9999,    9
 19394,101363,19490606,-9999,    9
 19394,101363,19490607,-9999,    9
 19394,101363,19490608,-9999,    9
 19394,101363,19490609,-9999,    9
 19394,101363,19490610,-9999,    9
 19394,101363,19490611,-9999,    9
 19394,101363,19490612,-9999,    9
 19394,101363,19490613,-9999,    9
 19394,101363,19490614,-9999,    9
 19394,101363,19490615,-9999,    9
 19394,101363,19490616,-9999,    9
 19394,101363,19490617,-9999,    9
 19394,101363,19490618,-9999,    9
 19394,101363,19490619,-9999,    9
 19394,101363,19490620,-9999,    9
 19394,101363,19490621,-9999,    9
 19394,101363,19490622,-9999,    9
 19394,101363,19490623,-9999,    9
 19394,101363,19490624,-9999,    9
 19394,101363,19490625,-9999,    9
 19394,101363,19490626,-9999,    9
 19394,101363,19490627,-9999,    9
 19394,101363,19490628,-9999,    9
 19394,101363,19490629,-9999,    9
 19394,101363,19490630,-9999,    9
 19394,101363,19490701,-9999,    9
 19394,101363,19490702,-9999,    9
 19394,101363,19490703,-9999,    9
 19394,101363,19490704,-9999,    9
 19394,101363,19490705,-9999,    9
 19394,101363,19490706,-9999,    9
 19394,101363,19490707,-9999,    9
 19394,101363,19490708,-9999,    9
 19394,101363,19490709,-9999,    9
 19394,101363,19490710,-9999,    9
 19394,101363,19490711,-9999,    9
 19394,101363,19490712,-9999,    9
 19394,101363,19490713,-9999,    9
 19394,101363,19490714,-9999,    9
 19394,101363,19490715,-9999,    9
 19394,101363,19490716,-9999,    9
 19394,101363,19490717,-9999,    9
 19394,101363,19490718,    0,    0
 19394,101363,19490719,    0,    0
 19394,101363,19490720,    0,    0
 19394,101363,19490721,    0,    0
 19394,101363,19490722,    0,    0
 19394,101363,19490723,   10,    0
 19394,101363,19490724,  274,    0
 19394,101363,19490725,    5,    0
 19394,101363,19490726,   84,    0
 19394,101363,19490727,  107,    0
 19394,101363,19490728,  184,    0
 19394,101363,19490729,   54,    0
 19394,101363,19490730,    0,    0
 19394,101363,19490731,   64,    0
 19394,101363,19490801,   50,    0
 19394,101363,19490802,   50,    0
 19394,101363,19490803,    7,    0
 19394,101363,19490804,   18,    0
 19394,101363,19490805,   25,    0
 19394,101363,19490806,   96,    0
 19394,101363,19490807,   15,    0
 19394,101363,19490808,  186,    0
 19394,101363,19490809,   80,    0
 19394,101363,19490810,  352,    0
 19394,101363,19490811,   48,    0
 19394,101363,19490812,  207,    0
 19394,101363,19490813,  155,    0
 19394,101363,19490814,  315,    0
 19394,101363,19490815,  120,    0
 19394,101363,19490816,  112,    0
 19394,101363,19490817,  114,    0
 19394,101363,19490818,    2,    0
 19394,101363,19490819,    0,    0
 19394,101363,19490820,  221,    0
 19394,101363,19490821,   90,    0
 19394,101363,19490822,   12,    0
 19394,101363,19490823,    0,    0
 19394,101363,19490824,    0,    0
 19394,101363,19490825,    0,    0
 19394,101363,19490826,    0,    0
 19394,101363,19490827,    0,    0
 19394,101363,19490828,    0,    0
 19394,101363,19490829,    0,    0
 19394,101363,19490830,   80,    0
 19394,101363,19490831,    5,    0
 19394,101363,19490901,    0,    0
 19394,101363,19490902,    0,    0
 19394,101363,19490903,   72,    0
 19394,101363,19490904,    0,    0
 19394,101363,19490905,   48,    0
 19394,101363,19490906,   82,    0
 19394,101363,19490907,   39,    0
 19394,101363,19490908,  553,    0
 19394,101363,19490909,  292,    0
 19394,101363,19490910,  274,    0
 19394,101363,19490911,    0,    0
 19394,101363,19490912,    0,    0
 19394,101363,19490913,    0,    0
 19394,101363,19490914,    0,    0
 19394,101363,19490915,    0,    0
 19394,101363,19490916,    0,    0
 19394,101363,19490917,    6,    0
 19394,101363,19490918,    0,    0
 19394,101363,19490919,    0,    0
 19394,101363,19490920,    0,    0
 19394,101363,19490921,    0,    0
 19394,101363,19490922,    0,    0
 19394,101363,19490923,   14,    0
 19394,101363,19490924,  206,    0
 19394,101363,19490925,  451,    0
 19394,101363,19490926,   52,    0
 19394,101363,19490927,  480,    0
 19394,101363,19490928,  270,    0
 19394,101363,19490929,  507,    0
 19394,101363,19490930,  234,    0
 19394,101363,19491001,  200,    0
 19394,101363,19491002,  570,    0
 19394,101363,19491003,   90,    0
 19394,101363,19491004,  410,    0
 19394,101363,19491005,   23,    0
 19394,101363,19491006,    0,    0
 19394,101363,19491007,  166,    0
 19394,101363,19491008,   76,    0
 19394,101363,19491009,   85,    0
 19394,101363,19491010,    0,    0
 19394,101363,19491011,   29,    0
 19394,101363,19491012,  197,    0
 19394,101363,19491013,  362,    0
 19394,101363,19491014,   67,    0
 19394,101363,19491015,   35,    0
 19394,101363,19491016,  394,    0
 19394,101363,19491017,  190,    0
 19394,101363,19491018,  348,    0
 19394,101363,19491019,  158,    0
 19394,101363,19491020,  171,    0
 19394,101363,19491021,  180,    0
 19394,101363,19491022,  160,    0
 19394,101363,19491023,    0,    0
 19394,101363,19491024,   44,    0
 19394,101363,19491025,   38,    0
 19394,101363,19491026,    0,    0
