EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RENNEBU - RAMSTAD, NORWAY (STAID: 19574)
Blended and updated with sources:101672 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 19574,101672,19920731,   23,    0
 19574,101672,19920801,    5,    0
 19574,101672,19920802,    6,    0
 19574,101672,19920803,  215,    0
 19574,101672,19920804,  319,    0
 19574,101672,19920805,    3,    0
 19574,101672,19920806,  104,    0
 19574,101672,19920807,   14,    0
 19574,101672,19920808,    0,    0
 19574,101672,19920809,    1,    0
 19574,101672,19920810,   45,    0
 19574,101672,19920811,   69,    0
 19574,101672,19920812,    1,    0
 19574,101672,19920813,    1,    0
 19574,101672,19920814,  160,    0
 19574,101672,19920815,   15,    0
 19574,101672,19920816,   95,    0
 19574,101672,19920817,  228,    0
 19574,101672,19920818,    7,    0
 19574,101672,19920819,   39,    0
 19574,101672,19920820,    1,    0
 19574,101672,19920821,    0,    0
 19574,101672,19920822,    0,    0
 19574,101672,19920823,  120,    0
 19574,101672,19920824,  164,    0
 19574,101672,19920825,    1,    0
 19574,101672,19920826,   56,    0
 19574,101672,19920827,    4,    0
 19574,101672,19920828,    4,    0
 19574,101672,19920829,  276,    0
 19574,101672,19920830,    0,    0
 19574,101672,19920831,    4,    0
 19574,101672,19920901,    0,    0
 19574,101672,19920902,   74,    0
 19574,101672,19920903,   38,    0
 19574,101672,19920904,   39,    0
 19574,101672,19920905,   21,    0
 19574,101672,19920906,    0,    0
 19574,101672,19920907,    0,    0
 19574,101672,19920908,    0,    0
 19574,101672,19920909,    0,    0
 19574,101672,19920910,    0,    0
 19574,101672,19920911,    0,    0
 19574,101672,19920912,    0,    0
 19574,101672,19920913,    0,    0
 19574,101672,19920914,    0,    0
 19574,101672,19920915,    2,    0
 19574,101672,19920916,   45,    0
 19574,101672,19920917,    1,    0
 19574,101672,19920918,    0,    0
 19574,101672,19920919,    0,    0
 19574,101672,19920920,   35,    0
 19574,101672,19920921,   49,    0
 19574,101672,19920922,   21,    0
 19574,101672,19920923,    0,    0
 19574,101672,19920924,    1,    0
 19574,101672,19920925,    2,    0
 19574,101672,19920926,   23,    0
 19574,101672,19920927,    0,    0
 19574,101672,19920928,    4,    0
 19574,101672,19920929,    0,    0
 19574,101672,19920930,    0,    0
 19574,101672,19921001,    0,    0
 19574,101672,19921002,    0,    0
 19574,101672,19921003,    0,    0
 19574,101672,19921004,    0,    0
 19574,101672,19921005,    0,    0
 19574,101672,19921006,    1,    0
 19574,101672,19921007,   81,    0
 19574,101672,19921008,  569,    0
 19574,101672,19921009,  110,    0
 19574,101672,19921010,  117,    0
 19574,101672,19921011,   68,    0
 19574,101672,19921012,    1,    0
 19574,101672,19921013,   17,    0
 19574,101672,19921014,    1,    0
 19574,101672,19921015,    0,    0
 19574,101672,19921016,    0,    0
 19574,101672,19921017,    0,    0
 19574,101672,19921018,    0,    0
 19574,101672,19921019,    0,    0
 19574,101672,19921020,    0,    0
 19574,101672,19921021,    0,    0
 19574,101672,19921022,    0,    0
 19574,101672,19921023,    0,    0
 19574,101672,19921024,    0,    0
 19574,101672,19921025,    0,    0
 19574,101672,19921026,    0,    0
 19574,101672,19921027,    0,    0
 19574,101672,19921028,    0,    0
 19574,101672,19921029,    0,    0
 19574,101672,19921030,    0,    0
 19574,101672,19921031,    0,    0
 19574,101672,19921101,    2,    0
 19574,101672,19921102,   91,    0
 19574,101672,19921103,   19,    0
 19574,101672,19921104,    7,    0
 19574,101672,19921105,    8,    0
 19574,101672,19921106,   47,    0
 19574,101672,19921107,   11,    0
 19574,101672,19921108,    0,    0
 19574,101672,19921109,    0,    0
 19574,101672,19921110,    0,    0
 19574,101672,19921111,    0,    0
 19574,101672,19921112,  144,    0
 19574,101672,19921113,   83,    0
 19574,101672,19921114,   27,    0
 19574,101672,19921115,    0,    0
 19574,101672,19921116,    0,    0
 19574,101672,19921117,    0,    0
 19574,101672,19921118,    0,    0
 19574,101672,19921119,    0,    0
 19574,101672,19921120,   45,    0
 19574,101672,19921121,    0,    0
 19574,101672,19921122,    0,    0
 19574,101672,19921123,    0,    0
 19574,101672,19921124,    0,    0
 19574,101672,19921125,    0,    0
 19574,101672,19921126,    0,    0
 19574,101672,19921127,   30,    0
 19574,101672,19921128,    0,    0
 19574,101672,19921129,    0,    0
 19574,101672,19921130,    0,    0
 19574,101672,19921201,    3,    0
 19574,101672,19921202,    0,    0
 19574,101672,19921203,    2,    0
 19574,101672,19921204,    0,    0
 19574,101672,19921205,    0,    0
 19574,101672,19921206,    0,    0
 19574,101672,19921207,    0,    0
 19574,101672,19921208,    0,    0
 19574,101672,19921209,    0,    0
 19574,101672,19921210,   66,    0
 19574,101672,19921211,   22,    0
 19574,101672,19921212,   69,    0
 19574,101672,19921213,    3,    0
 19574,101672,19921214,   90,    0
 19574,101672,19921215,   80,    0
 19574,101672,19921216,   22,    0
 19574,101672,19921217,    0,    0
 19574,101672,19921218,    2,    0
 19574,101672,19921219,   88,    0
 19574,101672,19921220,    0,    0
 19574,101672,19921221,    0,    0
 19574,101672,19921222,    0,    0
 19574,101672,19921223,    0,    0
 19574,101672,19921224,    0,    0
 19574,101672,19921225,   90,    0
 19574,101672,19921226,   23,    0
 19574,101672,19921227,    0,    0
 19574,101672,19921228,    3,    0
 19574,101672,19921229,    3,    0
 19574,101672,19921230,    0,    0
 19574,101672,19921231,    0,    0
 19574,101672,19930101,    0,    0
 19574,101672,19930102,   33,    0
 19574,101672,19930103,    0,    0
 19574,101672,19930104,    0,    0
 19574,101672,19930105,    0,    0
 19574,101672,19930106,  120,    0
 19574,101672,19930107,    0,    0
 19574,101672,19930108,   80,    0
 19574,101672,19930109,   37,    0
 19574,101672,19930110,    9,    0
 19574,101672,19930111,    0,    0
 19574,101672,19930112,    0,    0
 19574,101672,19930113,    0,    0
 19574,101672,19930114,   20,    0
 19574,101672,19930115,    0,    0
 19574,101672,19930116,   41,    0
 19574,101672,19930117,    0,    0
 19574,101672,19930118,   98,    0
 19574,101672,19930119,    0,    0
 19574,101672,19930120,    8,    0
 19574,101672,19930121,    3,    0
 19574,101672,19930122,  175,    0
 19574,101672,19930123,   17,    0
 19574,101672,19930124,    6,    0
 19574,101672,19930125,   62,    0
 19574,101672,19930126,   13,    0
 19574,101672,19930127,   75,    0
 19574,101672,19930128,    0,    0
 19574,101672,19930129,    0,    0
 19574,101672,19930130,    0,    0
 19574,101672,19930131,   19,    0
 19574,101672,19930201,    0,    0
 19574,101672,19930202,   50,    0
 19574,101672,19930203,  421,    0
 19574,101672,19930204,  155,    0
 19574,101672,19930205,   41,    0
 19574,101672,19930206,    2,    0
 19574,101672,19930207,    0,    0
 19574,101672,19930208,    0,    0
 19574,101672,19930209,    0,    0
 19574,101672,19930210,    0,    0
 19574,101672,19930211,    0,    0
 19574,101672,19930212,    0,    0
 19574,101672,19930213,    0,    0
 19574,101672,19930214,   27,    0
 19574,101672,19930215,   70,    0
 19574,101672,19930216,   53,    0
 19574,101672,19930217,   39,    0
 19574,101672,19930218,   25,    0
 19574,101672,19930219,   49,    0
 19574,101672,19930220,   35,    0
 19574,101672,19930221,   27,    0
 19574,101672,19930222,    9,    0
 19574,101672,19930223,    0,    0
 19574,101672,19930224,    0,    0
 19574,101672,19930225,   11,    0
 19574,101672,19930226,    2,    0
 19574,101672,19930227,   99,    0
 19574,101672,19930228,    2,    0
 19574,101672,19930301,    0,    0
 19574,101672,19930302,    0,    0
 19574,101672,19930303,    0,    0
 19574,101672,19930304,    4,    0
 19574,101672,19930305,  136,    0
 19574,101672,19930306,  117,    0
 19574,101672,19930307,    7,    0
 19574,101672,19930308,    0,    0
 19574,101672,19930309,   59,    0
 19574,101672,19930310,   14,    0
