EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VIKHOE, NORWAY (STAID: 19713)
Blended and updated with sources:101920 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 19713,101920,20041201,-9999,    9
 19713,101920,20041202,-9999,    9
 19713,101920,20041203,-9999,    9
 19713,101920,20041204,-9999,    9
 19713,101920,20041205,-9999,    9
 19713,101920,20041206,-9999,    9
 19713,101920,20041207,-9999,    9
 19713,101920,20041208,-9999,    9
 19713,101920,20041209,-9999,    9
 19713,101920,20041210,-9999,    9
 19713,101920,20041211,-9999,    9
 19713,101920,20041212,-9999,    9
 19713,101920,20041213,-9999,    9
 19713,101920,20041214,-9999,    9
 19713,101920,20041215,-9999,    9
 19713,101920,20041216,-9999,    9
 19713,101920,20041217,-9999,    9
 19713,101920,20041218,-9999,    9
 19713,101920,20041219,-9999,    9
 19713,101920,20041220,-9999,    9
 19713,101920,20041221,-9999,    9
 19713,101920,20041222,-9999,    9
 19713,101920,20041223,-9999,    9
 19713,101920,20041224,-9999,    9
 19713,101920,20041225,-9999,    9
 19713,101920,20041226,-9999,    9
 19713,101920,20041227,-9999,    9
 19713,101920,20041228,-9999,    9
 19713,101920,20041229,-9999,    9
 19713,101920,20041230,-9999,    9
 19713,101920,20041231,-9999,    9
 19713,101920,20050101,-9999,    9
 19713,101920,20050102,-9999,    9
 19713,101920,20050103,-9999,    9
 19713,101920,20050104,-9999,    9
 19713,101920,20050105,-9999,    9
 19713,101920,20050106,  520,    0
 19713,101920,20050107,-9999,    9
 19713,101920,20050108,-9999,    9
 19713,101920,20050109,-9999,    9
 19713,101920,20050110,-9999,    9
 19713,101920,20050111,-9999,    9
 19713,101920,20050112,  480,    0
 19713,101920,20050113,-9999,    9
 19713,101920,20050114,-9999,    9
 19713,101920,20050115,-9999,    9
 19713,101920,20050116,-9999,    9
 19713,101920,20050117,-9999,    9
 19713,101920,20050118,-9999,    9
 19713,101920,20050119,  350,    0
 19713,101920,20050120,-9999,    9
 19713,101920,20050121,-9999,    9
 19713,101920,20050122,-9999,    9
 19713,101920,20050123,-9999,    9
 19713,101920,20050124,-9999,    9
 19713,101920,20050125,-9999,    9
 19713,101920,20050126,  460,    0
 19713,101920,20050127,-9999,    9
 19713,101920,20050128,-9999,    9
 19713,101920,20050129,-9999,    9
 19713,101920,20050130,-9999,    9
 19713,101920,20050131,-9999,    9
 19713,101920,20050201,-9999,    9
 19713,101920,20050202,  480,    0
 19713,101920,20050203,-9999,    9
 19713,101920,20050204,-9999,    9
 19713,101920,20050205,-9999,    9
 19713,101920,20050206,-9999,    9
 19713,101920,20050207,-9999,    9
 19713,101920,20050208,-9999,    9
 19713,101920,20050209,  350,    0
 19713,101920,20050210,-9999,    9
 19713,101920,20050211,-9999,    9
 19713,101920,20050212,-9999,    9
 19713,101920,20050213,-9999,    9
 19713,101920,20050214,-9999,    9
 19713,101920,20050215,-9999,    9
 19713,101920,20050216,  280,    0
 19713,101920,20050217,-9999,    9
 19713,101920,20050218,-9999,    9
 19713,101920,20050219,-9999,    9
 19713,101920,20050220,-9999,    9
 19713,101920,20050221,-9999,    9
 19713,101920,20050222,-9999,    9
