EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PUNTASTILLA, NORWAY (STAID: 19790)
Blended and updated with sources:101396 102080 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 19790,102080,19680701,-9999,    9
 19790,102080,19680702,-9999,    9
 19790,102080,19680703,-9999,    9
 19790,102080,19680704,-9999,    9
 19790,102080,19680705,-9999,    9
 19790,102080,19680706,-9999,    9
 19790,102080,19680707,-9999,    9
 19790,102080,19680708,-9999,    9
 19790,102080,19680709,-9999,    9
 19790,102080,19680710,-9999,    9
 19790,102080,19680711,-9999,    9
 19790,102080,19680712,-9999,    9
 19790,102080,19680713,-9999,    9
 19790,102080,19680714,-9999,    9
 19790,102080,19680715,-9999,    9
 19790,102080,19680716,-9999,    9
 19790,102080,19680717,-9999,    9
 19790,102080,19680718,-9999,    9
 19790,102080,19680719,-9999,    9
 19790,102080,19680720,-9999,    9
 19790,102080,19680721,-9999,    9
 19790,102080,19680722,-9999,    9
 19790,102080,19680723,-9999,    9
 19790,102080,19680724,-9999,    9
 19790,102080,19680725,-9999,    9
 19790,102080,19680726,-9999,    9
 19790,102080,19680727,-9999,    9
 19790,102080,19680728,-9999,    9
 19790,102080,19680729,-9999,    9
 19790,102080,19680730,-9999,    9
 19790,102080,19680731,    0,    0
 19790,102080,19680801,    0,    0
 19790,102080,19680802,    2,    0
 19790,102080,19680803,    9,    0
 19790,102080,19680804,    0,    0
 19790,102080,19680805,    0,    0
 19790,102080,19680806,   11,    0
 19790,102080,19680807,   17,    0
 19790,102080,19680808,    2,    0
 19790,102080,19680809,    1,    0
 19790,102080,19680810,    3,    0
 19790,102080,19680811,    0,    0
 19790,102080,19680812,    0,    0
 19790,102080,19680813,   35,    0
 19790,102080,19680814,    0,    0
 19790,102080,19680815,    0,    0
 19790,102080,19680816,   13,    0
 19790,102080,19680817,  218,    0
 19790,102080,19680818,   15,    0
 19790,102080,19680819,    0,    0
 19790,102080,19680820,    0,    0
 19790,102080,19680821,    0,    0
 19790,102080,19680822,    0,    0
 19790,102080,19680823,    0,    0
 19790,102080,19680824,    0,    0
 19790,102080,19680825,    0,    0
 19790,102080,19680826,    0,    0
 19790,102080,19680827,    0,    0
 19790,102080,19680828,    5,    0
 19790,102080,19680829,    0,    0
 19790,102080,19680830,    5,    0
 19790,102080,19680831,    0,    0
 19790,102080,19680901,    0,    0
 19790,102080,19680902,    0,    0
 19790,102080,19680903,    0,    0
 19790,102080,19680904,    0,    0
 19790,102080,19680905,    0,    0
 19790,102080,19680906,    0,    0
 19790,102080,19680907,   90,    0
 19790,102080,19680908,    1,    0
 19790,102080,19680909,    0,    0
 19790,102080,19680910,    0,    0
 19790,102080,19680911,    0,    0
 19790,102080,19680912,    0,    0
