EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TRANOEYBOTN - NYSTAD, NORWAY (STAID: 19884)
Blended and updated with sources:101737 102193 102243 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 19884,101737,19660701,-9999,    9
 19884,101737,19660702,-9999,    9
 19884,101737,19660703,-9999,    9
 19884,101737,19660704,-9999,    9
 19884,101737,19660705,-9999,    9
 19884,101737,19660706,-9999,    9
 19884,101737,19660707,-9999,    9
 19884,101737,19660708,-9999,    9
 19884,101737,19660709,-9999,    9
 19884,101737,19660710,-9999,    9
 19884,101737,19660711,-9999,    9
 19884,101737,19660712,-9999,    9
 19884,101737,19660713,-9999,    9
 19884,101737,19660714,-9999,    9
 19884,101737,19660715,-9999,    9
 19884,101737,19660716,-9999,    9
 19884,101737,19660717,-9999,    9
 19884,101737,19660718,-9999,    9
 19884,101737,19660719,-9999,    9
 19884,101737,19660720,-9999,    9
 19884,101737,19660721,-9999,    9
 19884,101737,19660722,-9999,    9
 19884,101737,19660723,-9999,    9
 19884,101737,19660724,-9999,    9
 19884,101737,19660725,-9999,    9
 19884,101737,19660726,-9999,    9
 19884,101737,19660727,-9999,    9
 19884,101737,19660728,-9999,    9
 19884,101737,19660729,-9999,    9
 19884,101737,19660730,-9999,    9
 19884,101737,19660731,    0,    0
 19884,101737,19660801,   63,    0
 19884,101737,19660802,   23,    0
 19884,101737,19660803,    0,    0
 19884,101737,19660804,    0,    0
 19884,101737,19660805,    0,    0
 19884,101737,19660806,    0,    0
 19884,101737,19660807,    0,    0
 19884,101737,19660808,    0,    0
 19884,101737,19660809,   25,    0
 19884,101737,19660810,    0,    0
 19884,101737,19660811,   73,    0
 19884,101737,19660812,   10,    0
 19884,101737,19660813,  245,    0
 19884,101737,19660814,  163,    0
 19884,101737,19660815,   93,    0
 19884,101737,19660816,   83,    0
 19884,101737,19660817,  174,    0
 19884,101737,19660818,   34,    0
 19884,101737,19660819,   93,    0
 19884,101737,19660820,   81,    0
 19884,101737,19660821,    5,    0
 19884,101737,19660822,   40,    0
 19884,101737,19660823,   25,    0
 19884,101737,19660824,   22,    0
 19884,101737,19660825,  100,    0
 19884,101737,19660826,  133,    0
 19884,101737,19660827,   30,    0
 19884,101737,19660828,    7,    0
 19884,101737,19660829,   15,    0
 19884,101737,19660830,    1,    0
 19884,101737,19660831,    0,    0
 19884,101737,19660901,    6,    0
 19884,101737,19660902,    0,    0
 19884,101737,19660903,    0,    0
 19884,101737,19660904,    0,    0
