EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GAUSDAL - OVREHAGEN, NORWAY (STAID: 19947)
Blended and updated with sources:102364 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 19947,102364,20110411,    8,    0
 19947,102364,20110412,    5,    0
 19947,102364,20110413,    0,    0
 19947,102364,20110414,    0,    0
 19947,102364,20110415,    0,    0
 19947,102364,20110416,    0,    0
 19947,102364,20110417,    0,    0
 19947,102364,20110418,    0,    0
 19947,102364,20110419,    0,    0
 19947,102364,20110420,    0,    0
 19947,102364,20110421,    0,    0
 19947,102364,20110422,    0,    0
 19947,102364,20110423,    0,    0
 19947,102364,20110424,    0,    0
 19947,102364,20110425,    0,    0
 19947,102364,20110426,    0,    0
 19947,102364,20110427,    0,    0
 19947,102364,20110428,    0,    0
 19947,102364,20110429,    0,    0
 19947,102364,20110430,    0,    0
 19947,102364,20110501,    1,    0
 19947,102364,20110502,    0,    0
 19947,102364,20110503,    0,    0
 19947,102364,20110504,   20,    0
 19947,102364,20110505,   15,    0
 19947,102364,20110506,   80,    0
 19947,102364,20110507,    0,    0
 19947,102364,20110508,    0,    0
 19947,102364,20110509,    0,    0
 19947,102364,20110510,    0,    0
 19947,102364,20110511,   30,    0
 19947,102364,20110512,  230,    0
 19947,102364,20110513,  110,    0
 19947,102364,20110514,  115,    0
 19947,102364,20110515,   25,    0
 19947,102364,20110516,    0,    0
 19947,102364,20110517,    6,    0
 19947,102364,20110518,   35,    0
 19947,102364,20110519,    0,    0
 19947,102364,20110520,   30,    0
 19947,102364,20110521,    0,    0
 19947,102364,20110522,   60,    0
 19947,102364,20110523,   65,    0
 19947,102364,20110524,    0,    0
 19947,102364,20110525,    0,    0
 19947,102364,20110526,   50,    0
 19947,102364,20110527,   29,    0
 19947,102364,20110528,   51,    0
 19947,102364,20110529,   15,    0
 19947,102364,20110530,   16,    0
 19947,102364,20110531,  125,    0
 19947,102364,20110601,    8,    0
 19947,102364,20110602,    0,    0
 19947,102364,20110603,    0,    0
 19947,102364,20110604,    0,    0
 19947,102364,20110605,    0,    0
 19947,102364,20110606,  110,    0
 19947,102364,20110607,  270,    0
 19947,102364,20110608,   18,    0
 19947,102364,20110609,  680,    0
 19947,102364,20110610,  205,    0
 19947,102364,20110611,   65,    0
 19947,102364,20110612,    9,    0
 19947,102364,20110613,    5,    0
 19947,102364,20110614,   72,    0
 19947,102364,20110615,   15,    0
 19947,102364,20110616,    0,    0
 19947,102364,20110617,   84,    0
 19947,102364,20110618,   64,    0
 19947,102364,20110619,   22,    0
 19947,102364,20110620,    0,    0
 19947,102364,20110621,    0,    0
 19947,102364,20110622,   91,    0
 19947,102364,20110623,    3,    0
 19947,102364,20110624,    0,    0
 19947,102364,20110625,    7,    0
 19947,102364,20110626,    8,    0
 19947,102364,20110627,    1,    0
 19947,102364,20110628,   10,    0
 19947,102364,20110629,   18,    0
 19947,102364,20110630,  155,    0
 19947,102364,20110701,   78,    0
 19947,102364,20110702,   30,    0
 19947,102364,20110703,   45,    0
 19947,102364,20110704,   40,    0
 19947,102364,20110705,    2,    0
 19947,102364,20110706,    1,    0
 19947,102364,20110707,   28,    0
 19947,102364,20110708,  100,    0
 19947,102364,20110709,   90,    0
 19947,102364,20110710,   65,    0
 19947,102364,20110711,   87,    0
 19947,102364,20110712,    7,    0
 19947,102364,20110713,    0,    0
 19947,102364,20110714,    0,    0
 19947,102364,20110715,    0,    0
 19947,102364,20110716,    0,    0
 19947,102364,20110717,  140,    0
 19947,102364,20110718,   33,    0
 19947,102364,20110719,   32,    0
 19947,102364,20110720,    4,    0
 19947,102364,20110721,    0,    0
 19947,102364,20110722,  285,    0
 19947,102364,20110723,  290,    0
 19947,102364,20110724,  135,    0
 19947,102364,20110725,   82,    0
 19947,102364,20110726,   70,    0
 19947,102364,20110727,    0,    0
 19947,102364,20110728,    0,    0
 19947,102364,20110729,    0,    0
 19947,102364,20110730,    0,    0
 19947,102364,20110731,    1,    0
 19947,102364,20110801,   90,    0
 19947,102364,20110802,    5,    0
 19947,102364,20110803,    0,    0
 19947,102364,20110804,    7,    0
 19947,102364,20110805,   18,    0
 19947,102364,20110806,   40,    0
 19947,102364,20110807,  150,    0
 19947,102364,20110808,    1,    0
 19947,102364,20110809,    0,    0
 19947,102364,20110810,    0,    0
 19947,102364,20110811,    0,    0
 19947,102364,20110812,    0,    0
 19947,102364,20110813,    0,    0
 19947,102364,20110814,   22,    0
 19947,102364,20110815,  130,    0
 19947,102364,20110816,   60,    0
 19947,102364,20110817,    2,    0
 19947,102364,20110818,   20,    0
 19947,102364,20110819,  110,    0
 19947,102364,20110820,   10,    0
 19947,102364,20110821,   75,    0
 19947,102364,20110822,    0,    0
 19947,102364,20110823,    0,    0
