EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OEVRE ALVIK, NORWAY (STAID: 19961)
Blended and updated with sources:102385 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 19961,102385,19570401,-9999,    9
 19961,102385,19570402,-9999,    9
 19961,102385,19570403,-9999,    9
 19961,102385,19570404,-9999,    9
 19961,102385,19570405,-9999,    9
 19961,102385,19570406,-9999,    9
 19961,102385,19570407,-9999,    9
 19961,102385,19570408,-9999,    9
 19961,102385,19570409,-9999,    9
 19961,102385,19570410,-9999,    9
 19961,102385,19570411,-9999,    9
 19961,102385,19570412,-9999,    9
 19961,102385,19570413,-9999,    9
 19961,102385,19570414,-9999,    9
 19961,102385,19570415,-9999,    9
 19961,102385,19570416,-9999,    9
 19961,102385,19570417,-9999,    9
 19961,102385,19570418,-9999,    9
 19961,102385,19570419,-9999,    9
 19961,102385,19570420,-9999,    9
 19961,102385,19570421,-9999,    9
 19961,102385,19570422,-9999,    9
 19961,102385,19570423,-9999,    9
 19961,102385,19570424,-9999,    9
 19961,102385,19570425,-9999,    9
 19961,102385,19570426,-9999,    9
 19961,102385,19570427,-9999,    9
 19961,102385,19570428,-9999,    9
 19961,102385,19570429,-9999,    9
 19961,102385,19570430,    0,    0
 19961,102385,19570501,   50,    0
 19961,102385,19570502,  109,    0
 19961,102385,19570503,   66,    0
 19961,102385,19570504,   43,    0
 19961,102385,19570505,    0,    0
 19961,102385,19570506,    0,    0
 19961,102385,19570507,    0,    0
 19961,102385,19570508,    0,    0
 19961,102385,19570509,    0,    0
 19961,102385,19570510,    0,    0
 19961,102385,19570511,    1,    0
 19961,102385,19570512,   17,    0
 19961,102385,19570513,    7,    0
 19961,102385,19570514,  142,    0
 19961,102385,19570515,   70,    0
 19961,102385,19570516,   75,    0
 19961,102385,19570517,  117,    0
 19961,102385,19570518,   20,    0
 19961,102385,19570519,   77,    0
 19961,102385,19570520,    6,    1
 19961,102385,19570521,    0,    1
 19961,102385,19570522,    0,    1
 19961,102385,19570523,    0,    1
 19961,102385,19570524,    0,    1
 19961,102385,19570525,    0,    1
 19961,102385,19570526,    0,    1
 19961,102385,19570527,    0,    1
 19961,102385,19570528,    0,    1
 19961,102385,19570529,    0,    1
 19961,102385,19570530,   16,    0
 19961,102385,19570531,  434,    0
 19961,102385,19570601,   49,    0
 19961,102385,19570602,  166,    0
 19961,102385,19570603,   75,    0
 19961,102385,19570604,    0,    0
 19961,102385,19570605,    7,    0
 19961,102385,19570606,   76,    0
 19961,102385,19570607,   49,    0
 19961,102385,19570608,   66,    0
 19961,102385,19570609,   60,    0
 19961,102385,19570610,  116,    0
 19961,102385,19570611,  192,    0
 19961,102385,19570612,    0,    0
 19961,102385,19570613,    5,    0
 19961,102385,19570614,   15,    0
 19961,102385,19570615,    1,    0
 19961,102385,19570616,    0,    0
 19961,102385,19570617,    0,    0
 19961,102385,19570618,    0,    0
 19961,102385,19570619,    0,    0
 19961,102385,19570620,   10,    0
 19961,102385,19570621,   33,    0
 19961,102385,19570622,    0,    0
 19961,102385,19570623,   46,    0
 19961,102385,19570624,   64,    0
 19961,102385,19570625,    9,    0
 19961,102385,19570626,   13,    0
 19961,102385,19570627,   77,    0
 19961,102385,19570628,  111,    0
 19961,102385,19570629,   38,    0
 19961,102385,19570630,    0,    0
 19961,102385,19570701,  248,    0
 19961,102385,19570702,   27,    0
 19961,102385,19570703,    5,    0
 19961,102385,19570704,   13,    0
 19961,102385,19570705,   28,    0
 19961,102385,19570706,    0,    0
 19961,102385,19570707,  187,    0
 19961,102385,19570708,   84,    0
 19961,102385,19570709,  180,    0
 19961,102385,19570710,   89,    0
